Date,iShares MSCI Indonesia_Open_average,iShares MSCI Indonesia_Open_max,iShares MSCI Indonesia_Open_min,iShares MSCI Indonesia_Open_volatility,iShares MSCI Indonesia_Open_change,iShares MSCI Indonesia_High_average,iShares MSCI Indonesia_High_max,iShares MSCI Indonesia_High_min,iShares MSCI Indonesia_High_volatility,iShares MSCI Indonesia_High_change,iShares MSCI Indonesia_Low_average,iShares MSCI Indonesia_Low_max,iShares MSCI Indonesia_Low_min,iShares MSCI Indonesia_Low_volatility,iShares MSCI Indonesia_Low_change,iShares MSCI Indonesia_Close_average,iShares MSCI Indonesia_Close_max,iShares MSCI Indonesia_Close_min,iShares MSCI Indonesia_Close_volatility,iShares MSCI Indonesia_Close_change
2018-01-14,29.68,29.68,29.68,0.0,0.0,29.79,29.79,29.79,0.0,0.0,29.58,29.58,29.58,0.0,0.0,29.77,29.77,29.77,0.0,0.0
2018-01-21,30.18,30.18,30.18,0.0,0.0,30.18,30.18,30.18,0.0,0.0,29.97,29.97,29.97,0.0,0.0,30.08,30.08,30.08,0.0,0.0
2018-01-28,29.33,29.33,29.33,0.0,0.0,29.61,29.61,29.61,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.51,28.51,28.51,0.0,0.0
2018-02-04,28.86,28.86,28.86,0.0,0.0,29.15,29.15,29.15,0.0,0.0,28.68,28.68,28.68,0.0,0.0,28.88,28.88,28.88,0.0,0.0
2018-02-11,29.8,29.8,29.8,0.0,0.0,30.32,30.32,30.32,0.0,0.0,29.68,29.68,29.68,0.0,0.0,30.11,30.11,30.11,0.0,0.0
2018-02-18,29.11,29.11,29.11,0.0,0.0,29.3,29.3,29.3,0.0,0.0,28.96,28.96,28.96,0.0,0.0,29.17,29.17,29.17,0.0,0.0
2018-02-25,28.43,28.43,28.43,0.0,0.0,28.93,28.93,28.93,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.74,28.74,28.74,0.0,0.0
2018-03-04,28.58,28.58,28.58,0.0,0.0,28.69,28.69,28.69,0.0,0.0,28.49,28.49,28.49,0.0,0.0,28.57,28.57,28.57,0.0,0.0
2018-03-11,27.37,27.37,27.37,0.0,0.0,27.46,27.46,27.46,0.0,0.0,27.05,27.05,27.05,0.0,0.0,27.21,27.21,27.21,0.0,0.0
2018-03-18,26.79,26.79,26.79,0.0,0.0,27.0,27.0,27.0,0.0,0.0,26.47,26.47,26.47,0.0,0.0,26.99,26.99,26.99,0.0,0.0
2018-03-25,27.01,27.01,27.01,0.0,0.0,27.24,27.24,27.24,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.91,26.91,26.91,0.0,0.0
2018-04-01,26.99,26.99,26.99,0.0,0.0,27.24,27.24,27.24,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.94,26.94,26.94,0.0,0.0
2018-04-08,27.31,27.31,27.31,0.0,0.0,27.51,27.51,27.51,0.0,0.0,27.27,27.27,27.27,0.0,0.0,27.5,27.5,27.5,0.0,0.0
2018-04-15,26.98,26.98,26.98,0.0,0.0,27.14,27.14,27.14,0.0,0.0,26.89,26.89,26.89,0.0,0.0,26.98,26.98,26.98,0.0,0.0
