Date,Guggenheim CurrencyShares British Pound Sterling_etf_Open_average,Guggenheim CurrencyShares British Pound Sterling_etf_Open_max,Guggenheim CurrencyShares British Pound Sterling_etf_Open_min,Guggenheim CurrencyShares British Pound Sterling_etf_Open_volatility,Guggenheim CurrencyShares British Pound Sterling_etf_Open_change,Guggenheim CurrencyShares British Pound Sterling_etf_High_average,Guggenheim CurrencyShares British Pound Sterling_etf_High_max,Guggenheim CurrencyShares British Pound Sterling_etf_High_min,Guggenheim CurrencyShares British Pound Sterling_etf_High_volatility,Guggenheim CurrencyShares British Pound Sterling_etf_High_change,Guggenheim CurrencyShares British Pound Sterling_etf_Low_average,Guggenheim CurrencyShares British Pound Sterling_etf_Low_max,Guggenheim CurrencyShares British Pound Sterling_etf_Low_min,Guggenheim CurrencyShares British Pound Sterling_etf_Low_volatility,Guggenheim CurrencyShares British Pound Sterling_etf_Low_change,Guggenheim CurrencyShares British Pound Sterling_etf_Close_average,Guggenheim CurrencyShares British Pound Sterling_etf_Close_max,Guggenheim CurrencyShares British Pound Sterling_etf_Close_min,Guggenheim CurrencyShares British Pound Sterling_etf_Close_volatility,Guggenheim CurrencyShares British Pound Sterling_etf_Close_change
2018-01-14,134.77,134.77,134.77,0.0,0.0,134.87,134.87,134.87,0.0,0.0,134.56,134.56,134.56,0.0,0.0,134.72,134.72,134.72,0.0,0.0
2018-01-21,138.11,138.11,138.11,0.0,0.0,138.2,138.2,138.2,0.0,0.0,137.43,137.43,137.43,0.0,0.0,137.48,137.48,137.48,0.0,0.0
2018-01-28,137.64,137.64,137.64,0.0,0.0,137.67,137.67,137.67,0.0,0.0,137.07,137.07,137.07,0.0,0.0,137.25,137.25,137.25,0.0,0.0
2018-02-04,134.13,134.13,134.13,0.0,0.0,134.35,134.35,134.35,0.0,0.0,133.74,133.74,133.74,0.0,0.0,134.35,134.35,134.35,0.0,0.0
2018-02-11,136.13,136.13,136.13,0.0,0.0,136.67,136.67,136.67,0.0,0.0,136.06,136.06,136.06,0.0,0.0,136.18,136.18,136.18,0.0,0.0
2018-02-18,135.83,135.83,135.83,0.0,0.0,136.07,136.07,136.07,0.0,0.0,135.65,135.65,135.65,0.0,0.0,135.69,135.69,135.69,0.0,0.0
2018-02-25,133.78,133.78,133.78,0.0,0.0,134.01,134.01,134.01,0.0,0.0,133.73,133.73,133.73,0.0,0.0,134.01,134.01,134.01,0.0,0.0
2018-03-04,134.48,134.48,134.48,0.0,0.0,134.84,134.84,134.84,0.0,0.0,134.41,134.41,134.41,0.0,0.0,134.54,134.54,134.54,0.0,0.0
2018-03-11,135.49,135.49,135.49,0.0,0.0,135.53,135.53,135.53,0.0,0.0,134.96,134.96,134.96,0.0,0.0,135.48,135.48,135.48,0.0,0.0
2018-03-18,137.34,137.34,137.34,0.0,0.0,137.62,137.62,137.62,0.0,0.0,137.34,137.34,137.34,0.0,0.0,137.39,137.39,137.39,0.0,0.0
2018-03-25,136.59,136.59,136.59,0.0,0.0,136.69,136.69,136.69,0.0,0.0,136.12,136.12,136.12,0.0,0.0,136.29,136.29,136.29,0.0,0.0
2018-04-01,136.59,136.59,136.59,0.0,0.0,136.99,136.99,136.99,0.0,0.0,136.59,136.59,136.59,0.0,0.0,136.84,136.84,136.84,0.0,0.0
2018-04-08,138.45,138.45,138.45,0.0,0.0,138.52,138.52,138.52,0.0,0.0,138.26,138.26,138.26,0.0,0.0,138.31,138.31,138.31,0.0,0.0
2018-04-15,136.26,136.26,136.26,0.0,0.0,136.34,136.34,136.34,0.0,0.0,136.06,136.06,136.06,0.0,0.0,136.07,136.07,136.07,0.0,0.0
2018-04-22,133.75,133.75,133.75,0.0,0.0,134.01,134.01,134.01,0.0,0.0,133.68,133.68,133.68,0.0,0.0,133.83,133.83,133.83,0.0,0.0
2018-04-29,131.09,131.09,131.09,0.0,0.0,131.5,131.5,131.5,0.0,0.0,131.08,131.08,131.08,0.0,0.0,131.4,131.4,131.4,0.0,0.0
2018-05-06,131.81,131.81,131.81,0.0,0.0,131.84,131.84,131.84,0.0,0.0,131.39,131.39,131.39,0.0,0.0,131.46,131.46,131.46,0.0,0.0
2018-05-13,130.72,130.72,130.72,0.0,0.0,130.96,130.96,130.96,0.0,0.0,130.65,130.65,130.65,0.0,0.0,130.9,130.9,130.9,0.0,0.0
2018-05-20,129.36,129.36,129.36,0.0,0.0,129.41,129.41,129.41,0.0,0.0,129.21,129.21,129.21,0.0,0.0,129.26,129.26,129.26,0.0,0.0
2018-05-27,129.29,129.29,129.29,0.0,0.0,129.68,129.68,129.68,0.0,0.0,129.29,129.29,129.29,0.0,0.0,129.54,129.54,129.54,0.0,0.0
2018-06-03,129.83,129.83,129.83,0.0,0.0,130.22,130.22,130.22,0.0,0.0,129.83,129.83,129.83,0.0,0.0,130.14,130.14,130.14,0.0,0.0
2018-06-10,128.95,128.95,128.95,0.0,0.0,129.01,129.01,129.01,0.0,0.0,128.73,128.73,128.73,0.0,0.0,128.86,128.86,128.86,0.0,0.0
2018-06-17,129.01,129.01,129.01,0.0,0.0,129.01,129.01,129.01,0.0,0.0,128.57,128.57,128.57,0.0,0.0,128.69,128.69,128.69,0.0,0.0
2018-06-24,127.66,127.66,127.66,0.0,0.0,128.12,128.12,128.12,0.0,0.0,127.66,127.66,127.66,0.0,0.0,128.08,128.08,128.08,0.0,0.0
2018-07-01,128.74,128.74,128.74,0.0,0.0,128.84,128.84,128.84,0.0,0.0,128.68,128.68,128.68,0.0,0.0,128.75,128.75,128.75,0.0,0.0
2018-07-08,127.78,127.78,127.78,0.0,0.0,128.42,128.42,128.42,0.0,0.0,127.78,127.78,127.78,0.0,0.0,128.42,128.42,128.42,0.0,0.0
2018-07-15,127.09,127.09,127.09,0.0,0.0,127.44,127.44,127.44,0.0,0.0,127.02,127.02,127.02,0.0,0.0,127.44,127.44,127.44,0.0,0.0
2018-07-22,127.19,127.19,127.19,0.0,0.0,127.38,127.38,127.38,0.0,0.0,127.16,127.16,127.16,0.0,0.0,127.18,127.18,127.18,0.0,0.0
2018-07-29,126.08,126.08,126.08,0.0,0.0,126.34,126.34,126.34,0.0,0.0,126.08,126.08,126.08,0.0,0.0,126.17,126.17,126.17,0.0,0.0
2018-08-05,123.48,123.48,123.48,0.0,0.0,124.0,124.0,124.0,0.0,0.0,123.48,123.48,123.48,0.0,0.0,123.85,123.85,123.85,0.0,0.0
2018-08-12,123.48,123.48,123.48,0.0,0.0,123.71,123.71,123.71,0.0,0.0,123.48,123.48,123.48,0.0,0.0,123.69,123.69,123.69,0.0,0.0
2018-08-19,124.74,124.74,124.74,0.0,0.0,124.8,124.8,124.8,0.0,0.0,124.6,124.6,124.6,0.0,0.0,124.65,124.65,124.65,0.0,0.0
2018-08-26,125.8,125.8,125.8,0.0,0.0,125.97,125.97,125.97,0.0,0.0,125.72,125.72,125.72,0.0,0.0,125.72,125.72,125.72,0.0,0.0
2018-09-02,125.76,125.76,125.76,0.0,0.0,126.03,126.03,126.03,0.0,0.0,125.34,125.34,125.34,0.0,0.0,125.38,125.38,125.38,0.0,0.0
2018-09-09,126.94,126.94,126.94,0.0,0.0,127.0,127.0,127.0,0.0,0.0,126.73,126.73,126.73,0.0,0.0,126.73,126.73,126.73,0.0,0.0
2018-09-16,126.88,126.88,126.88,0.0,0.0,127.04,127.04,127.04,0.0,0.0,126.69,126.69,126.69,0.0,0.0,126.88,126.88,126.88,0.0,0.0
2018-09-23,126.23,126.23,126.23,0.0,0.0,126.65,126.65,126.65,0.0,0.0,126.13,126.13,126.13,0.0,0.0,126.42,126.42,126.42,0.0,0.0
2018-09-30,127.04,127.04,127.04,0.0,0.0,127.5,127.5,127.5,0.0,0.0,126.76,126.76,126.76,0.0,0.0,127.22,127.22,127.22,0.0,0.0
2018-10-07,127.98,127.98,127.98,0.0,0.0,128.06,128.06,128.06,0.0,0.0,127.53,127.53,127.53,0.0,0.0,127.6,127.6,127.6,0.0,0.0
2018-10-14,126.5,126.5,126.5,0.0,0.0,127.1,127.1,127.1,0.0,0.0,126.45,126.45,126.45,0.0,0.0,126.72,126.72,126.72,0.0,0.0
2018-10-21,124.28,124.28,124.28,0.0,0.0,124.54,124.54,124.54,0.0,0.0,124.23,124.23,124.23,0.0,0.0,124.47,124.47,124.47,0.0,0.0
2018-10-28,126.04,126.04,126.04,0.0,0.0,126.14,126.14,126.14,0.0,0.0,125.66,125.66,125.66,0.0,0.0,125.79,125.79,125.79,0.0,0.0
2018-11-04,126.51,126.51,126.51,0.0,0.0,126.51,126.51,126.51,0.0,0.0,125.76,125.76,125.76,0.0,0.0,125.8,125.8,125.8,0.0,0.0
2018-11-11,124.87,124.87,124.87,0.0,0.0,124.87,124.87,124.87,0.0,0.0,124.3,124.3,124.3,0.0,0.0,124.44,124.44,124.44,0.0,0.0
2018-11-18,124.46,124.46,124.46,0.0,0.0,124.54,124.54,124.54,0.0,0.0,124.16,124.16,124.16,0.0,0.0,124.25,124.25,124.25,0.0,0.0
2018-11-25,123.75,123.75,123.75,0.0,0.0,123.88,123.88,123.88,0.0,0.0,123.55,123.55,123.55,0.0,0.0,123.58,123.58,123.58,0.0,0.0
2018-12-02,123.75,123.75,123.75,0.0,0.0,123.81,123.81,123.81,0.0,0.0,123.36,123.36,123.36,0.0,0.0,123.58,123.58,123.58,0.0,0.0
2018-12-09,121.7,121.7,121.7,0.0,0.0,122.1,122.1,122.1,0.0,0.0,121.62,121.62,121.62,0.0,0.0,122.04,122.04,122.04,0.0,0.0
2018-12-16,122.66,122.66,122.66,0.0,0.0,123.12,123.12,123.12,0.0,0.0,122.4,122.4,122.4,0.0,0.0,122.46,122.46,122.46,0.0,0.0
