Date,Direxion Daily FTSE CHINA Bear 3x SharesEtf_Open_average,Direxion Daily FTSE CHINA Bear 3x SharesEtf_Open_max,Direxion Daily FTSE CHINA Bear 3x SharesEtf_Open_min,Direxion Daily FTSE CHINA Bear 3x SharesEtf_Open_volatility,Direxion Daily FTSE CHINA Bear 3x SharesEtf_Open_change,Direxion Daily FTSE CHINA Bear 3x SharesEtf_High_average,Direxion Daily FTSE CHINA Bear 3x SharesEtf_High_max,Direxion Daily FTSE CHINA Bear 3x SharesEtf_High_min,Direxion Daily FTSE CHINA Bear 3x SharesEtf_High_volatility,Direxion Daily FTSE CHINA Bear 3x SharesEtf_High_change,Direxion Daily FTSE CHINA Bear 3x SharesEtf_Low_average,Direxion Daily FTSE CHINA Bear 3x SharesEtf_Low_max,Direxion Daily FTSE CHINA Bear 3x SharesEtf_Low_min,Direxion Daily FTSE CHINA Bear 3x SharesEtf_Low_volatility,Direxion Daily FTSE CHINA Bear 3x SharesEtf_Low_change,Direxion Daily FTSE CHINA Bear 3x SharesEtf_Close_average,Direxion Daily FTSE CHINA Bear 3x SharesEtf_Close_max,Direxion Daily FTSE CHINA Bear 3x SharesEtf_Close_min,Direxion Daily FTSE CHINA Bear 3x SharesEtf_Close_volatility,Direxion Daily FTSE CHINA Bear 3x SharesEtf_Close_change
2018-01-14,42.0,42.0,42.0,0.0,0.0,42.25,42.25,42.25,0.0,0.0,41.1,41.1,41.1,0.0,0.0,41.1,41.1,41.1,0.0,0.0
2018-01-21,37.0,37.0,37.0,0.0,0.0,37.2,37.2,37.2,0.0,0.0,36.3,36.3,36.3,0.0,0.0,36.3,36.3,36.3,0.0,0.0
2018-01-28,40.2,40.2,40.2,0.0,0.0,42.7,42.7,42.7,0.0,0.0,40.17,40.17,40.17,0.0,0.0,42.6,42.6,42.6,0.0,0.0
2018-02-04,56.8,56.8,56.8,0.0,0.0,61.59,61.59,61.59,0.0,0.0,54.8,54.8,54.8,0.0,0.0,56.0,56.0,56.0,0.0,0.0
2018-02-11,45.3,45.3,45.3,0.0,0.0,45.7,45.7,45.7,0.0,0.0,43.7,43.7,43.7,0.0,0.0,45.2,45.2,45.2,0.0,0.0
2018-02-18,44.9,44.9,44.9,0.0,0.0,45.35,45.35,45.35,0.0,0.0,43.91,43.91,43.91,0.0,0.0,44.1,44.1,44.1,0.0,0.0
2018-02-25,53.2,53.2,53.2,0.0,0.0,54.16,54.16,54.16,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.6,50.6,50.6,0.0,0.0
2018-03-04,47.1,47.1,47.1,0.0,0.0,47.5,47.5,47.5,0.0,0.0,45.1,45.1,45.1,0.0,0.0,45.1,45.1,45.1,0.0,0.0
2018-03-11,45.4,45.4,45.4,0.0,0.0,45.4,45.4,45.4,0.0,0.0,44.5,44.5,44.5,0.0,0.0,44.7,44.7,44.7,0.0,0.0
2018-03-18,51.0,51.0,51.0,0.0,0.0,54.0,54.0,54.0,0.0,0.0,50.4,50.4,50.4,0.0,0.0,53.9,53.9,53.9,0.0,0.0
2018-03-25,50.61,50.61,50.61,0.0,0.0,50.78,50.78,50.78,0.0,0.0,48.32,48.32,48.32,0.0,0.0,49.02,49.02,49.02,0.0,0.0
2018-04-01,51.77,51.77,51.77,0.0,0.0,53.94,53.94,53.94,0.0,0.0,50.2,50.2,50.2,0.0,0.0,53.01,53.01,53.01,0.0,0.0
2018-04-08,46.0,46.0,46.0,0.0,0.0,47.77,47.77,47.77,0.0,0.0,45.99,45.99,45.99,0.0,0.0,47.16,47.16,47.16,0.0,0.0
2018-04-15,50.06,50.06,50.06,0.0,0.0,51.47,51.47,51.47,0.0,0.0,49.97,49.97,49.97,0.0,0.0,50.88,50.88,50.88,0.0,0.0
2018-04-22,49.82,49.82,49.82,0.0,0.0,50.48,50.48,50.48,0.0,0.0,49.23,49.23,49.23,0.0,0.0,49.3,49.3,49.3,0.0,0.0
2018-04-29,52.71,52.71,52.71,0.0,0.0,53.0,53.0,53.0,0.0,0.0,49.78,49.78,49.78,0.0,0.0,50.68,50.68,50.68,0.0,0.0
2018-05-06,45.4,45.4,45.4,0.0,0.0,46.0,46.0,46.0,0.0,0.0,45.19,45.19,45.19,0.0,0.0,45.53,45.53,45.53,0.0,0.0
2018-05-13,45.76,45.76,45.76,0.0,0.0,46.45,46.45,46.45,0.0,0.0,45.76,45.76,45.76,0.0,0.0,46.11,46.11,46.11,0.0,0.0
2018-05-20,48.78,48.78,48.78,0.0,0.0,49.04,49.04,49.04,0.0,0.0,48.2,48.2,48.2,0.0,0.0,48.3,48.3,48.3,0.0,0.0
2018-05-27,48.66,48.66,48.66,0.0,0.0,48.66,48.66,48.66,0.0,0.0,47.32,47.32,47.32,0.0,0.0,47.66,47.66,47.66,0.0,0.0
2018-06-03,45.66,45.66,45.66,0.0,0.0,45.8,45.8,45.8,0.0,0.0,44.71,44.71,44.71,0.0,0.0,45.03,45.03,45.03,0.0,0.0
2018-06-10,50.0,50.0,50.0,0.0,0.0,50.69,50.69,50.69,0.0,0.0,48.93,48.93,48.93,0.0,0.0,48.98,48.98,48.98,0.0,0.0
2018-06-17,55.4,55.4,55.4,0.0,0.0,56.32,56.32,56.32,0.0,0.0,55.3,55.3,55.3,0.0,0.0,55.88,55.88,55.88,0.0,0.0
2018-06-24,60.0,60.0,60.0,0.0,0.0,60.65,60.65,60.65,0.0,0.0,59.18,59.18,59.18,0.0,0.0,60.22,60.22,60.22,0.0,0.0
2018-07-01,64.96,64.96,64.96,0.0,0.0,65.18,65.18,65.18,0.0,0.0,61.83,61.83,61.83,0.0,0.0,62.62,62.62,62.62,0.0,0.0
2018-07-08,60.97,60.97,60.97,0.0,0.0,61.19,61.19,61.19,0.0,0.0,59.73,59.73,59.73,0.0,0.0,59.78,59.78,59.78,0.0,0.0
2018-07-15,64.1,64.1,64.1,0.0,0.0,64.1,64.1,64.1,0.0,0.0,61.7,61.7,61.7,0.0,0.0,61.96,61.96,61.96,0.0,0.0
2018-07-22,56.6,56.6,56.6,0.0,0.0,57.82,57.82,57.82,0.0,0.0,56.05,56.05,56.05,0.0,0.0,56.98,56.98,56.98,0.0,0.0
2018-07-29,62.79,62.79,62.79,0.0,0.0,62.91,62.91,62.91,0.0,0.0,61.61,61.61,61.61,0.0,0.0,62.09,62.09,62.09,0.0,0.0
2018-08-05,59.42,59.42,59.42,0.0,0.0,60.22,60.22,60.22,0.0,0.0,58.73,58.73,58.73,0.0,0.0,59.09,59.09,59.09,0.0,0.0
2018-08-12,68.38,68.38,68.38,0.0,0.0,68.9,68.9,68.9,0.0,0.0,63.46,63.46,63.46,0.0,0.0,64.12,64.12,64.12,0.0,0.0
