Date,iShares MSCI Saudi Arabia Capped_Open_average,iShares MSCI Saudi Arabia Capped_Open_max,iShares MSCI Saudi Arabia Capped_Open_min,iShares MSCI Saudi Arabia Capped_Open_volatility,iShares MSCI Saudi Arabia Capped_Open_change,iShares MSCI Saudi Arabia Capped_High_average,iShares MSCI Saudi Arabia Capped_High_max,iShares MSCI Saudi Arabia Capped_High_min,iShares MSCI Saudi Arabia Capped_High_volatility,iShares MSCI Saudi Arabia Capped_High_change,iShares MSCI Saudi Arabia Capped_Low_average,iShares MSCI Saudi Arabia Capped_Low_max,iShares MSCI Saudi Arabia Capped_Low_min,iShares MSCI Saudi Arabia Capped_Low_volatility,iShares MSCI Saudi Arabia Capped_Low_change,iShares MSCI Saudi Arabia Capped_Close_average,iShares MSCI Saudi Arabia Capped_Close_max,iShares MSCI Saudi Arabia Capped_Close_min,iShares MSCI Saudi Arabia Capped_Close_volatility,iShares MSCI Saudi Arabia Capped_Close_change
2018-01-14,27.14,27.14,27.14,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.25,27.25,27.25,0.0,0.0
2018-01-21,27.42,27.42,27.42,0.0,0.0,27.55,27.55,27.55,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.45,27.45,27.45,0.0,0.0
2018-01-28,27.29,27.29,27.29,0.0,0.0,27.42,27.42,27.42,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.24,27.24,27.24,0.0,0.0
2018-02-04,26.89,26.89,26.89,0.0,0.0,27.18,27.18,27.18,0.0,0.0,26.84,26.84,26.84,0.0,0.0,27.15,27.15,27.15,0.0,0.0
2018-02-11,27.39,27.39,27.39,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.39,27.39,27.39,0.0,0.0,27.54,27.54,27.54,0.0,0.0
2018-02-18,27.03,27.03,27.03,0.0,0.0,27.54,27.54,27.54,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.25,27.25,27.25,0.0,0.0
2018-02-25,26.63,26.63,26.63,0.0,0.0,26.81,26.81,26.81,0.0,0.0,26.57,26.57,26.57,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2018-03-04,28.46,28.46,28.46,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.75,28.75,28.75,0.0,0.0
2018-03-11,28.25,28.25,28.25,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.16,28.16,28.16,0.0,0.0,28.21,28.21,28.21,0.0,0.0
2018-03-18,28.98,28.98,28.98,0.0,0.0,29.34,29.34,29.34,0.0,0.0,28.87,28.87,28.87,0.0,0.0,29.26,29.26,29.26,0.0,0.0
