Date,iShares US Insurance_etf_Open_average,iShares US Insurance_etf_Open_max,iShares US Insurance_etf_Open_min,iShares US Insurance_etf_Open_volatility,iShares US Insurance_etf_Open_change,iShares US Insurance_etf_High_average,iShares US Insurance_etf_High_max,iShares US Insurance_etf_High_min,iShares US Insurance_etf_High_volatility,iShares US Insurance_etf_High_change,iShares US Insurance_etf_Low_average,iShares US Insurance_etf_Low_max,iShares US Insurance_etf_Low_min,iShares US Insurance_etf_Low_volatility,iShares US Insurance_etf_Low_change,iShares US Insurance_etf_Close_average,iShares US Insurance_etf_Close_max,iShares US Insurance_etf_Close_min,iShares US Insurance_etf_Close_volatility,iShares US Insurance_etf_Close_change
2018-01-14,67.8,67.8,67.8,0.0,0.0,68.24,68.24,68.24,0.0,0.0,67.8,67.8,67.8,0.0,0.0,68.21,68.21,68.21,0.0,0.0
2018-01-21,69.61,69.61,69.61,0.0,0.0,69.88,69.88,69.88,0.0,0.0,69.56,69.56,69.56,0.0,0.0,69.88,69.88,69.88,0.0,0.0
2018-01-28,68.22,68.22,68.22,0.0,0.0,68.37,68.37,68.37,0.0,0.0,67.41,67.41,67.41,0.0,0.0,67.41,67.41,67.41,0.0,0.0
2018-02-04,63.11,63.11,63.11,0.0,0.0,63.83,63.83,63.83,0.0,0.0,61.93,61.93,61.93,0.0,0.0,63.44,63.44,63.44,0.0,0.0
2018-02-11,65.78,65.78,65.78,0.0,0.0,66.25,66.25,66.25,0.0,0.0,65.63,65.63,65.63,0.0,0.0,66.1,66.1,66.1,0.0,0.0
2018-02-18,65.29,65.29,65.29,0.0,0.0,65.51,65.51,65.51,0.0,0.0,65.22,65.22,65.22,0.0,0.0,65.47,65.47,65.47,0.0,0.0
2018-02-25,63.57,63.57,63.57,0.0,0.0,64.05,64.05,64.05,0.0,0.0,63.16,63.16,63.16,0.0,0.0,64.05,64.05,64.05,0.0,0.0
2018-03-04,66.26,66.26,66.26,0.0,0.0,67.18,67.18,67.18,0.0,0.0,66.04,66.04,66.04,0.0,0.0,67.1,67.1,67.1,0.0,0.0
2018-03-11,66.11,66.11,66.11,0.0,0.0,66.5,66.5,66.5,0.0,0.0,66.11,66.11,66.11,0.0,0.0,66.41,66.41,66.41,0.0,0.0
2018-03-18,64.65,64.65,64.65,0.0,0.0,64.73,64.73,64.73,0.0,0.0,62.92,62.92,62.92,0.0,0.0,62.98,62.98,62.98,0.0,0.0
2018-03-25,64.6,64.6,64.6,0.0,0.0,64.91,64.91,64.91,0.0,0.0,64.49,64.49,64.49,0.0,0.0,64.54,64.54,64.54,0.0,0.0
2018-04-01,64.2,64.2,64.2,0.0,0.0,64.57,64.57,64.57,0.0,0.0,63.22,63.22,63.22,0.0,0.0,63.73,63.73,63.73,0.0,0.0
2018-04-08,64.89,64.89,64.89,0.0,0.0,64.89,64.89,64.89,0.0,0.0,64.15,64.15,64.15,0.0,0.0,64.15,64.15,64.15,0.0,0.0
2018-04-15,65.41,65.41,65.41,0.0,0.0,65.67,65.67,65.67,0.0,0.0,65.18,65.18,65.18,0.0,0.0,65.25,65.25,65.25,0.0,0.0
