Date,SWKS_stock_Open_average,SWKS_stock_Open_max,SWKS_stock_Open_min,SWKS_stock_Open_volatility,SWKS_stock_Open_change,SWKS_stock_High_average,SWKS_stock_High_max,SWKS_stock_High_min,SWKS_stock_High_volatility,SWKS_stock_High_change,SWKS_stock_Low_average,SWKS_stock_Low_max,SWKS_stock_Low_min,SWKS_stock_Low_volatility,SWKS_stock_Low_change,SWKS_stock_Close_average,SWKS_stock_Close_max,SWKS_stock_Close_min,SWKS_stock_Close_volatility,SWKS_stock_Close_change,SWKS_stock_Volume_average,SWKS_stock_Volume_max,SWKS_stock_Volume_min,SWKS_stock_Volume_volatility,SWKS_stock_Volume_change
2018-01-14,101.92,102.47,100.78,1.6899999999999977,0.269999999999996,102.95,103.71,102.47,1.2399999999999949,-0.6400000000000006,99.795,101.54,98.05,3.490000000000009,-1.2600000000000051,100.885,102.29,99.2,3.0900000000000034,-0.6599999999999966,2481892,3317647,1974912,1342735,801794
2018-01-21,98.066,99.13,95.66,3.469999999999999,-3.3900000000000006,99.15,100.73,97.41,3.3200000000000074,-1.730000000000004,96.42,98.13,95.02,3.1099999999999994,-1.8299999999999983,97.524,99.37,95.05,4.320000000000007,-1.3700000000000045,2885504,3342335,2345172,997163,353178
2018-01-28,98.452,102.28,96.01,6.269999999999996,5.599999999999994,100.606,103.91,97.57,6.340000000000003,4.920000000000002,97.056,98.93,95.51,3.4200000000000017,2.8500000000000085,98.726,103.15,97.1,6.050000000000011,1.8599999999999994,3636556,5172360,2896031,2276329,871668
2018-02-04,100.81400000000001,103.5,97.95,5.549999999999997,2.1099999999999994,103.498,106.74,99.72,7.019999999999996,3.6099999999999994,98.814,101.35,94.33,7.019999999999996,4.280000000000001,100.45400000000001,104.56,94.68,9.879999999999995,7.959999999999994,4893739,8628644,3294917,5333727,-2156913
2018-02-11,103.574,104.98,102.82,2.160000000000011,0.519999999999996,104.89,105.17,104.2,0.9699999999999989,0.1700000000000017,102.764,103.6,102.28,1.3199999999999932,1.1199999999999903,104.16,104.65,103.58,1.0700000000000074,0.010000000000005116,2451761,3045373,1955125,1090248,-955807
2018-02-18,106.405,108.0,104.42,3.5799999999999983,3.5799999999999983,107.76,108.35,107.4,0.9499999999999886,0.5599999999999881,105.6075,107.01,103.72,3.2900000000000063,3.2900000000000063,106.975,108.23,106.0,2.230000000000004,1.8200000000000074,2035340,2588699,1598819,989880,-989880
2018-02-25,108.89,110.62,105.72,4.900000000000006,-2.8299999999999983,110.65,112.28,109.62,2.6599999999999966,-0.730000000000004,107.822,110.01,105.6,4.410000000000011,-2.6700000000000017,109.134,110.39,106.59,3.799999999999997,-1.25,1988021,2200039,1870864,329175,7172
2018-03-04,111.258,112.22,109.22,3.0,3.0,112.398,114.05,111.56,2.489999999999995,2.489999999999995,110.25,111.88,108.3,3.5799999999999983,3.5799999999999983,111.974,113.56,111.44,2.1200000000000045,2.0799999999999983,1805319,2488912,1336010,1152902,-554249
2018-03-11,113.086,115.4,111.45,3.950000000000003,-3.069999999999993,113.61,115.98,111.91,4.070000000000007,-4.070000000000007,111.31,113.81,110.41,3.4000000000000057,-3.3599999999999994,112.204,115.16,110.63,4.530000000000001,-4.530000000000001,2095636,2753700,1230938,1522762,-595386
2018-03-18,108.136,110.33,105.32,5.010000000000005,-5.010000000000005,108.952,110.98,105.55,5.430000000000007,-5.430000000000007,105.894,107.73,101.37,6.359999999999999,-6.1299999999999955,106.704,109.33,101.41,7.920000000000002,-7.920000000000002,1827439,2469168,1428571,1040597,551207
2018-03-25,102.525,105.5,99.72,5.780000000000001,-4.310000000000002,103.6175,105.54,101.24,4.300000000000011,-3.760000000000005,100.11,102.35,98.39,3.9599999999999937,-3.5,101.39500000000001,104.93,98.87,6.060000000000002,-4.670000000000002,1952615,2209278,1492102,717176,138332
2018-04-01,98.016,99.9,95.62,4.280000000000001,-2.219999999999999,99.46,100.84,98.14,2.700000000000003,-1.3199999999999932,96.108,98.09,95.22,2.8700000000000045,-0.46999999999999886,97.63,99.63,95.56,4.069999999999993,-0.9699999999999989,1862392,2267611,1194034,1073577,-186849
2018-04-08,98.334,100.63,96.53,4.099999999999994,4.099999999999994,99.524,100.98,98.75,2.230000000000004,2.230000000000004,97.252,98.51,95.97,2.5400000000000063,2.180000000000007,98.156,99.91,96.02,3.8900000000000006,2.450000000000003,1444468,1779547,1205997,573550,-299213
2018-04-15,97.4,99.21,93.37,5.839999999999989,-5.489999999999995,98.006,99.86,93.7,6.159999999999997,-5.799999999999997,95.43599999999999,97.92,90.38,7.540000000000006,-6.890000000000001,96.24,99.45,91.18,8.269999999999996,-6.549999999999997,2562756,5078565,1330583,3747982,3240964
2018-04-22,89.108,91.5,87.9,3.5999999999999943,-2.730000000000004,89.772,91.78,88.74,3.0400000000000063,-2.75,87.3,88.47,86.31,2.1599999999999966,-1.5300000000000011,87.94,88.64,87.08,1.5600000000000023,-1.5600000000000023,2312935,2737307,1415334,1321973,-1321973
2018-04-29,89.46,93.1,86.79,6.309999999999988,2.75,92.5,96.28,88.46,7.820000000000007,7.820000000000007,88.214,90.66,86.13,4.530000000000001,1.8700000000000045,91.494,96.2,86.76,9.439999999999998,9.439999999999998,3413154,4731717,2255357,2476360,2476360
