Date,Fidelity Quality_etf_Open_average,Fidelity Quality_etf_Open_max,Fidelity Quality_etf_Open_min,Fidelity Quality_etf_Open_volatility,Fidelity Quality_etf_Open_change,Fidelity Quality_etf_High_average,Fidelity Quality_etf_High_max,Fidelity Quality_etf_High_min,Fidelity Quality_etf_High_volatility,Fidelity Quality_etf_High_change,Fidelity Quality_etf_Low_average,Fidelity Quality_etf_Low_max,Fidelity Quality_etf_Low_min,Fidelity Quality_etf_Low_volatility,Fidelity Quality_etf_Low_change,Fidelity Quality_etf_Close_average,Fidelity Quality_etf_Close_max,Fidelity Quality_etf_Close_min,Fidelity Quality_etf_Close_volatility,Fidelity Quality_etf_Close_change
2018-01-14,33.23,33.23,33.23,0.0,0.0,33.23,33.23,33.23,0.0,0.0,33.06,33.06,33.06,0.0,0.0,33.19,33.19,33.19,0.0,0.0
2018-01-21,33.81,33.81,33.81,0.0,0.0,34.02,34.02,34.02,0.0,0.0,33.73,33.73,33.73,0.0,0.0,34.02,34.02,34.02,0.0,0.0
2018-01-28,33.11,33.11,33.11,0.0,0.0,33.16,33.16,33.16,0.0,0.0,32.73,32.73,32.73,0.0,0.0,32.73,32.73,32.73,0.0,0.0
2018-02-04,31.22,31.22,31.22,0.0,0.0,31.42,31.42,31.42,0.0,0.0,30.37,30.37,30.37,0.0,0.0,31.27,31.27,31.27,0.0,0.0
2018-02-11,32.99,32.99,32.99,0.0,0.0,32.99,32.99,32.99,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.64,32.64,32.64,0.0,0.0
2018-02-18,32.45,32.45,32.45,0.0,0.0,32.75,32.75,32.75,0.0,0.0,32.4,32.4,32.4,0.0,0.0,32.73,32.73,32.73,0.0,0.0
2018-02-25,31.67,31.67,31.67,0.0,0.0,32.21,32.21,32.21,0.0,0.0,31.66,31.66,31.66,0.0,0.0,32.16,32.16,32.16,0.0,0.0
2018-03-04,33.02,33.02,33.02,0.0,0.0,33.2,33.2,33.2,0.0,0.0,32.83,32.83,32.83,0.0,0.0,33.2,33.2,33.2,0.0,0.0
2018-03-11,32.75,32.75,32.75,0.0,0.0,32.76,32.76,32.76,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.68,32.68,32.68,0.0,0.0
2018-03-18,31.49,31.49,31.49,0.0,0.0,31.52,31.52,31.52,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.79,30.79,30.79,0.0,0.0
