Date,ProShares UltraShort FTSE China 50_Open_average,ProShares UltraShort FTSE China 50_Open_max,ProShares UltraShort FTSE China 50_Open_min,ProShares UltraShort FTSE China 50_Open_volatility,ProShares UltraShort FTSE China 50_Open_change,ProShares UltraShort FTSE China 50_High_average,ProShares UltraShort FTSE China 50_High_max,ProShares UltraShort FTSE China 50_High_min,ProShares UltraShort FTSE China 50_High_volatility,ProShares UltraShort FTSE China 50_High_change,ProShares UltraShort FTSE China 50_Low_average,ProShares UltraShort FTSE China 50_Low_max,ProShares UltraShort FTSE China 50_Low_min,ProShares UltraShort FTSE China 50_Low_volatility,ProShares UltraShort FTSE China 50_Low_change,ProShares UltraShort FTSE China 50_Close_average,ProShares UltraShort FTSE China 50_Close_max,ProShares UltraShort FTSE China 50_Close_min,ProShares UltraShort FTSE China 50_Close_volatility,ProShares UltraShort FTSE China 50_Close_change
2018-01-14,53.76,53.76,53.76,0.0,0.0,53.99,53.99,53.99,0.0,0.0,53.1,53.1,53.1,0.0,0.0,53.1,53.1,53.1,0.0,0.0
2018-01-21,51.36,51.36,51.36,0.0,0.0,51.6,51.6,51.6,0.0,0.0,51.14,51.14,51.14,0.0,0.0,51.54,51.54,51.54,0.0,0.0
2018-01-28,53.92,53.92,53.92,0.0,0.0,58.12,58.12,58.12,0.0,0.0,53.0,53.0,53.0,0.0,0.0,57.64,57.64,57.64,0.0,0.0
2018-02-04,65.64,65.64,65.64,0.0,0.0,66.72,66.72,66.72,0.0,0.0,63.84,63.84,63.84,0.0,0.0,64.68,64.68,64.68,0.0,0.0
2018-02-11,57.76,57.76,57.76,0.0,0.0,58.0,58.0,58.0,0.0,0.0,56.44,56.44,56.44,0.0,0.0,57.68,57.68,57.68,0.0,0.0
2018-02-18,56.4,56.4,56.4,0.0,0.0,56.64,56.64,56.64,0.0,0.0,55.24,55.24,55.24,0.0,0.0,55.26,55.26,55.26,0.0,0.0
2018-02-25,64.28,64.28,64.28,0.0,0.0,64.28,64.28,64.28,0.0,0.0,61.96,61.96,61.96,0.0,0.0,62.28,62.28,62.28,0.0,0.0
2018-03-04,57.32,57.32,57.32,0.0,0.0,58.08,58.08,58.08,0.0,0.0,57.08,57.08,57.08,0.0,0.0,57.56,57.56,57.56,0.0,0.0
2018-03-11,58.36,58.36,58.36,0.0,0.0,59.32,59.32,59.32,0.0,0.0,57.96,57.96,57.96,0.0,0.0,58.84,58.84,58.84,0.0,0.0
2018-03-18,61.56,61.56,61.56,0.0,0.0,62.92,62.92,62.92,0.0,0.0,59.88,59.88,59.88,0.0,0.0,60.0,60.0,60.0,0.0,0.0
2018-03-25,62.48,62.48,62.48,0.0,0.0,65.2,65.2,65.2,0.0,0.0,61.6,61.6,61.6,0.0,0.0,64.04,64.04,64.04,0.0,0.0
2018-04-01,62.8,62.8,62.8,0.0,0.0,63.45,63.45,63.45,0.0,0.0,61.4,61.4,61.4,0.0,0.0,63.0,63.0,63.0,0.0,0.0
2018-04-08,61.96,61.96,61.96,0.0,0.0,62.39,62.39,62.39,0.0,0.0,61.4,61.4,61.4,0.0,0.0,61.48,61.48,61.48,0.0,0.0
2018-04-15,63.04,63.04,63.04,0.0,0.0,63.44,63.44,63.44,0.0,0.0,62.32,62.32,62.32,0.0,0.0,63.04,63.04,63.04,0.0,0.0
2018-04-22,60.12,60.12,60.12,0.0,0.0,61.56,61.56,61.56,0.0,0.0,59.72,59.72,59.72,0.0,0.0,61.56,61.56,61.56,0.0,0.0
2018-04-29,63.44,63.44,63.44,0.0,0.0,63.44,63.44,63.44,0.0,0.0,62.73,62.73,62.73,0.0,0.0,63.28,63.28,63.28,0.0,0.0
2018-05-06,56.88,56.88,56.88,0.0,0.0,57.36,57.36,57.36,0.0,0.0,56.56,56.56,56.56,0.0,0.0,57.2,57.2,57.2,0.0,0.0
2018-05-13,57.8,57.8,57.8,0.0,0.0,58.28,58.28,58.28,0.0,0.0,57.6,57.6,57.6,0.0,0.0,57.96,57.96,57.96,0.0,0.0
2018-05-20,60.82,60.82,60.82,0.0,0.0,61.37,61.37,61.37,0.0,0.0,60.7,60.7,60.7,0.0,0.0,60.7,60.7,60.7,0.0,0.0
2018-05-27,59.1,59.1,59.1,0.0,0.0,59.1,59.1,59.1,0.0,0.0,58.39,58.39,58.39,0.0,0.0,58.52,58.52,58.52,0.0,0.0
2018-06-03,58.18,58.18,58.18,0.0,0.0,58.5,58.5,58.5,0.0,0.0,58.14,58.14,58.14,0.0,0.0,58.36,58.36,58.36,0.0,0.0
2018-06-10,63.52,63.52,63.52,0.0,0.0,64.07,64.07,64.07,0.0,0.0,62.55,62.55,62.55,0.0,0.0,62.62,62.62,62.62,0.0,0.0
2018-06-17,69.28,69.28,69.28,0.0,0.0,70.77,70.77,70.77,0.0,0.0,69.17,69.17,69.17,0.0,0.0,69.88,69.88,69.88,0.0,0.0
2018-06-24,73.2,73.2,73.2,0.0,0.0,74.11,74.11,74.11,0.0,0.0,72.7,72.7,72.7,0.0,0.0,73.25,73.25,73.25,0.0,0.0
2018-07-01,70.61,70.61,70.61,0.0,0.0,70.69,70.69,70.69,0.0,0.0,69.26,69.26,69.26,0.0,0.0,69.4,69.4,69.4,0.0,0.0
2018-07-08,71.98,71.98,71.98,0.0,0.0,72.17,72.17,72.17,0.0,0.0,71.49,71.49,71.49,0.0,0.0,71.94,71.94,71.94,0.0,0.0
2018-07-15,72.05,72.05,72.05,0.0,0.0,72.45,72.45,72.45,0.0,0.0,71.99,71.99,71.99,0.0,0.0,72.05,72.05,72.05,0.0,0.0
2018-07-22,68.0,68.0,68.0,0.0,0.0,68.72,68.72,68.72,0.0,0.0,67.56,67.56,67.56,0.0,0.0,68.29,68.29,68.29,0.0,0.0
2018-07-29,73.6,73.6,73.6,0.0,0.0,73.65,73.65,73.65,0.0,0.0,72.7,72.7,72.7,0.0,0.0,73.07,73.07,73.07,0.0,0.0
2018-08-05,71.05,71.05,71.05,0.0,0.0,72.15,72.15,72.15,0.0,0.0,70.56,70.56,70.56,0.0,0.0,71.95,71.95,71.95,0.0,0.0
2018-08-12,73.91,73.91,73.91,0.0,0.0,74.02,74.02,74.02,0.0,0.0,73.22,73.22,73.22,0.0,0.0,73.24,73.24,73.24,0.0,0.0
2018-08-19,67.37,67.37,67.37,0.0,0.0,67.58,67.58,67.58,0.0,0.0,66.2,66.2,66.2,0.0,0.0,67.53,67.53,67.53,0.0,0.0
2018-08-26,71.08,71.08,71.08,0.0,0.0,71.75,71.75,71.75,0.0,0.0,69.9,69.9,69.9,0.0,0.0,70.41,70.41,70.41,0.0,0.0
2018-09-02,76.05,76.05,76.05,0.0,0.0,77.18,77.18,77.18,0.0,0.0,76.01,76.01,76.01,0.0,0.0,76.9,76.9,76.9,0.0,0.0
2018-09-09,74.44,74.44,74.44,0.0,0.0,74.99,74.99,74.99,0.0,0.0,73.78,73.78,73.78,0.0,0.0,74.71,74.71,74.71,0.0,0.0
2018-09-16,68.93,68.93,68.93,0.0,0.0,70.04,70.04,70.04,0.0,0.0,68.68,68.68,68.68,0.0,0.0,69.18,69.18,69.18,0.0,0.0
2018-09-23,67.98,67.98,67.98,0.0,0.0,68.35,68.35,68.35,0.0,0.0,67.3,67.3,67.3,0.0,0.0,67.94,67.94,67.94,0.0,0.0
2018-09-30,77.45,77.45,77.45,0.0,0.0,77.56,77.56,77.56,0.0,0.0,75.61,75.61,75.61,0.0,0.0,75.88,75.88,75.88,0.0,0.0
2018-10-07,80.18,80.18,80.18,0.0,0.0,80.66,80.66,80.66,0.0,0.0,78.87,78.87,78.87,0.0,0.0,79.91,79.91,79.91,0.0,0.0
2018-10-14,75.23,75.23,75.23,0.0,0.0,76.42,76.42,76.42,0.0,0.0,74.73,74.73,74.73,0.0,0.0,75.62,75.62,75.62,0.0,0.0
2018-10-21,80.94,80.94,80.94,0.0,0.0,85.82,85.82,85.82,0.0,0.0,80.6,80.6,80.6,0.0,0.0,84.08,84.08,84.08,0.0,0.0
2018-10-28,73.08,73.08,73.08,0.0,0.0,73.08,73.08,73.08,0.0,0.0,71.86,71.86,71.86,0.0,0.0,72.33,72.33,72.33,0.0,0.0
2018-11-04,76.35,76.35,76.35,0.0,0.0,78.22,78.22,78.22,0.0,0.0,76.32,76.32,76.32,0.0,0.0,77.75,77.75,77.75,0.0,0.0
2018-11-11,71.4,71.4,71.4,0.0,0.0,73.67,73.67,73.67,0.0,0.0,71.4,71.4,71.4,0.0,0.0,72.99,72.99,72.99,0.0,0.0
2018-11-18,71.89,71.89,71.89,0.0,0.0,72.21,72.21,72.21,0.0,0.0,71.33,71.33,71.33,0.0,0.0,71.59,71.59,71.59,0.0,0.0
2018-11-25,65.48,65.48,65.48,0.0,0.0,66.92,66.92,66.92,0.0,0.0,64.94,64.94,64.94,0.0,0.0,66.3,66.3,66.3,0.0,0.0
2018-12-02,74.12,74.12,74.12,0.0,0.0,75.92,75.92,75.92,0.0,0.0,73.06,73.06,73.06,0.0,0.0,73.74,73.74,73.74,0.0,0.0
2018-12-09,72.11,72.11,72.11,0.0,0.0,73.77,73.77,73.77,0.0,0.0,71.28,71.28,71.28,0.0,0.0,73.12,73.12,73.12,0.0,0.0
2018-12-16,77.48,77.48,77.48,0.0,0.0,78.94,78.94,78.94,0.0,0.0,76.42,76.42,76.42,0.0,0.0,78.94,78.94,78.94,0.0,0.0
2018-12-23,74.94,74.94,74.94,0.0,0.0,77.29,77.29,77.29,0.0,0.0,74.75,74.75,74.75,0.0,0.0,76.8,76.8,76.8,0.0,0.0
2018-12-30,76.14,76.14,76.14,0.0,0.0,76.26,76.26,76.26,0.0,0.0,74.54,74.54,74.54,0.0,0.0,75.07,75.07,75.07,0.0,0.0
2019-01-06,73.95,73.95,73.95,0.0,0.0,73.95,73.95,73.95,0.0,0.0,72.58,72.58,72.58,0.0,0.0,73.09,73.09,73.09,0.0,0.0
2019-01-13,68.55,68.55,68.55,0.0,0.0,68.73,68.73,68.73,0.0,0.0,67.4,67.4,67.4,0.0,0.0,68.01,68.01,68.01,0.0,0.0
2019-01-20,66.87,66.87,66.87,0.0,0.0,67.28,67.28,67.28,0.0,0.0,66.34,66.34,66.34,0.0,0.0,66.39,66.39,66.39,0.0,0.0
2019-01-27,63.9,63.9,63.9,0.0,0.0,64.07,64.07,64.07,0.0,0.0,63.03,63.03,63.03,0.0,0.0,63.54,63.54,63.54,0.0,0.0
2019-02-03,63.38,63.38,63.38,0.0,0.0,64.23,64.23,64.23,0.0,0.0,63.38,63.38,63.38,0.0,0.0,64.02,64.02,64.02,0.0,0.0
2019-02-10,64.07,64.07,64.07,0.0,0.0,64.3,64.3,64.3,0.0,0.0,63.6,63.6,63.6,0.0,0.0,63.8,63.8,63.8,0.0,0.0
2019-02-17,57.28,57.28,57.28,0.0,0.0,57.39,57.39,57.39,0.0,0.0,56.54,56.54,56.54,0.0,0.0,57.14,57.14,57.14,0.0,0.0
2019-02-24,57.86,57.86,57.86,0.0,0.0,59.72,59.72,59.72,0.0,0.0,57.86,57.86,57.86,0.0,0.0,58.66,58.66,58.66,0.0,0.0
2019-03-03,61.8,61.8,61.8,0.0,0.0,61.8,61.8,61.8,0.0,0.0,60.36,60.36,60.36,0.0,0.0,60.57,60.57,60.57,0.0,0.0
2019-03-10,56.96,56.96,56.96,0.0,0.0,57.33,57.33,57.33,0.0,0.0,56.63,56.63,56.63,0.0,0.0,56.97,56.97,56.97,0.0,0.0
2019-03-17,61.0,61.0,61.0,0.0,0.0,61.11,61.11,61.11,0.0,0.0,60.28,60.28,60.28,0.0,0.0,60.49,60.49,60.49,0.0,0.0
2019-03-24,56.94,56.94,56.94,0.0,0.0,57.33,57.33,57.33,0.0,0.0,56.65,56.65,56.65,0.0,0.0,56.74,56.74,56.74,0.0,0.0
2019-03-31,54.83,54.83,54.83,0.0,0.0,55.25,55.25,55.25,0.0,0.0,54.62,54.62,54.62,0.0,0.0,54.82,54.82,54.82,0.0,0.0
2019-04-07,56.07,56.07,56.07,0.0,0.0,56.93,56.93,56.93,0.0,0.0,56.07,56.07,56.07,0.0,0.0,56.66,56.66,56.66,0.0,0.0
2019-04-14,56.4,56.4,56.4,0.0,0.0,56.4,56.4,56.4,0.0,0.0,55.62,55.62,55.62,0.0,0.0,55.79,55.79,55.79,0.0,0.0
2019-04-21,57.06,57.06,57.06,0.0,0.0,57.27,57.27,57.27,0.0,0.0,57.0,57.0,57.0,0.0,0.0,57.1,57.1,57.1,0.0,0.0
2019-04-28,61.0,61.0,61.0,0.0,0.0,61.19,61.19,61.19,0.0,0.0,59.48,59.48,59.48,0.0,0.0,59.69,59.69,59.69,0.0,0.0
2019-05-05,68.5,68.5,68.5,0.0,0.0,69.71,69.71,69.71,0.0,0.0,68.16,68.16,68.16,0.0,0.0,68.88,68.88,68.88,0.0,0.0
2019-05-12,69.45,69.45,69.45,0.0,0.0,69.77,69.77,69.77,0.0,0.0,68.69,68.69,68.69,0.0,0.0,69.43,69.43,69.43,0.0,0.0
2019-05-19,70.21,70.21,70.21,0.0,0.0,71.13,71.13,71.13,0.0,0.0,69.94,69.94,69.94,0.0,0.0,71.08,71.08,71.08,0.0,0.0
2019-05-26,69.0,69.0,69.0,0.0,0.0,69.39,69.39,69.39,0.0,0.0,68.49,68.49,68.49,0.0,0.0,69.05,69.05,69.05,0.0,0.0
2019-06-02,67.47,67.47,67.47,0.0,0.0,67.87,67.87,67.87,0.0,0.0,66.78,66.78,66.78,0.0,0.0,67.51,67.51,67.51,0.0,0.0
2019-06-09,68.19,68.19,68.19,0.0,0.0,68.34,68.34,68.34,0.0,0.0,67.58,67.58,67.58,0.0,0.0,67.89,67.89,67.89,0.0,0.0
2019-06-16,61.01,61.01,61.01,0.0,0.0,61.25,61.25,61.25,0.0,0.0,60.73,60.73,60.73,0.0,0.0,61.16,61.16,61.16,0.0,0.0
2019-06-23,57.27,57.27,57.27,0.0,0.0,58.87,58.87,58.87,0.0,0.0,56.74,56.74,56.74,0.0,0.0,58.43,58.43,58.43,0.0,0.0
2019-06-30,61.67,61.67,61.67,0.0,0.0,61.75,61.75,61.75,0.0,0.0,61.18,61.18,61.18,0.0,0.0,61.46,61.46,61.46,0.0,0.0
