Date,Invesco S and P MidCap MomentumEtf_Open_average,Invesco S and P MidCap MomentumEtf_Open_max,Invesco S and P MidCap MomentumEtf_Open_min,Invesco S and P MidCap MomentumEtf_Open_volatility,Invesco S and P MidCap MomentumEtf_Open_change,Invesco S and P MidCap MomentumEtf_High_average,Invesco S and P MidCap MomentumEtf_High_max,Invesco S and P MidCap MomentumEtf_High_min,Invesco S and P MidCap MomentumEtf_High_volatility,Invesco S and P MidCap MomentumEtf_High_change,Invesco S and P MidCap MomentumEtf_Low_average,Invesco S and P MidCap MomentumEtf_Low_max,Invesco S and P MidCap MomentumEtf_Low_min,Invesco S and P MidCap MomentumEtf_Low_volatility,Invesco S and P MidCap MomentumEtf_Low_change,Invesco S and P MidCap MomentumEtf_Close_average,Invesco S and P MidCap MomentumEtf_Close_max,Invesco S and P MidCap MomentumEtf_Close_min,Invesco S and P MidCap MomentumEtf_Close_volatility,Invesco S and P MidCap MomentumEtf_Close_change
2018-01-14,45.55,45.55,45.55,0.0,0.0,45.88,45.88,45.88,0.0,0.0,45.53,45.53,45.53,0.0,0.0,45.88,45.88,45.88,0.0,0.0
2018-01-21,46.15,46.15,46.15,0.0,0.0,46.41,46.41,46.41,0.0,0.0,45.88,45.88,45.88,0.0,0.0,46.41,46.41,46.41,0.0,0.0
2018-01-28,45.14,45.14,45.14,0.0,0.0,45.17,45.17,45.17,0.0,0.0,44.62,44.62,44.62,0.0,0.0,44.62,44.62,44.62,0.0,0.0
2018-02-04,42.31,42.31,42.31,0.0,0.0,42.65,42.65,42.65,0.0,0.0,41.05,41.05,41.05,0.0,0.0,42.65,42.65,42.65,0.0,0.0
2018-02-11,45.0,45.0,45.0,0.0,0.0,45.22,45.22,45.22,0.0,0.0,45.0,45.0,45.0,0.0,0.0,45.13,45.13,45.13,0.0,0.0
2018-02-18,45.39,45.39,45.39,0.0,0.0,45.41,45.41,45.41,0.0,0.0,44.95,44.95,44.95,0.0,0.0,45.37,45.37,45.37,0.0,0.0
2018-02-25,44.23,44.23,44.23,0.0,0.0,45.32,45.32,45.32,0.0,0.0,44.14,44.14,44.14,0.0,0.0,45.3,45.3,45.3,0.0,0.0
2018-03-04,47.09,47.09,47.09,0.0,0.0,47.51,47.51,47.51,0.0,0.0,47.09,47.09,47.09,0.0,0.0,47.46,47.46,47.46,0.0,0.0
2018-03-11,47.14,47.14,47.14,0.0,0.0,47.38,47.38,47.38,0.0,0.0,47.14,47.14,47.14,0.0,0.0,47.22,47.22,47.22,0.0,0.0
2018-03-18,46.06,46.06,46.06,0.0,0.0,46.25,46.25,46.25,0.0,0.0,45.07,45.07,45.07,0.0,0.0,45.07,45.07,45.07,0.0,0.0
2018-03-25,44.86,44.86,44.86,0.0,0.0,45.57,45.57,45.57,0.0,0.0,44.86,44.86,44.86,0.0,0.0,45.57,45.57,45.57,0.0,0.0
2018-04-01,45.29,45.29,45.29,0.0,0.0,45.59,45.59,45.59,0.0,0.0,44.32,44.32,44.32,0.0,0.0,44.75,44.75,44.75,0.0,0.0
2018-04-08,46.03,46.03,46.03,0.0,0.0,46.03,46.03,46.03,0.0,0.0,45.22,45.22,45.22,0.0,0.0,45.37,45.37,45.37,0.0,0.0
2018-04-15,46.37,46.37,46.37,0.0,0.0,46.52,46.52,46.52,0.0,0.0,46.09,46.09,46.09,0.0,0.0,46.17,46.17,46.17,0.0,0.0
2018-04-22,45.84,45.84,45.84,0.0,0.0,46.15,46.15,46.15,0.0,0.0,45.58,45.58,45.58,0.0,0.0,45.84,45.84,45.84,0.0,0.0
2018-04-29,45.85,45.85,45.85,0.0,0.0,46.69,46.69,46.69,0.0,0.0,45.6,45.6,45.6,0.0,0.0,46.57,46.57,46.57,0.0,0.0
2018-05-06,48.19,48.19,48.19,0.0,0.0,48.45,48.45,48.45,0.0,0.0,48.04,48.04,48.04,0.0,0.0,48.39,48.39,48.39,0.0,0.0
