Date,Schwab US Large-Cap Growth_etf_Open_average,Schwab US Large-Cap Growth_etf_Open_max,Schwab US Large-Cap Growth_etf_Open_min,Schwab US Large-Cap Growth_etf_Open_volatility,Schwab US Large-Cap Growth_etf_Open_change,Schwab US Large-Cap Growth_etf_High_average,Schwab US Large-Cap Growth_etf_High_max,Schwab US Large-Cap Growth_etf_High_min,Schwab US Large-Cap Growth_etf_High_volatility,Schwab US Large-Cap Growth_etf_High_change,Schwab US Large-Cap Growth_etf_Low_average,Schwab US Large-Cap Growth_etf_Low_max,Schwab US Large-Cap Growth_etf_Low_min,Schwab US Large-Cap Growth_etf_Low_volatility,Schwab US Large-Cap Growth_etf_Low_change,Schwab US Large-Cap Growth_etf_Close_average,Schwab US Large-Cap Growth_etf_Close_max,Schwab US Large-Cap Growth_etf_Close_min,Schwab US Large-Cap Growth_etf_Close_volatility,Schwab US Large-Cap Growth_etf_Close_change
2018-01-14,75.06,75.06,75.06,0.0,0.0,75.28,75.28,75.28,0.0,0.0,74.9,74.9,74.9,0.0,0.0,75.28,75.28,75.28,0.0,0.0
2018-01-21,76.39,76.39,76.39,0.0,0.0,76.83,76.83,76.83,0.0,0.0,76.16,76.16,76.16,0.0,0.0,76.83,76.83,76.83,0.0,0.0
2018-01-28,75.19,75.19,75.19,0.0,0.0,75.24,75.24,75.24,0.0,0.0,74.0,74.0,74.0,0.0,0.0,74.05,74.05,74.05,0.0,0.0
2018-02-04,70.18,70.18,70.18,0.0,0.0,70.8,70.8,70.8,0.0,0.0,67.83,67.83,67.83,0.0,0.0,70.28,70.28,70.28,0.0,0.0
2018-02-11,73.58,73.58,73.58,0.0,0.0,74.33,74.33,74.33,0.0,0.0,73.55,73.55,73.55,0.0,0.0,73.77,73.77,73.77,0.0,0.0
2018-02-18,73.73,73.73,73.73,0.0,0.0,74.45,74.45,74.45,0.0,0.0,73.5,73.5,73.5,0.0,0.0,74.44,74.44,74.44,0.0,0.0
2018-02-25,71.95,71.95,71.95,0.0,0.0,73.16,73.16,73.16,0.0,0.0,71.63,71.63,71.63,0.0,0.0,73.04,73.04,73.04,0.0,0.0
2018-03-04,75.12,75.12,75.12,0.0,0.0,76.05,76.05,76.05,0.0,0.0,75.05,75.05,75.05,0.0,0.0,76.05,76.05,76.05,0.0,0.0
2018-03-11,75.19,75.19,75.19,0.0,0.0,75.35,75.35,75.35,0.0,0.0,75.06,75.06,75.06,0.0,0.0,75.08,75.08,75.08,0.0,0.0
2018-03-18,72.18,72.18,72.18,0.0,0.0,72.5,72.5,72.5,0.0,0.0,70.62,70.62,70.62,0.0,0.0,70.65,70.65,70.65,0.0,0.0
