Date,MMS_Open_average,MMS_Open_max,MMS_Open_min,MMS_Open_volatility,MMS_Open_change,MMS_High_average,MMS_High_max,MMS_High_min,MMS_High_volatility,MMS_High_change,MMS_Low_average,MMS_Low_max,MMS_Low_min,MMS_Low_volatility,MMS_Low_change,MMS_Close_average,MMS_Close_max,MMS_Close_min,MMS_Close_volatility,MMS_Close_change,MMS_Volume_average,MMS_Volume_max,MMS_Volume_min,MMS_Volume_volatility,MMS_Volume_change
2018-01-14,70.458,72.1,69.76,2.339999999999989,-2.009999999999991,70.766,72.28,70.1,2.180000000000007,-2.180000000000007,69.76,71.08,69.25,1.8299999999999983,-1.7999999999999972,70.12,71.25,69.58,1.6700000000000017,-1.5400000000000063,471579,630852,263758,367094,-100979
2018-01-21,69.794,70.09,69.59,0.5,0.21000000000000796,70.118,70.51,69.83,0.6800000000000068,0.38000000000000966,69.206,69.45,68.9,0.5499999999999972,-0.28000000000000114,69.562,70.15,69.0,1.1500000000000057,-0.20000000000000284,405555,516990,320657,196333,68608
2018-01-28,68.242,68.69,67.38,1.3100000000000023,-1.1500000000000057,68.836,69.15,67.99,1.1600000000000108,-1.0300000000000011,67.378,68.24,65.17,3.069999999999993,-3.069999999999993,67.698,68.77,65.21,3.5600000000000023,-3.3400000000000034,495548,654845,405731,249114,115964
2018-02-04,64.85,66.69,64.01,2.6799999999999926,-0.14000000000000057,65.646,67.29,64.74,2.5500000000000114,-0.9699999999999989,63.552,64.46,62.67,1.789999999999992,0.07000000000000028,64.444,65.24,63.79,1.4499999999999957,-0.3199999999999932,853483,1112895,670775,442120,335927
2018-02-11,65.7575,67.31,64.35,2.960000000000008,2.1000000000000085,66.8475,67.55,65.56,1.9899999999999949,1.9899999999999949,65.425,66.41,64.09,2.319999999999993,2.319999999999993,66.5125,67.26,65.34,1.9200000000000017,1.9200000000000017,856186,988111,761726,226385,85086
2018-02-18,67.774,68.42,67.06,1.3599999999999994,1.1899999999999977,68.44,68.79,67.87,0.9200000000000017,0.5899999999999892,67.498,67.9,66.91,0.9900000000000091,0.7800000000000011,67.95400000000001,68.45,67.14,1.3100000000000023,1.3100000000000023,450687,686693,245686,441007,-441007
2018-02-25,67.22200000000001,68.5,66.04,2.4599999999999937,-1.9699999999999989,67.822,68.95,66.85,2.1000000000000085,-1.7900000000000063,66.554,67.64,65.79,1.8499999999999943,-1.2999999999999972,66.994,67.92,66.52,1.4000000000000057,-1.0900000000000034,412376,539780,327274,212506,118301
2018-03-04,67.922,69.18,67.12,2.0600000000000023,2.0600000000000023,68.52799999999999,69.21,67.82,1.3900000000000006,1.3600000000000136,67.452,68.14,66.79,1.3499999999999943,1.1999999999999886,68.09,69.0,67.65,1.3499999999999943,0.5499999999999972,442563,589620,251835,337785,26375
2018-03-11,68.174,68.53,68.0,0.5300000000000011,-0.46999999999999886,68.354,68.74,68.09,0.6499999999999915,-0.6499999999999915,67.522,67.79,66.91,0.8800000000000097,-0.8299999999999983,67.882,68.11,67.6,0.5100000000000051,-0.37000000000000455,405462,773495,227518,545977,-83572
2018-03-18,66.53,67.57,64.69,2.8799999999999955,-2.8799999999999955,66.796,68.01,64.95,3.0600000000000023,-3.0600000000000023,65.616,67.32,63.76,3.559999999999995,-3.559999999999995,65.872,67.48,63.86,3.6200000000000045,-2.6899999999999977,343645,433781,248039,185742,185742
