Date,First Trust Health Care AlphaDEX_Open_average,First Trust Health Care AlphaDEX_Open_max,First Trust Health Care AlphaDEX_Open_min,First Trust Health Care AlphaDEX_Open_volatility,First Trust Health Care AlphaDEX_Open_change,First Trust Health Care AlphaDEX_High_average,First Trust Health Care AlphaDEX_High_max,First Trust Health Care AlphaDEX_High_min,First Trust Health Care AlphaDEX_High_volatility,First Trust Health Care AlphaDEX_High_change,First Trust Health Care AlphaDEX_Low_average,First Trust Health Care AlphaDEX_Low_max,First Trust Health Care AlphaDEX_Low_min,First Trust Health Care AlphaDEX_Low_volatility,First Trust Health Care AlphaDEX_Low_change,First Trust Health Care AlphaDEX_Close_average,First Trust Health Care AlphaDEX_Close_max,First Trust Health Care AlphaDEX_Close_min,First Trust Health Care AlphaDEX_Close_volatility,First Trust Health Care AlphaDEX_Close_change
2018-01-14,74.15,74.15,74.15,0.0,0.0,74.77,74.77,74.77,0.0,0.0,74.15,74.15,74.15,0.0,0.0,74.77,74.77,74.77,0.0,0.0
2018-01-21,76.33,76.33,76.33,0.0,0.0,76.92,76.92,76.92,0.0,0.0,76.33,76.33,76.33,0.0,0.0,76.56,76.56,76.56,0.0,0.0
2018-01-28,72.45,72.45,72.45,0.0,0.0,72.84,72.84,72.84,0.0,0.0,69.8,69.8,69.8,0.0,0.0,69.9,69.9,69.9,0.0,0.0
2018-02-04,69.54,69.54,69.54,0.0,0.0,70.37,70.37,70.37,0.0,0.0,68.99,68.99,68.99,0.0,0.0,69.91,69.91,69.91,0.0,0.0
2018-02-11,71.8,71.8,71.8,0.0,0.0,72.73,72.73,72.73,0.0,0.0,71.8,71.8,71.8,0.0,0.0,72.22,72.22,72.22,0.0,0.0
2018-02-18,72.26,72.26,72.26,0.0,0.0,72.62,72.62,72.62,0.0,0.0,71.93,71.93,71.93,0.0,0.0,72.49,72.49,72.49,0.0,0.0
2018-02-25,70.61,70.61,70.61,0.0,0.0,71.93,71.93,71.93,0.0,0.0,70.51,70.51,70.51,0.0,0.0,71.77,71.77,71.77,0.0,0.0
2018-03-04,73.89,73.89,73.89,0.0,0.0,73.99,73.99,73.99,0.0,0.0,73.65,73.65,73.65,0.0,0.0,73.82,73.82,73.82,0.0,0.0
2018-03-11,72.71,72.71,72.71,0.0,0.0,72.71,72.71,72.71,0.0,0.0,71.29,71.29,71.29,0.0,0.0,71.87,71.87,71.87,0.0,0.0
2018-03-18,69.32,69.32,69.32,0.0,0.0,69.86,69.86,69.86,0.0,0.0,68.53,68.53,68.53,0.0,0.0,69.8,69.8,69.8,0.0,0.0
2018-03-25,69.19,69.19,69.19,0.0,0.0,69.35,69.35,69.35,0.0,0.0,66.88,66.88,66.88,0.0,0.0,67.48,67.48,67.48,0.0,0.0
2018-04-01,68.37,68.37,68.37,0.0,0.0,69.26,69.26,69.26,0.0,0.0,68.13,68.13,68.13,0.0,0.0,68.3,68.3,68.3,0.0,0.0
2018-04-08,69.67,69.67,69.67,0.0,0.0,70.22,70.22,70.22,0.0,0.0,69.59,69.59,69.59,0.0,0.0,69.88,69.88,69.88,0.0,0.0
2018-04-15,70.24,70.24,70.24,0.0,0.0,70.49,70.49,70.49,0.0,0.0,69.93,69.93,69.93,0.0,0.0,70.08,70.08,70.08,0.0,0.0
2018-04-22,70.57,70.57,70.57,0.0,0.0,70.57,70.57,70.57,0.0,0.0,69.37,69.37,69.37,0.0,0.0,69.37,69.37,69.37,0.0,0.0
2018-04-29,70.28,70.28,70.28,0.0,0.0,70.65,70.65,70.65,0.0,0.0,70.0,70.0,70.0,0.0,0.0,70.12,70.12,70.12,0.0,0.0
2018-05-06,72.49,72.49,72.49,0.0,0.0,73.18,73.18,73.18,0.0,0.0,72.38,72.38,72.38,0.0,0.0,72.67,72.67,72.67,0.0,0.0
2018-05-13,73.23,73.23,73.23,0.0,0.0,73.36,73.36,73.36,0.0,0.0,72.84,72.84,72.84,0.0,0.0,72.94,72.94,72.94,0.0,0.0
2018-05-20,72.94,72.94,72.94,0.0,0.0,73.41,73.41,73.41,0.0,0.0,72.91,72.91,72.91,0.0,0.0,73.06,73.06,73.06,0.0,0.0
2018-05-27,73.82,73.82,73.82,0.0,0.0,74.16,74.16,74.16,0.0,0.0,73.45,73.45,73.45,0.0,0.0,74.15,74.15,74.15,0.0,0.0
2018-06-03,75.66,75.66,75.66,0.0,0.0,76.36,76.36,76.36,0.0,0.0,75.66,75.66,75.66,0.0,0.0,76.18,76.18,76.18,0.0,0.0
2018-06-10,76.79,76.79,76.79,0.0,0.0,76.9,76.9,76.9,0.0,0.0,76.61,76.61,76.61,0.0,0.0,76.87,76.87,76.87,0.0,0.0
2018-06-17,76.29,76.29,76.29,0.0,0.0,76.45,76.45,76.45,0.0,0.0,74.98,74.98,74.98,0.0,0.0,75.46,75.46,75.46,0.0,0.0
2018-06-24,73.86,73.86,73.86,0.0,0.0,74.62,74.62,74.62,0.0,0.0,73.56,73.56,73.56,0.0,0.0,74.61,74.61,74.61,0.0,0.0
2018-07-01,76.67,76.67,76.67,0.0,0.0,76.67,76.67,76.67,0.0,0.0,76.29,76.29,76.29,0.0,0.0,76.57,76.57,76.57,0.0,0.0
2018-07-08,77.49,77.49,77.49,0.0,0.0,77.49,77.49,77.49,0.0,0.0,76.89,76.89,76.89,0.0,0.0,76.93,76.93,76.93,0.0,0.0
2018-07-15,77.29,77.29,77.29,0.0,0.0,77.9,77.9,77.9,0.0,0.0,77.29,77.29,77.29,0.0,0.0,77.72,77.72,77.72,0.0,0.0
2018-07-22,76.8,76.8,76.8,0.0,0.0,76.89,76.89,76.89,0.0,0.0,75.78,75.78,75.78,0.0,0.0,75.93,75.93,75.93,0.0,0.0
2018-07-29,78.57,78.57,78.57,0.0,0.0,79.01,79.01,79.01,0.0,0.0,78.57,78.57,78.57,0.0,0.0,78.78,78.78,78.78,0.0,0.0
2018-08-05,78.62,78.62,78.62,0.0,0.0,79.05,79.05,79.05,0.0,0.0,78.31,78.31,78.31,0.0,0.0,78.53,78.53,78.53,0.0,0.0
2018-08-12,79.63,79.63,79.63,0.0,0.0,79.66,79.66,79.66,0.0,0.0,79.28,79.28,79.28,0.0,0.0,79.58,79.58,79.58,0.0,0.0
2018-08-19,81.73,81.73,81.73,0.0,0.0,82.15,82.15,82.15,0.0,0.0,81.72,81.72,81.72,0.0,0.0,82.14,82.14,82.14,0.0,0.0
2018-08-26,82.5,82.5,82.5,0.0,0.0,82.98,82.98,82.98,0.0,0.0,82.5,82.5,82.5,0.0,0.0,82.98,82.98,82.98,0.0,0.0
2018-09-02,82.53,82.53,82.53,0.0,0.0,82.53,82.53,82.53,0.0,0.0,81.91,81.91,81.91,0.0,0.0,82.14,82.14,82.14,0.0,0.0
2018-09-09,83.48,83.48,83.48,0.0,0.0,83.58,83.58,83.58,0.0,0.0,82.22,82.22,82.22,0.0,0.0,82.34,82.34,82.34,0.0,0.0
2018-09-16,82.89,82.89,82.89,0.0,0.0,83.7,83.7,83.7,0.0,0.0,82.8,82.8,82.8,0.0,0.0,83.69,83.69,83.69,0.0,0.0
2018-09-23,85.15,85.15,85.15,0.0,0.0,85.31,85.31,85.31,0.0,0.0,84.34,84.34,84.34,0.0,0.0,84.57,84.57,84.57,0.0,0.0
2018-09-30,81.62,81.62,81.62,0.0,0.0,81.79,81.79,81.79,0.0,0.0,80.26,80.26,80.26,0.0,0.0,81.02,81.02,81.02,0.0,0.0
2018-10-07,78.48,78.48,78.48,0.0,0.0,78.95,78.95,78.95,0.0,0.0,78.03,78.03,78.03,0.0,0.0,78.23,78.23,78.23,0.0,0.0
2018-10-14,78.74,78.74,78.74,0.0,0.0,78.97,78.97,78.97,0.0,0.0,77.86,77.86,77.86,0.0,0.0,78.37,78.37,78.37,0.0,0.0
2018-10-21,75.56,75.56,75.56,0.0,0.0,75.89,75.89,75.89,0.0,0.0,73.18,73.18,73.18,0.0,0.0,74.25,74.25,74.25,0.0,0.0
2018-10-28,77.18,77.18,77.18,0.0,0.0,77.29,77.29,77.29,0.0,0.0,76.57,76.57,76.57,0.0,0.0,77.06,77.06,77.06,0.0,0.0
