Date,iShares MSCI United Kingdom Small-Cap_Open_average,iShares MSCI United Kingdom Small-Cap_Open_max,iShares MSCI United Kingdom Small-Cap_Open_min,iShares MSCI United Kingdom Small-Cap_Open_volatility,iShares MSCI United Kingdom Small-Cap_Open_change,iShares MSCI United Kingdom Small-Cap_High_average,iShares MSCI United Kingdom Small-Cap_High_max,iShares MSCI United Kingdom Small-Cap_High_min,iShares MSCI United Kingdom Small-Cap_High_volatility,iShares MSCI United Kingdom Small-Cap_High_change,iShares MSCI United Kingdom Small-Cap_Low_average,iShares MSCI United Kingdom Small-Cap_Low_max,iShares MSCI United Kingdom Small-Cap_Low_min,iShares MSCI United Kingdom Small-Cap_Low_volatility,iShares MSCI United Kingdom Small-Cap_Low_change,iShares MSCI United Kingdom Small-Cap_Close_average,iShares MSCI United Kingdom Small-Cap_Close_max,iShares MSCI United Kingdom Small-Cap_Close_min,iShares MSCI United Kingdom Small-Cap_Close_volatility,iShares MSCI United Kingdom Small-Cap_Close_change
2018-01-14,45.23,45.23,45.23,0.0,0.0,45.51,45.51,45.51,0.0,0.0,45.23,45.23,45.23,0.0,0.0,45.45,45.45,45.45,0.0,0.0
2018-01-21,45.69,45.69,45.69,0.0,0.0,45.69,45.69,45.69,0.0,0.0,45.39,45.39,45.39,0.0,0.0,45.67,45.67,45.67,0.0,0.0
2018-01-28,43.63,43.63,43.63,0.0,0.0,43.63,43.63,43.63,0.0,0.0,42.39,42.39,42.39,0.0,0.0,42.58,42.58,42.58,0.0,0.0
2018-02-04,42.07,42.07,42.07,0.0,0.0,42.29,42.29,42.29,0.0,0.0,42.07,42.07,42.07,0.0,0.0,42.21,42.21,42.21,0.0,0.0
2018-02-11,43.63,43.63,43.63,0.0,0.0,43.77,43.77,43.77,0.0,0.0,43.63,43.63,43.63,0.0,0.0,43.77,43.77,43.77,0.0,0.0
2018-02-18,43.61,43.61,43.61,0.0,0.0,43.61,43.61,43.61,0.0,0.0,43.56,43.56,43.56,0.0,0.0,43.56,43.56,43.56,0.0,0.0
2018-02-25,42.81,42.81,42.81,0.0,0.0,42.83,42.83,42.83,0.0,0.0,42.81,42.81,42.81,0.0,0.0,42.83,42.83,42.83,0.0,0.0
2018-03-04,43.97,43.97,43.97,0.0,0.0,43.97,43.97,43.97,0.0,0.0,43.9,43.9,43.9,0.0,0.0,43.9,43.9,43.9,0.0,0.0
2018-03-11,43.89,43.89,43.89,0.0,0.0,43.89,43.89,43.89,0.0,0.0,43.73,43.73,43.73,0.0,0.0,43.76,43.76,43.76,0.0,0.0
2018-03-18,43.59,43.59,43.59,0.0,0.0,43.71,43.71,43.71,0.0,0.0,43.27,43.27,43.27,0.0,0.0,43.61,43.61,43.61,0.0,0.0
2018-03-25,42.95,42.95,42.95,0.0,0.0,43.04,43.04,43.04,0.0,0.0,42.6,42.6,42.6,0.0,0.0,42.76,42.76,42.76,0.0,0.0
2018-04-01,43.85,43.85,43.85,0.0,0.0,43.85,43.85,43.85,0.0,0.0,43.8,43.8,43.8,0.0,0.0,43.8,43.8,43.8,0.0,0.0
2018-04-08,45.35,45.35,45.35,0.0,0.0,45.35,45.35,45.35,0.0,0.0,45.3,45.3,45.3,0.0,0.0,45.3,45.3,45.3,0.0,0.0
2018-04-15,45.11,45.11,45.11,0.0,0.0,45.11,45.11,45.11,0.0,0.0,45.11,45.11,45.11,0.0,0.0,45.11,45.11,45.11,0.0,0.0
2018-04-22,44.59,44.59,44.59,0.0,0.0,44.65,44.65,44.65,0.0,0.0,44.56,44.56,44.56,0.0,0.0,44.65,44.65,44.65,0.0,0.0
2018-04-29,44.4,44.4,44.4,0.0,0.0,44.56,44.56,44.56,0.0,0.0,44.4,44.4,44.4,0.0,0.0,44.43,44.43,44.43,0.0,0.0
2018-05-06,45.16,45.16,45.16,0.0,0.0,45.24,45.24,45.24,0.0,0.0,45.16,45.16,45.16,0.0,0.0,45.24,45.24,45.24,0.0,0.0
2018-05-13,45.75,45.75,45.75,0.0,0.0,45.75,45.75,45.75,0.0,0.0,45.74,45.74,45.74,0.0,0.0,45.74,45.74,45.74,0.0,0.0
2018-05-20,45.14,45.14,45.14,0.0,0.0,45.14,45.14,45.14,0.0,0.0,45.14,45.14,45.14,0.0,0.0,45.14,45.14,45.14,0.0,0.0
2018-05-27,45.08,45.08,45.08,0.0,0.0,45.34,45.34,45.34,0.0,0.0,44.96,44.96,44.96,0.0,0.0,45.2,45.2,45.2,0.0,0.0
2018-06-03,45.83,45.83,45.83,0.0,0.0,45.86,45.86,45.86,0.0,0.0,45.83,45.83,45.83,0.0,0.0,45.85,45.85,45.85,0.0,0.0
2018-06-10,44.84,44.84,44.84,0.0,0.0,44.85,44.85,44.85,0.0,0.0,44.8,44.8,44.8,0.0,0.0,44.8,44.8,44.8,0.0,0.0
2018-06-17,44.04,44.04,44.04,0.0,0.0,44.04,44.04,44.04,0.0,0.0,44.04,44.04,44.04,0.0,0.0,44.04,44.04,44.04,0.0,0.0
2018-06-24,42.63,42.63,42.63,0.0,0.0,42.79,42.79,42.79,0.0,0.0,42.57,42.57,42.57,0.0,0.0,42.63,42.63,42.63,0.0,0.0
2018-07-01,43.58,43.58,43.58,0.0,0.0,43.61,43.61,43.61,0.0,0.0,43.58,43.58,43.58,0.0,0.0,43.61,43.61,43.61,0.0,0.0
2018-07-08,43.53,43.53,43.53,0.0,0.0,43.53,43.53,43.53,0.0,0.0,43.53,43.53,43.53,0.0,0.0,43.53,43.53,43.53,0.0,0.0
2018-07-15,43.2,43.2,43.2,0.0,0.0,43.2,43.2,43.2,0.0,0.0,43.2,43.2,43.2,0.0,0.0,43.2,43.2,43.2,0.0,0.0
2018-07-22,43.35,43.35,43.35,0.0,0.0,43.51,43.51,43.51,0.0,0.0,43.35,43.35,43.35,0.0,0.0,43.51,43.51,43.51,0.0,0.0
2018-07-29,42.28,42.28,42.28,0.0,0.0,42.34,42.34,42.34,0.0,0.0,42.28,42.28,42.28,0.0,0.0,42.31,42.31,42.31,0.0,0.0
2018-08-05,41.6,41.6,41.6,0.0,0.0,41.62,41.62,41.62,0.0,0.0,41.35,41.35,41.35,0.0,0.0,41.38,41.38,41.38,0.0,0.0
2018-08-12,41.47,41.47,41.47,0.0,0.0,41.61,41.61,41.61,0.0,0.0,41.45,41.45,41.45,0.0,0.0,41.61,41.61,41.61,0.0,0.0
2018-08-19,41.97,41.97,41.97,0.0,0.0,41.97,41.97,41.97,0.0,0.0,41.97,41.97,41.97,0.0,0.0,41.97,41.97,41.97,0.0,0.0
2018-08-26,42.58,42.58,42.58,0.0,0.0,42.68,42.68,42.68,0.0,0.0,42.26,42.26,42.26,0.0,0.0,42.26,42.26,42.26,0.0,0.0
2018-09-02,41.59,41.59,41.59,0.0,0.0,41.82,41.82,41.82,0.0,0.0,41.59,41.59,41.59,0.0,0.0,41.82,41.82,41.82,0.0,0.0
2018-09-09,42.13,42.13,42.13,0.0,0.0,42.2,42.2,42.2,0.0,0.0,42.05,42.05,42.05,0.0,0.0,42.05,42.05,42.05,0.0,0.0
2018-09-16,42.37,42.37,42.37,0.0,0.0,42.37,42.37,42.37,0.0,0.0,42.04,42.04,42.04,0.0,0.0,42.08,42.08,42.08,0.0,0.0
2018-09-23,41.83,41.83,41.83,0.0,0.0,41.97,41.97,41.97,0.0,0.0,41.83,41.83,41.83,0.0,0.0,41.97,41.97,41.97,0.0,0.0
2018-09-30,40.33,40.33,40.33,0.0,0.0,40.33,40.33,40.33,0.0,0.0,40.13,40.13,40.13,0.0,0.0,40.26,40.26,40.26,0.0,0.0
2018-10-07,38.7,38.7,38.7,0.0,0.0,38.7,38.7,38.7,0.0,0.0,38.66,38.66,38.66,0.0,0.0,38.66,38.66,38.66,0.0,0.0
2018-10-14,38.25,38.25,38.25,0.0,0.0,38.26,38.26,38.26,0.0,0.0,38.21,38.21,38.21,0.0,0.0,38.21,38.21,38.21,0.0,0.0
2018-10-21,37.47,37.47,37.47,0.0,0.0,37.47,37.47,37.47,0.0,0.0,36.64,36.64,36.64,0.0,0.0,36.97,36.97,36.97,0.0,0.0
2018-10-28,39.09,39.09,39.09,0.0,0.0,39.09,39.09,39.09,0.0,0.0,38.9,38.9,38.9,0.0,0.0,38.9,38.9,38.9,0.0,0.0
2018-11-04,38.05,38.05,38.05,0.0,0.0,38.32,38.32,38.32,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.7,37.7,37.7,0.0,0.0
2018-11-11,36.98,36.98,36.98,0.0,0.0,36.98,36.98,36.98,0.0,0.0,36.77,36.77,36.77,0.0,0.0,36.77,36.77,36.77,0.0,0.0
2018-11-18,36.85,36.85,36.85,0.0,0.0,37.04,37.04,37.04,0.0,0.0,36.85,36.85,36.85,0.0,0.0,36.92,36.92,36.92,0.0,0.0
2018-11-25,36.42,36.42,36.42,0.0,0.0,36.51,36.51,36.51,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.41,36.41,36.41,0.0,0.0
2018-12-02,34.46,34.46,34.46,0.0,0.0,34.46,34.46,34.46,0.0,0.0,33.76,33.76,33.76,0.0,0.0,34.0,34.0,34.0,0.0,0.0
2018-12-09,33.4,33.4,33.4,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.28,33.28,33.28,0.0,0.0,33.34,33.34,33.34,0.0,0.0
