Date,Credit Suisse X-Links Monthly Pay 2xLeveraged Mort_Open_average,Credit Suisse X-Links Monthly Pay 2xLeveraged Mort_Open_max,Credit Suisse X-Links Monthly Pay 2xLeveraged Mort_Open_min,Credit Suisse X-Links Monthly Pay 2xLeveraged Mort_Open_volatility,Credit Suisse X-Links Monthly Pay 2xLeveraged Mort_Open_change,Credit Suisse X-Links Monthly Pay 2xLeveraged Mort_High_average,Credit Suisse X-Links Monthly Pay 2xLeveraged Mort_High_max,Credit Suisse X-Links Monthly Pay 2xLeveraged Mort_High_min,Credit Suisse X-Links Monthly Pay 2xLeveraged Mort_High_volatility,Credit Suisse X-Links Monthly Pay 2xLeveraged Mort_High_change,Credit Suisse X-Links Monthly Pay 2xLeveraged Mort_Low_average,Credit Suisse X-Links Monthly Pay 2xLeveraged Mort_Low_max,Credit Suisse X-Links Monthly Pay 2xLeveraged Mort_Low_min,Credit Suisse X-Links Monthly Pay 2xLeveraged Mort_Low_volatility,Credit Suisse X-Links Monthly Pay 2xLeveraged Mort_Low_change,Credit Suisse X-Links Monthly Pay 2xLeveraged Mort_Close_average,Credit Suisse X-Links Monthly Pay 2xLeveraged Mort_Close_max,Credit Suisse X-Links Monthly Pay 2xLeveraged Mort_Close_min,Credit Suisse X-Links Monthly Pay 2xLeveraged Mort_Close_volatility,Credit Suisse X-Links Monthly Pay 2xLeveraged Mort_Close_change
2018-01-14,27.68,27.68,27.68,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.18,27.18,27.18,0.0,0.0,27.37,27.37,27.37,0.0,0.0
2018-01-21,26.87,26.87,26.87,0.0,0.0,26.88,26.88,26.88,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.71,25.71,25.71,0.0,0.0
2018-01-28,24.36,24.36,24.36,0.0,0.0,24.36,24.36,24.36,0.0,0.0,22.54,22.54,22.54,0.0,0.0,23.35,23.35,23.35,0.0,0.0
2018-02-04,24.25,24.25,24.25,0.0,0.0,24.25,24.25,24.25,0.0,0.0,23.13,23.13,23.13,0.0,0.0,23.99,23.99,23.99,0.0,0.0
2018-02-11,25.7,25.7,25.7,0.0,0.0,26.2,26.2,26.2,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.93,25.93,25.93,0.0,0.0
2018-02-18,24.49,24.49,24.49,0.0,0.0,25.29,25.29,25.29,0.0,0.0,24.49,24.49,24.49,0.0,0.0,24.95,24.95,24.95,0.0,0.0
2018-02-25,24.57,24.57,24.57,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.52,24.52,24.52,0.0,0.0
2018-03-04,25.5,25.5,25.5,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.76,25.76,25.76,0.0,0.0
2018-03-11,26.04,26.04,26.04,0.0,0.0,26.04,26.04,26.04,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.77,25.77,25.77,0.0,0.0
2018-03-18,25.17,25.17,25.17,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.3,25.3,25.3,0.0,0.0
2018-03-25,26.45,26.45,26.45,0.0,0.0,26.45,26.45,26.45,0.0,0.0,25.62,25.62,25.62,0.0,0.0,25.75,25.75,25.75,0.0,0.0
