Date,Vanguard Intermediate-Term Bond_Open_average,Vanguard Intermediate-Term Bond_Open_max,Vanguard Intermediate-Term Bond_Open_min,Vanguard Intermediate-Term Bond_Open_volatility,Vanguard Intermediate-Term Bond_Open_change,Vanguard Intermediate-Term Bond_High_average,Vanguard Intermediate-Term Bond_High_max,Vanguard Intermediate-Term Bond_High_min,Vanguard Intermediate-Term Bond_High_volatility,Vanguard Intermediate-Term Bond_High_change,Vanguard Intermediate-Term Bond_Low_average,Vanguard Intermediate-Term Bond_Low_max,Vanguard Intermediate-Term Bond_Low_min,Vanguard Intermediate-Term Bond_Low_volatility,Vanguard Intermediate-Term Bond_Low_change,Vanguard Intermediate-Term Bond_Close_average,Vanguard Intermediate-Term Bond_Close_max,Vanguard Intermediate-Term Bond_Close_min,Vanguard Intermediate-Term Bond_Close_volatility,Vanguard Intermediate-Term Bond_Close_change
2018-01-14,82.79,82.79,82.79,0.0,0.0,82.87,82.87,82.87,0.0,0.0,82.68,82.68,82.68,0.0,0.0,82.75,82.75,82.75,0.0,0.0
2018-01-21,82.6,82.6,82.6,0.0,0.0,82.69,82.69,82.69,0.0,0.0,82.51,82.51,82.51,0.0,0.0,82.69,82.69,82.69,0.0,0.0
2018-01-28,81.82,81.82,81.82,0.0,0.0,82.37,82.37,82.37,0.0,0.0,81.72,81.72,81.72,0.0,0.0,82.18,82.18,82.18,0.0,0.0
2018-02-04,81.59,81.59,81.59,0.0,0.0,81.69,81.69,81.69,0.0,0.0,81.52,81.52,81.52,0.0,0.0,81.62,81.62,81.62,0.0,0.0
2018-02-11,81.51,81.51,81.51,0.0,0.0,81.6,81.6,81.6,0.0,0.0,81.43,81.43,81.43,0.0,0.0,81.56,81.56,81.56,0.0,0.0
2018-02-18,81.73,81.73,81.73,0.0,0.0,81.76,81.76,81.76,0.0,0.0,81.61,81.61,81.61,0.0,0.0,81.61,81.61,81.61,0.0,0.0
2018-02-25,81.41,81.41,81.41,0.0,0.0,81.49,81.49,81.49,0.0,0.0,81.17,81.17,81.17,0.0,0.0,81.24,81.24,81.24,0.0,0.0
2018-03-04,81.23,81.23,81.23,0.0,0.0,81.32,81.32,81.32,0.0,0.0,81.19,81.19,81.19,0.0,0.0,81.31,81.31,81.31,0.0,0.0
2018-03-11,81.29,81.29,81.29,0.0,0.0,81.49,81.49,81.49,0.0,0.0,81.27,81.27,81.27,0.0,0.0,81.33,81.33,81.33,0.0,0.0
2018-03-18,81.29,81.29,81.29,0.0,0.0,81.4,81.4,81.4,0.0,0.0,81.23,81.23,81.23,0.0,0.0,81.25,81.25,81.25,0.0,0.0
2018-03-25,81.49,81.49,81.49,0.0,0.0,81.75,81.75,81.75,0.0,0.0,81.46,81.46,81.46,0.0,0.0,81.61,81.61,81.61,0.0,0.0
2018-04-01,81.55,81.55,81.55,0.0,0.0,81.66,81.66,81.66,0.0,0.0,81.49,81.49,81.49,0.0,0.0,81.64,81.64,81.64,0.0,0.0
