Date,iShares Morningstar Small-Cap ValueEtf_Open_average,iShares Morningstar Small-Cap ValueEtf_Open_max,iShares Morningstar Small-Cap ValueEtf_Open_min,iShares Morningstar Small-Cap ValueEtf_Open_volatility,iShares Morningstar Small-Cap ValueEtf_Open_change,iShares Morningstar Small-Cap ValueEtf_High_average,iShares Morningstar Small-Cap ValueEtf_High_max,iShares Morningstar Small-Cap ValueEtf_High_min,iShares Morningstar Small-Cap ValueEtf_High_volatility,iShares Morningstar Small-Cap ValueEtf_High_change,iShares Morningstar Small-Cap ValueEtf_Low_average,iShares Morningstar Small-Cap ValueEtf_Low_max,iShares Morningstar Small-Cap ValueEtf_Low_min,iShares Morningstar Small-Cap ValueEtf_Low_volatility,iShares Morningstar Small-Cap ValueEtf_Low_change,iShares Morningstar Small-Cap ValueEtf_Close_average,iShares Morningstar Small-Cap ValueEtf_Close_max,iShares Morningstar Small-Cap ValueEtf_Close_min,iShares Morningstar Small-Cap ValueEtf_Close_volatility,iShares Morningstar Small-Cap ValueEtf_Close_change
2018-01-14,154.21,154.21,154.21,0.0,0.0,155.97,155.97,155.97,0.0,0.0,154.21,154.21,154.21,0.0,0.0,155.97,155.97,155.97,0.0,0.0
2018-01-21,156.88,156.88,156.88,0.0,0.0,156.88,156.88,156.88,0.0,0.0,156.27,156.27,156.27,0.0,0.0,156.87,156.87,156.87,0.0,0.0
2018-01-28,152.12,152.12,152.12,0.0,0.0,152.12,152.12,152.12,0.0,0.0,149.82,149.82,149.82,0.0,0.0,149.82,149.82,149.82,0.0,0.0
2018-02-04,142.33,142.33,142.33,0.0,0.0,142.33,142.33,142.33,0.0,0.0,138.0,138.0,138.0,0.0,0.0,140.5,140.5,140.5,0.0,0.0
2018-02-11,146.17,146.17,146.17,0.0,0.0,148.0,148.0,148.0,0.0,0.0,146.17,146.17,146.17,0.0,0.0,147.35,147.35,147.35,0.0,0.0
2018-02-18,146.63,146.63,146.63,0.0,0.0,146.66,146.66,146.66,0.0,0.0,146.07,146.07,146.07,0.0,0.0,146.6,146.6,146.6,0.0,0.0
2018-02-25,141.58,141.58,141.58,0.0,0.0,143.89,143.89,143.89,0.0,0.0,141.03,141.03,141.03,0.0,0.0,143.89,143.89,143.89,0.0,0.0
2018-03-04,147.89,147.89,147.89,0.0,0.0,148.69,148.69,148.69,0.0,0.0,147.27,147.27,147.27,0.0,0.0,148.69,148.69,148.69,0.0,0.0
2018-03-11,146.86,146.86,146.86,0.0,0.0,148.5,148.5,148.5,0.0,0.0,146.54,146.54,146.54,0.0,0.0,148.14,148.14,148.14,0.0,0.0
2018-03-18,143.14,143.14,143.14,0.0,0.0,143.14,143.14,143.14,0.0,0.0,140.19,140.19,140.19,0.0,0.0,140.19,140.19,140.19,0.0,0.0
2018-03-25,142.16,142.16,142.16,0.0,0.0,143.44,143.44,143.44,0.0,0.0,142.16,142.16,142.16,0.0,0.0,143.03,143.03,143.03,0.0,0.0
2018-04-01,140.85,140.85,140.85,0.0,0.0,148.29,148.29,148.29,0.0,0.0,140.85,140.85,140.85,0.0,0.0,141.78,141.78,141.78,0.0,0.0
2018-04-08,145.12,145.12,145.12,0.0,0.0,145.21,145.21,145.21,0.0,0.0,144.29,144.29,144.29,0.0,0.0,144.29,144.29,144.29,0.0,0.0
2018-04-15,146.11,146.11,146.11,0.0,0.0,146.11,146.11,146.11,0.0,0.0,145.09,145.09,145.09,0.0,0.0,145.31,145.31,145.31,0.0,0.0
2018-04-22,145.21,145.21,145.21,0.0,0.0,145.81,145.81,145.81,0.0,0.0,144.82,144.82,144.82,0.0,0.0,145.56,145.56,145.56,0.0,0.0
2018-04-29,143.41,143.41,143.41,0.0,0.0,145.88,145.88,145.88,0.0,0.0,143.41,143.41,143.41,0.0,0.0,145.3,145.3,145.3,0.0,0.0
2018-05-06,148.32,148.32,148.32,0.0,0.0,148.74,148.74,148.74,0.0,0.0,148.1,148.1,148.1,0.0,0.0,148.21,148.21,148.21,0.0,0.0
2018-05-13,150.51,150.51,150.51,0.0,0.0,150.61,150.61,150.61,0.0,0.0,150.46,150.46,150.46,0.0,0.0,150.56,150.56,150.56,0.0,0.0
2018-05-20,150.88,150.88,150.88,0.0,0.0,151.18,151.18,151.18,0.0,0.0,150.71,150.71,150.71,0.0,0.0,150.85,150.85,150.85,0.0,0.0
2018-05-27,152.08,152.08,152.08,0.0,0.0,152.73,152.73,152.73,0.0,0.0,152.08,152.08,152.08,0.0,0.0,152.73,152.73,152.73,0.0,0.0
2018-06-03,155.03,155.03,155.03,0.0,0.0,155.49,155.49,155.49,0.0,0.0,154.95,154.95,154.95,0.0,0.0,155.49,155.49,155.49,0.0,0.0
2018-06-10,154.7,154.7,154.7,0.0,0.0,154.76,154.76,154.76,0.0,0.0,153.57,153.57,153.57,0.0,0.0,154.37,154.37,154.37,0.0,0.0
2018-06-17,156.56,156.56,156.56,0.0,0.0,156.69,156.69,156.69,0.0,0.0,155.6,155.6,155.6,0.0,0.0,155.6,155.6,155.6,0.0,0.0
2018-06-24,152.46,152.46,152.46,0.0,0.0,153.27,153.27,153.27,0.0,0.0,152.46,152.46,152.46,0.0,0.0,152.47,152.47,152.47,0.0,0.0
2018-07-01,153.95,153.95,153.95,0.0,0.0,155.23,155.23,155.23,0.0,0.0,153.95,153.95,153.95,0.0,0.0,155.03,155.03,155.03,0.0,0.0
2018-07-08,154.62,154.62,154.62,0.0,0.0,155.1,155.1,155.1,0.0,0.0,154.43,154.43,154.43,0.0,0.0,154.43,154.43,154.43,0.0,0.0
2018-07-15,155.03,155.03,155.03,0.0,0.0,155.03,155.03,155.03,0.0,0.0,154.55,154.55,154.55,0.0,0.0,154.55,154.55,154.55,0.0,0.0
2018-07-22,155.11,155.11,155.11,0.0,0.0,155.49,155.49,155.49,0.0,0.0,153.42,153.42,153.42,0.0,0.0,153.5,153.5,153.5,0.0,0.0
2018-07-29,154.97,154.97,154.97,0.0,0.0,155.4,155.4,155.4,0.0,0.0,154.87,154.87,154.87,0.0,0.0,155.4,155.4,155.4,0.0,0.0
2018-08-05,155.07,155.07,155.07,0.0,0.0,155.99,155.99,155.99,0.0,0.0,155.07,155.07,155.07,0.0,0.0,155.58,155.58,155.58,0.0,0.0
