Date,FlexShares STOXX US ESG Impact_Open_average,FlexShares STOXX US ESG Impact_Open_max,FlexShares STOXX US ESG Impact_Open_min,FlexShares STOXX US ESG Impact_Open_volatility,FlexShares STOXX US ESG Impact_Open_change,FlexShares STOXX US ESG Impact_High_average,FlexShares STOXX US ESG Impact_High_max,FlexShares STOXX US ESG Impact_High_min,FlexShares STOXX US ESG Impact_High_volatility,FlexShares STOXX US ESG Impact_High_change,FlexShares STOXX US ESG Impact_Low_average,FlexShares STOXX US ESG Impact_Low_max,FlexShares STOXX US ESG Impact_Low_min,FlexShares STOXX US ESG Impact_Low_volatility,FlexShares STOXX US ESG Impact_Low_change,FlexShares STOXX US ESG Impact_Close_average,FlexShares STOXX US ESG Impact_Close_max,FlexShares STOXX US ESG Impact_Close_min,FlexShares STOXX US ESG Impact_Close_volatility,FlexShares STOXX US ESG Impact_Close_change
2018-01-14,66.21,66.21,66.21,0.0,0.0,66.21,66.21,66.21,0.0,0.0,66.21,66.21,66.21,0.0,0.0,66.21,66.21,66.21,0.0,0.0
2018-01-21,67.86,67.86,67.86,0.0,0.0,67.86,67.86,67.86,0.0,0.0,67.86,67.86,67.86,0.0,0.0,67.86,67.86,67.86,0.0,0.0
2018-01-28,65.04,65.04,65.04,0.0,0.0,65.04,65.04,65.04,0.0,0.0,65.04,65.04,65.04,0.0,0.0,65.04,65.04,65.04,0.0,0.0
2018-02-04,62.51,62.51,62.51,0.0,0.0,62.75,62.75,62.75,0.0,0.0,62.51,62.51,62.51,0.0,0.0,62.75,62.75,62.75,0.0,0.0
2018-02-11,62.56,62.56,62.56,0.0,0.0,62.56,62.56,62.56,0.0,0.0,62.56,62.56,62.56,0.0,0.0,62.56,62.56,62.56,0.0,0.0
2018-02-18,65.31,65.31,65.31,0.0,0.0,65.32,65.32,65.32,0.0,0.0,65.25,65.25,65.25,0.0,0.0,65.31,65.31,65.31,0.0,0.0
2018-02-25,64.16,64.16,64.16,0.0,0.0,64.16,64.16,64.16,0.0,0.0,64.16,64.16,64.16,0.0,0.0,64.16,64.16,64.16,0.0,0.0
2018-03-04,65.5,65.5,65.5,0.0,0.0,65.5,65.5,65.5,0.0,0.0,65.5,65.5,65.5,0.0,0.0,65.5,65.5,65.5,0.0,0.0
2018-03-11,64.3,64.3,64.3,0.0,0.0,64.3,64.3,64.3,0.0,0.0,64.3,64.3,64.3,0.0,0.0,64.3,64.3,64.3,0.0,0.0
2018-03-18,62.75,62.75,62.75,0.0,0.0,62.75,62.75,62.75,0.0,0.0,62.71,62.71,62.71,0.0,0.0,62.71,62.71,62.71,0.0,0.0
2018-03-25,61.01,61.01,61.01,0.0,0.0,61.01,61.01,61.01,0.0,0.0,60.7,60.7,60.7,0.0,0.0,60.7,60.7,60.7,0.0,0.0
2018-04-01,63.26,63.26,63.26,0.0,0.0,63.26,63.26,63.26,0.0,0.0,63.17,63.17,63.17,0.0,0.0,63.17,63.17,63.17,0.0,0.0
2018-04-08,63.64,63.64,63.64,0.0,0.0,63.64,63.64,63.64,0.0,0.0,63.64,63.64,63.64,0.0,0.0,63.64,63.64,63.64,0.0,0.0
2018-04-15,63.09,63.09,63.09,0.0,0.0,63.2,63.2,63.2,0.0,0.0,63.09,63.09,63.09,0.0,0.0,63.2,63.2,63.2,0.0,0.0
2018-04-22,62.99,62.99,62.99,0.0,0.0,62.99,62.99,62.99,0.0,0.0,62.83,62.83,62.83,0.0,0.0,62.83,62.83,62.83,0.0,0.0
2018-04-29,63.41,63.41,63.41,0.0,0.0,63.41,63.41,63.41,0.0,0.0,63.4,63.4,63.4,0.0,0.0,63.41,63.41,63.41,0.0,0.0
2018-05-06,65.07,65.07,65.07,0.0,0.0,65.07,65.07,65.07,0.0,0.0,64.98,64.98,64.98,0.0,0.0,64.98,64.98,64.98,0.0,0.0
2018-05-13,65.06,65.06,65.06,0.0,0.0,65.06,65.06,65.06,0.0,0.0,65.06,65.06,65.06,0.0,0.0,65.06,65.06,65.06,0.0,0.0
2018-05-20,64.99,64.99,64.99,0.0,0.0,64.99,64.99,64.99,0.0,0.0,64.73,64.73,64.73,0.0,0.0,64.89,64.89,64.89,0.0,0.0
2018-05-27,64.87,64.87,64.87,0.0,0.0,64.87,64.87,64.87,0.0,0.0,64.86,64.86,64.86,0.0,0.0,64.86,64.86,64.86,0.0,0.0
2018-06-03,65.9,65.9,65.9,0.0,0.0,65.9,65.9,65.9,0.0,0.0,65.9,65.9,65.9,0.0,0.0,65.9,65.9,65.9,0.0,0.0
2018-06-10,65.24,65.24,65.24,0.0,0.0,65.24,65.24,65.24,0.0,0.0,65.24,65.24,65.24,0.0,0.0,65.24,65.24,65.24,0.0,0.0
2018-06-17,63.96,63.96,63.96,0.0,0.0,63.96,63.96,63.96,0.0,0.0,63.96,63.96,63.96,0.0,0.0,63.96,63.96,63.96,0.0,0.0
2018-06-24,64.56,64.56,64.56,0.0,0.0,64.58,64.58,64.58,0.0,0.0,64.4,64.4,64.4,0.0,0.0,64.4,64.4,64.4,0.0,0.0
2018-07-01,65.45,65.45,65.45,0.0,0.0,65.45,65.45,65.45,0.0,0.0,65.45,65.45,65.45,0.0,0.0,65.45,65.45,65.45,0.0,0.0
2018-07-08,65.53,65.53,65.53,0.0,0.0,65.54,65.54,65.54,0.0,0.0,65.39,65.39,65.39,0.0,0.0,65.39,65.39,65.39,0.0,0.0
2018-07-15,66.38,66.38,66.38,0.0,0.0,66.51,66.51,66.51,0.0,0.0,66.38,66.38,66.38,0.0,0.0,66.51,66.51,66.51,0.0,0.0
2018-07-22,66.11,66.11,66.11,0.0,0.0,66.11,66.11,66.11,0.0,0.0,66.11,66.11,66.11,0.0,0.0,66.11,66.11,66.11,0.0,0.0
2018-07-29,67.4,67.4,67.4,0.0,0.0,67.4,67.4,67.4,0.0,0.0,67.4,67.4,67.4,0.0,0.0,67.4,67.4,67.4,0.0,0.0
2018-08-05,67.27,67.27,67.27,0.0,0.0,67.27,67.27,67.27,0.0,0.0,67.0,67.0,67.0,0.0,0.0,67.0,67.0,67.0,0.0,0.0
2018-08-12,67.78,67.78,67.78,0.0,0.0,67.78,67.78,67.78,0.0,0.0,67.67,67.67,67.67,0.0,0.0,67.68,67.68,67.68,0.0,0.0
2018-08-19,67.94,67.94,67.94,0.0,0.0,67.94,67.94,67.94,0.0,0.0,67.94,67.94,67.94,0.0,0.0,67.94,67.94,67.94,0.0,0.0
2018-08-26,68.77,68.77,68.77,0.0,0.0,68.77,68.77,68.77,0.0,0.0,68.77,68.77,68.77,0.0,0.0,68.77,68.77,68.77,0.0,0.0
2018-09-02,68.2,68.2,68.2,0.0,0.0,68.2,68.2,68.2,0.0,0.0,68.2,68.2,68.2,0.0,0.0,68.2,68.2,68.2,0.0,0.0
2018-09-09,69.04,69.04,69.04,0.0,0.0,69.04,69.04,69.04,0.0,0.0,68.91,68.91,68.91,0.0,0.0,68.91,68.91,68.91,0.0,0.0
2018-09-16,69.15,69.15,69.15,0.0,0.0,69.15,69.15,69.15,0.0,0.0,69.02,69.02,69.02,0.0,0.0,69.06,69.06,69.06,0.0,0.0
