Date,PowerShares S&P SmallCap Information Technology_Open_average,PowerShares S&P SmallCap Information Technology_Open_max,PowerShares S&P SmallCap Information Technology_Open_min,PowerShares S&P SmallCap Information Technology_Open_volatility,PowerShares S&P SmallCap Information Technology_Open_change,PowerShares S&P SmallCap Information Technology_High_average,PowerShares S&P SmallCap Information Technology_High_max,PowerShares S&P SmallCap Information Technology_High_min,PowerShares S&P SmallCap Information Technology_High_volatility,PowerShares S&P SmallCap Information Technology_High_change,PowerShares S&P SmallCap Information Technology_Low_average,PowerShares S&P SmallCap Information Technology_Low_max,PowerShares S&P SmallCap Information Technology_Low_min,PowerShares S&P SmallCap Information Technology_Low_volatility,PowerShares S&P SmallCap Information Technology_Low_change,PowerShares S&P SmallCap Information Technology_Close_average,PowerShares S&P SmallCap Information Technology_Close_max,PowerShares S&P SmallCap Information Technology_Close_min,PowerShares S&P SmallCap Information Technology_Close_volatility,PowerShares S&P SmallCap Information Technology_Close_change
2018-01-14,80.8,80.8,80.8,0.0,0.0,80.8,80.8,80.8,0.0,0.0,79.65,79.65,79.65,0.0,0.0,79.93,79.93,79.93,0.0,0.0
2018-01-21,79.78,79.78,79.78,0.0,0.0,79.78,79.78,79.78,0.0,0.0,79.15,79.15,79.15,0.0,0.0,79.47,79.47,79.47,0.0,0.0
2018-01-28,76.1,76.1,76.1,0.0,0.0,76.8,76.8,76.8,0.0,0.0,73.86,73.86,73.86,0.0,0.0,74.0,74.0,74.0,0.0,0.0
2018-02-04,73.32,73.32,73.32,0.0,0.0,74.39,74.39,74.39,0.0,0.0,72.61,72.61,72.61,0.0,0.0,74.09,74.09,74.09,0.0,0.0
2018-02-11,77.34,77.34,77.34,0.0,0.0,77.67,77.67,77.67,0.0,0.0,76.95,76.95,76.95,0.0,0.0,77.06,77.06,77.06,0.0,0.0
2018-02-18,78.38,78.38,78.38,0.0,0.0,79.03,79.03,79.03,0.0,0.0,78.1,78.1,78.1,0.0,0.0,78.88,78.88,78.88,0.0,0.0
2018-02-25,77.39,77.39,77.39,0.0,0.0,78.43,78.43,78.43,0.0,0.0,77.39,77.39,77.39,0.0,0.0,78.33,78.33,78.33,0.0,0.0
2018-03-04,82.22,82.22,82.22,0.0,0.0,82.73,82.73,82.73,0.0,0.0,82.09,82.09,82.09,0.0,0.0,82.57,82.57,82.57,0.0,0.0
2018-03-11,81.53,81.53,81.53,0.0,0.0,81.53,81.53,81.53,0.0,0.0,79.51,79.51,79.51,0.0,0.0,80.9,80.9,80.9,0.0,0.0
2018-03-18,78.71,78.71,78.71,0.0,0.0,79.21,79.21,79.21,0.0,0.0,77.93,77.93,77.93,0.0,0.0,79.21,79.21,79.21,0.0,0.0
