Date,Vanguard Long-Term Bond_Open_average,Vanguard Long-Term Bond_Open_max,Vanguard Long-Term Bond_Open_min,Vanguard Long-Term Bond_Open_volatility,Vanguard Long-Term Bond_Open_change,Vanguard Long-Term Bond_High_average,Vanguard Long-Term Bond_High_max,Vanguard Long-Term Bond_High_min,Vanguard Long-Term Bond_High_volatility,Vanguard Long-Term Bond_High_change,Vanguard Long-Term Bond_Low_average,Vanguard Long-Term Bond_Low_max,Vanguard Long-Term Bond_Low_min,Vanguard Long-Term Bond_Low_volatility,Vanguard Long-Term Bond_Low_change,Vanguard Long-Term Bond_Close_average,Vanguard Long-Term Bond_Close_max,Vanguard Long-Term Bond_Close_min,Vanguard Long-Term Bond_Close_volatility,Vanguard Long-Term Bond_Close_change
2018-01-14,93.27,93.27,93.27,0.0,0.0,93.3,93.3,93.3,0.0,0.0,92.98,92.98,92.98,0.0,0.0,93.0,93.0,93.0,0.0,0.0
2018-01-21,93.84,93.84,93.84,0.0,0.0,93.84,93.84,93.84,0.0,0.0,93.32,93.32,93.32,0.0,0.0,93.63,93.63,93.63,0.0,0.0
2018-01-28,91.27,91.27,91.27,0.0,0.0,91.53,91.53,91.53,0.0,0.0,90.89,90.89,90.89,0.0,0.0,91.15,91.15,91.15,0.0,0.0
2018-02-04,89.7,89.7,89.7,0.0,0.0,89.87,89.87,89.87,0.0,0.0,89.25,89.25,89.25,0.0,0.0,89.37,89.37,89.37,0.0,0.0
2018-02-11,90.0,90.0,90.0,0.0,0.0,90.25,90.25,90.25,0.0,0.0,89.77,89.77,89.77,0.0,0.0,89.98,89.98,89.98,0.0,0.0
2018-02-18,89.32,89.32,89.32,0.0,0.0,89.67,89.67,89.67,0.0,0.0,89.32,89.32,89.32,0.0,0.0,89.54,89.54,89.54,0.0,0.0
2018-02-25,89.29,89.29,89.29,0.0,0.0,89.44,89.44,89.44,0.0,0.0,88.92,88.92,88.92,0.0,0.0,89.1,89.1,89.1,0.0,0.0
2018-03-04,89.16,89.16,89.16,0.0,0.0,89.22,89.22,89.22,0.0,0.0,88.89,88.89,88.89,0.0,0.0,88.99,88.99,88.99,0.0,0.0
2018-03-11,89.88,89.88,89.88,0.0,0.0,90.08,90.08,90.08,0.0,0.0,89.81,89.81,89.81,0.0,0.0,89.96,89.96,89.96,0.0,0.0
2018-03-18,89.28,89.28,89.28,0.0,0.0,89.47,89.47,89.47,0.0,0.0,89.21,89.21,89.21,0.0,0.0,89.34,89.34,89.34,0.0,0.0
2018-03-25,90.61,90.61,90.61,0.0,0.0,91.2,91.2,91.2,0.0,0.0,90.61,90.61,90.61,0.0,0.0,90.91,90.91,90.91,0.0,0.0
2018-04-01,90.17,90.17,90.17,0.0,0.0,90.42,90.42,90.42,0.0,0.0,89.99,89.99,89.99,0.0,0.0,90.42,90.42,90.42,0.0,0.0
2018-04-08,90.15,90.15,90.15,0.0,0.0,90.45,90.45,90.45,0.0,0.0,90.08,90.08,90.08,0.0,0.0,90.4,90.4,90.4,0.0,0.0
2018-04-15,89.01,89.01,89.01,0.0,0.0,89.03,89.03,89.03,0.0,0.0,88.6,88.6,88.6,0.0,0.0,88.6,88.6,88.6,0.0,0.0
2018-04-22,88.51,88.51,88.51,0.0,0.0,88.63,88.63,88.63,0.0,0.0,88.35,88.35,88.35,0.0,0.0,88.61,88.61,88.61,0.0,0.0
2018-04-29,88.2,88.2,88.2,0.0,0.0,88.29,88.29,88.29,0.0,0.0,87.8,87.8,87.8,0.0,0.0,88.06,88.06,88.06,0.0,0.0
2018-05-06,88.53,88.53,88.53,0.0,0.0,88.53,88.53,88.53,0.0,0.0,88.26,88.26,88.26,0.0,0.0,88.41,88.41,88.41,0.0,0.0
2018-05-13,86.65,86.65,86.65,0.0,0.0,87.09,87.09,87.09,0.0,0.0,86.65,86.65,86.65,0.0,0.0,87.02,87.02,87.02,0.0,0.0
2018-05-20,88.51,88.51,88.51,0.0,0.0,88.59,88.59,88.59,0.0,0.0,88.4,88.4,88.4,0.0,0.0,88.54,88.54,88.54,0.0,0.0
2018-05-27,88.52,88.52,88.52,0.0,0.0,88.9,88.9,88.9,0.0,0.0,88.3,88.3,88.3,0.0,0.0,88.64,88.64,88.64,0.0,0.0
2018-06-03,88.1,88.1,88.1,0.0,0.0,88.1,88.1,88.1,0.0,0.0,87.81,87.81,87.81,0.0,0.0,87.82,87.82,87.82,0.0,0.0
2018-06-10,88.63,88.63,88.63,0.0,0.0,88.83,88.83,88.83,0.0,0.0,88.34,88.34,88.34,0.0,0.0,88.34,88.34,88.34,0.0,0.0
2018-06-17,87.71,87.71,87.71,0.0,0.0,87.96,87.96,87.96,0.0,0.0,87.67,87.67,87.67,0.0,0.0,87.88,87.88,87.88,0.0,0.0
2018-06-24,88.86,88.86,88.86,0.0,0.0,89.05,89.05,89.05,0.0,0.0,88.58,88.58,88.58,0.0,0.0,88.64,88.64,88.64,0.0,0.0
2018-07-01,89.46,89.46,89.46,0.0,0.0,89.56,89.56,89.56,0.0,0.0,89.23,89.23,89.23,0.0,0.0,89.51,89.51,89.51,0.0,0.0
2018-07-08,89.69,89.69,89.69,0.0,0.0,89.89,89.89,89.89,0.0,0.0,89.63,89.63,89.63,0.0,0.0,89.85,89.85,89.85,0.0,0.0
