Date,iShares MSCI Germany Small-Cap_Open_average,iShares MSCI Germany Small-Cap_Open_max,iShares MSCI Germany Small-Cap_Open_min,iShares MSCI Germany Small-Cap_Open_volatility,iShares MSCI Germany Small-Cap_Open_change,iShares MSCI Germany Small-Cap_High_average,iShares MSCI Germany Small-Cap_High_max,iShares MSCI Germany Small-Cap_High_min,iShares MSCI Germany Small-Cap_High_volatility,iShares MSCI Germany Small-Cap_High_change,iShares MSCI Germany Small-Cap_Low_average,iShares MSCI Germany Small-Cap_Low_max,iShares MSCI Germany Small-Cap_Low_min,iShares MSCI Germany Small-Cap_Low_volatility,iShares MSCI Germany Small-Cap_Low_change,iShares MSCI Germany Small-Cap_Close_average,iShares MSCI Germany Small-Cap_Close_max,iShares MSCI Germany Small-Cap_Close_min,iShares MSCI Germany Small-Cap_Close_volatility,iShares MSCI Germany Small-Cap_Close_change
2018-01-14,69.22,69.22,69.22,0.0,0.0,69.6,69.6,69.6,0.0,0.0,69.11,69.11,69.11,0.0,0.0,69.6,69.6,69.6,0.0,0.0
2018-01-21,69.77,69.77,69.77,0.0,0.0,69.89,69.89,69.89,0.0,0.0,69.37,69.37,69.37,0.0,0.0,69.48,69.48,69.48,0.0,0.0
2018-01-28,66.23,66.23,66.23,0.0,0.0,66.44,66.44,66.44,0.0,0.0,63.48,63.48,63.48,0.0,0.0,63.82,63.82,63.82,0.0,0.0
2018-02-04,63.7,63.7,63.7,0.0,0.0,64.43,64.43,64.43,0.0,0.0,63.7,63.7,63.7,0.0,0.0,64.38,64.38,64.38,0.0,0.0
2018-02-11,66.49,66.49,66.49,0.0,0.0,67.1,67.1,67.1,0.0,0.0,66.49,66.49,66.49,0.0,0.0,66.5,66.5,66.5,0.0,0.0
2018-02-18,66.42,66.42,66.42,0.0,0.0,66.54,66.54,66.54,0.0,0.0,66.03,66.03,66.03,0.0,0.0,66.54,66.54,66.54,0.0,0.0
2018-02-25,63.86,63.86,63.86,0.0,0.0,64.6,64.6,64.6,0.0,0.0,63.65,63.65,63.65,0.0,0.0,64.58,64.58,64.58,0.0,0.0
2018-03-04,66.52,66.52,66.52,0.0,0.0,66.77,66.77,66.77,0.0,0.0,66.39,66.39,66.39,0.0,0.0,66.73,66.73,66.73,0.0,0.0
2018-03-11,66.01,66.01,66.01,0.0,0.0,66.01,66.01,66.01,0.0,0.0,65.54,65.54,65.54,0.0,0.0,65.84,65.84,65.84,0.0,0.0
2018-03-18,65.03,65.03,65.03,0.0,0.0,65.59,65.59,65.59,0.0,0.0,64.51,64.51,64.51,0.0,0.0,65.59,65.59,65.59,0.0,0.0
2018-03-25,64.46,64.46,64.46,0.0,0.0,64.46,64.46,64.46,0.0,0.0,63.0,63.0,63.0,0.0,0.0,63.49,63.49,63.49,0.0,0.0
2018-04-01,64.67,64.67,64.67,0.0,0.0,65.01,65.01,65.01,0.0,0.0,64.41,64.41,64.41,0.0,0.0,64.67,64.67,64.67,0.0,0.0
2018-04-08,66.43,66.43,66.43,0.0,0.0,66.52,66.52,66.52,0.0,0.0,66.28,66.28,66.28,0.0,0.0,66.32,66.32,66.32,0.0,0.0
2018-04-15,66.4,66.4,66.4,0.0,0.0,66.48,66.48,66.48,0.0,0.0,66.13,66.13,66.13,0.0,0.0,66.27,66.27,66.27,0.0,0.0
2018-04-22,65.13,65.13,65.13,0.0,0.0,65.13,65.13,65.13,0.0,0.0,64.84,64.84,64.84,0.0,0.0,64.85,64.85,64.85,0.0,0.0
2018-04-29,65.78,65.78,65.78,0.0,0.0,66.3,66.3,66.3,0.0,0.0,65.74,65.74,65.74,0.0,0.0,66.21,66.21,66.21,0.0,0.0
2018-05-06,66.49,66.49,66.49,0.0,0.0,66.55,66.55,66.55,0.0,0.0,66.14,66.14,66.14,0.0,0.0,66.36,66.36,66.36,0.0,0.0
2018-05-13,66.34,66.34,66.34,0.0,0.0,66.66,66.66,66.66,0.0,0.0,66.19,66.19,66.19,0.0,0.0,66.2,66.2,66.2,0.0,0.0
