Date,PowerShares Dynamic Building & Construction_Open_average,PowerShares Dynamic Building & Construction_Open_max,PowerShares Dynamic Building & Construction_Open_min,PowerShares Dynamic Building & Construction_Open_volatility,PowerShares Dynamic Building & Construction_Open_change,PowerShares Dynamic Building & Construction_High_average,PowerShares Dynamic Building & Construction_High_max,PowerShares Dynamic Building & Construction_High_min,PowerShares Dynamic Building & Construction_High_volatility,PowerShares Dynamic Building & Construction_High_change,PowerShares Dynamic Building & Construction_Low_average,PowerShares Dynamic Building & Construction_Low_max,PowerShares Dynamic Building & Construction_Low_min,PowerShares Dynamic Building & Construction_Low_volatility,PowerShares Dynamic Building & Construction_Low_change,PowerShares Dynamic Building & Construction_Close_average,PowerShares Dynamic Building & Construction_Close_max,PowerShares Dynamic Building & Construction_Close_min,PowerShares Dynamic Building & Construction_Close_volatility,PowerShares Dynamic Building & Construction_Close_change
2018-01-14,35.89,35.89,35.89,0.0,0.0,36.04,36.04,36.04,0.0,0.0,35.73,35.73,35.73,0.0,0.0,36.02,36.02,36.02,0.0,0.0
2018-01-21,35.71,35.71,35.71,0.0,0.0,35.81,35.81,35.81,0.0,0.0,34.91,34.91,34.91,0.0,0.0,34.91,34.91,34.91,0.0,0.0
2018-01-28,33.11,33.11,33.11,0.0,0.0,33.34,33.34,33.34,0.0,0.0,31.83,31.83,31.83,0.0,0.0,32.1,32.1,32.1,0.0,0.0
2018-02-04,31.93,31.93,31.93,0.0,0.0,32.21,32.21,32.21,0.0,0.0,31.55,31.55,31.55,0.0,0.0,32.04,32.04,32.04,0.0,0.0
2018-02-11,32.67,32.67,32.67,0.0,0.0,33.18,33.18,33.18,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.98,32.98,32.98,0.0,0.0
2018-02-18,32.16,32.16,32.16,0.0,0.0,32.25,32.25,32.25,0.0,0.0,31.75,31.75,31.75,0.0,0.0,32.15,32.15,32.15,0.0,0.0
2018-02-25,30.47,30.47,30.47,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.88,30.88,30.88,0.0,0.0
2018-03-04,31.66,31.66,31.66,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.72,31.72,31.72,0.0,0.0
2018-03-11,31.31,31.31,31.31,0.0,0.0,31.38,31.38,31.38,0.0,0.0,30.97,30.97,30.97,0.0,0.0,31.26,31.26,31.26,0.0,0.0
2018-03-18,30.76,30.76,30.76,0.0,0.0,31.26,31.26,31.26,0.0,0.0,30.67,30.67,30.67,0.0,0.0,31.24,31.24,31.24,0.0,0.0
2018-03-25,31.1,31.1,31.1,0.0,0.0,31.18,31.18,31.18,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2018-04-01,31.11,31.11,31.11,0.0,0.0,31.31,31.31,31.31,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.85,30.85,30.85,0.0,0.0
2018-04-08,30.95,30.95,30.95,0.0,0.0,31.4,31.4,31.4,0.0,0.0,30.93,30.93,30.93,0.0,0.0,31.27,31.27,31.27,0.0,0.0
2018-04-15,30.78,30.78,30.78,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.84,30.84,30.84,0.0,0.0
