Date,PowerShares DWA Basic Materials Momentum Portfolio_Open_average,PowerShares DWA Basic Materials Momentum Portfolio_Open_max,PowerShares DWA Basic Materials Momentum Portfolio_Open_min,PowerShares DWA Basic Materials Momentum Portfolio_Open_volatility,PowerShares DWA Basic Materials Momentum Portfolio_Open_change,PowerShares DWA Basic Materials Momentum Portfolio_High_average,PowerShares DWA Basic Materials Momentum Portfolio_High_max,PowerShares DWA Basic Materials Momentum Portfolio_High_min,PowerShares DWA Basic Materials Momentum Portfolio_High_volatility,PowerShares DWA Basic Materials Momentum Portfolio_High_change,PowerShares DWA Basic Materials Momentum Portfolio_Low_average,PowerShares DWA Basic Materials Momentum Portfolio_Low_max,PowerShares DWA Basic Materials Momentum Portfolio_Low_min,PowerShares DWA Basic Materials Momentum Portfolio_Low_volatility,PowerShares DWA Basic Materials Momentum Portfolio_Low_change,PowerShares DWA Basic Materials Momentum Portfolio_Close_average,PowerShares DWA Basic Materials Momentum Portfolio_Close_max,PowerShares DWA Basic Materials Momentum Portfolio_Close_min,PowerShares DWA Basic Materials Momentum Portfolio_Close_volatility,PowerShares DWA Basic Materials Momentum Portfolio_Close_change
2018-01-14,73.13,73.13,73.13,0.0,0.0,73.3,73.3,73.3,0.0,0.0,73.13,73.13,73.13,0.0,0.0,73.3,73.3,73.3,0.0,0.0
2018-01-21,73.92,73.92,73.92,0.0,0.0,73.92,73.92,73.92,0.0,0.0,73.27,73.27,73.27,0.0,0.0,73.38,73.38,73.38,0.0,0.0
2018-01-28,68.74,68.74,68.74,0.0,0.0,69.47,69.47,69.47,0.0,0.0,66.49,66.49,66.49,0.0,0.0,67.08,67.08,67.08,0.0,0.0
2018-02-04,67.19,67.19,67.19,0.0,0.0,67.71,67.71,67.71,0.0,0.0,66.25,66.25,66.25,0.0,0.0,67.25,67.25,67.25,0.0,0.0
2018-02-11,69.35,69.35,69.35,0.0,0.0,70.69,70.69,70.69,0.0,0.0,69.35,69.35,69.35,0.0,0.0,70.03,70.03,70.03,0.0,0.0
2018-02-18,70.66,70.66,70.66,0.0,0.0,70.89,70.89,70.89,0.0,0.0,69.7,69.7,69.7,0.0,0.0,70.28,70.28,70.28,0.0,0.0
2018-02-25,68.16,68.16,68.16,0.0,0.0,69.01,69.01,69.01,0.0,0.0,68.03,68.03,68.03,0.0,0.0,69.01,69.01,69.01,0.0,0.0
2018-03-04,71.12,71.12,71.12,0.0,0.0,71.41,71.41,71.41,0.0,0.0,71.12,71.12,71.12,0.0,0.0,71.41,71.41,71.41,0.0,0.0
2018-03-11,69.75,69.75,69.75,0.0,0.0,69.75,69.75,69.75,0.0,0.0,67.81,67.81,67.81,0.0,0.0,67.99,67.99,67.99,0.0,0.0
2018-03-18,65.32,65.32,65.32,0.0,0.0,66.25,66.25,66.25,0.0,0.0,65.32,65.32,65.32,0.0,0.0,66.25,66.25,66.25,0.0,0.0
2018-03-25,65.55,65.55,65.55,0.0,0.0,65.55,65.55,65.55,0.0,0.0,63.86,63.86,63.86,0.0,0.0,63.9,63.9,63.9,0.0,0.0
2018-04-01,65.75,65.75,65.75,0.0,0.0,66.83,66.83,66.83,0.0,0.0,65.75,65.75,65.75,0.0,0.0,66.37,66.37,66.37,0.0,0.0
2018-04-08,68.34,68.34,68.34,0.0,0.0,69.1,69.1,69.1,0.0,0.0,68.34,68.34,68.34,0.0,0.0,69.04,69.04,69.04,0.0,0.0
2018-04-15,69.66,69.66,69.66,0.0,0.0,70.03,70.03,70.03,0.0,0.0,69.39,69.39,69.39,0.0,0.0,69.4,69.4,69.4,0.0,0.0
2018-04-22,67.69,67.69,67.69,0.0,0.0,67.69,67.69,67.69,0.0,0.0,66.73,66.73,66.73,0.0,0.0,67.02,67.02,67.02,0.0,0.0
2018-04-29,67.95,67.95,67.95,0.0,0.0,68.13,68.13,68.13,0.0,0.0,67.76,67.76,67.76,0.0,0.0,67.76,67.76,67.76,0.0,0.0
2018-05-06,69.7,69.7,69.7,0.0,0.0,69.75,69.75,69.75,0.0,0.0,69.37,69.37,69.37,0.0,0.0,69.37,69.37,69.37,0.0,0.0
2018-05-13,72.25,72.25,72.25,0.0,0.0,72.25,72.25,72.25,0.0,0.0,71.83,71.83,71.83,0.0,0.0,71.95,71.95,71.95,0.0,0.0
2018-05-20,70.35,70.35,70.35,0.0,0.0,70.35,70.35,70.35,0.0,0.0,69.99,69.99,69.99,0.0,0.0,70.29,70.29,70.29,0.0,0.0
2018-05-27,71.19,71.19,71.19,0.0,0.0,71.19,71.19,71.19,0.0,0.0,70.66,70.66,70.66,0.0,0.0,70.69,70.69,70.69,0.0,0.0
