Date,iShares S&P 100_Open_average,iShares S&P 100_Open_max,iShares S&P 100_Open_min,iShares S&P 100_Open_volatility,iShares S&P 100_Open_change,iShares S&P 100_High_average,iShares S&P 100_High_max,iShares S&P 100_High_min,iShares S&P 100_High_volatility,iShares S&P 100_High_change,iShares S&P 100_Low_average,iShares S&P 100_Low_max,iShares S&P 100_Low_min,iShares S&P 100_Low_volatility,iShares S&P 100_Low_change,iShares S&P 100_Close_average,iShares S&P 100_Close_max,iShares S&P 100_Close_min,iShares S&P 100_Close_volatility,iShares S&P 100_Close_change
2018-01-14,124.68,124.68,124.68,0.0,0.0,125.98,125.98,125.98,0.0,0.0,124.67,124.67,124.67,0.0,0.0,125.98,125.98,125.98,0.0,0.0
2018-01-21,127.36,127.36,127.36,0.0,0.0,127.56,127.56,127.56,0.0,0.0,126.78,126.78,126.78,0.0,0.0,126.83,126.83,126.83,0.0,0.0
2018-01-28,121.47,121.47,121.47,0.0,0.0,122.78,122.78,122.78,0.0,0.0,116.78,116.78,116.78,0.0,0.0,117.32,117.32,117.32,0.0,0.0
2018-02-04,117.3,117.3,117.3,0.0,0.0,118.75,118.75,118.75,0.0,0.0,116.55,116.55,116.55,0.0,0.0,117.95,117.95,117.95,0.0,0.0
2018-02-11,121.01,121.01,121.01,0.0,0.0,122.46,122.46,122.46,0.0,0.0,121.01,121.01,121.01,0.0,0.0,121.43,121.43,121.43,0.0,0.0
2018-02-18,122.72,122.72,122.72,0.0,0.0,123.87,123.87,123.87,0.0,0.0,122.64,122.64,122.64,0.0,0.0,123.83,123.83,123.83,0.0,0.0
2018-02-25,118.81,118.81,118.81,0.0,0.0,121.13,121.13,121.13,0.0,0.0,118.81,118.81,118.81,0.0,0.0,120.84,120.84,120.84,0.0,0.0
2018-03-04,123.7,123.7,123.7,0.0,0.0,124.12,124.12,124.12,0.0,0.0,123.28,123.28,123.28,0.0,0.0,123.41,123.41,123.41,0.0,0.0
2018-03-11,121.22,121.22,121.22,0.0,0.0,121.22,121.22,121.22,0.0,0.0,119.1,119.1,119.1,0.0,0.0,119.87,119.87,119.87,0.0,0.0
2018-03-18,115.34,115.34,115.34,0.0,0.0,116.79,116.79,116.79,0.0,0.0,114.08,114.08,114.08,0.0,0.0,116.68,116.68,116.68,0.0,0.0
2018-03-25,115.46,115.46,115.46,0.0,0.0,115.59,115.59,115.59,0.0,0.0,112.07,112.07,112.07,0.0,0.0,113.3,113.3,113.3,0.0,0.0
