Date,iShares MSCI Philippines_Open_average,iShares MSCI Philippines_Open_max,iShares MSCI Philippines_Open_min,iShares MSCI Philippines_Open_volatility,iShares MSCI Philippines_Open_change,iShares MSCI Philippines_High_average,iShares MSCI Philippines_High_max,iShares MSCI Philippines_High_min,iShares MSCI Philippines_High_volatility,iShares MSCI Philippines_High_change,iShares MSCI Philippines_Low_average,iShares MSCI Philippines_Low_max,iShares MSCI Philippines_Low_min,iShares MSCI Philippines_Low_volatility,iShares MSCI Philippines_Low_change,iShares MSCI Philippines_Close_average,iShares MSCI Philippines_Close_max,iShares MSCI Philippines_Close_min,iShares MSCI Philippines_Close_volatility,iShares MSCI Philippines_Close_change
2018-01-14,39.45,39.45,39.45,0.0,0.0,39.53,39.53,39.53,0.0,0.0,39.34,39.34,39.34,0.0,0.0,39.49,39.49,39.49,0.0,0.0
2018-01-21,39.38,39.38,39.38,0.0,0.0,39.45,39.45,39.45,0.0,0.0,39.11,39.11,39.11,0.0,0.0,39.21,39.21,39.21,0.0,0.0
2018-01-28,37.19,37.19,37.19,0.0,0.0,37.34,37.34,37.34,0.0,0.0,36.1,36.1,36.1,0.0,0.0,36.21,36.21,36.21,0.0,0.0
2018-02-04,36.53,36.53,36.53,0.0,0.0,36.86,36.86,36.86,0.0,0.0,36.37,36.37,36.37,0.0,0.0,36.63,36.63,36.63,0.0,0.0
2018-02-11,37.11,37.11,37.11,0.0,0.0,37.42,37.42,37.42,0.0,0.0,36.95,36.95,36.95,0.0,0.0,37.2,37.2,37.2,0.0,0.0
2018-02-18,36.68,36.68,36.68,0.0,0.0,36.92,36.92,36.92,0.0,0.0,36.52,36.52,36.52,0.0,0.0,36.91,36.91,36.91,0.0,0.0
2018-02-25,35.94,35.94,35.94,0.0,0.0,36.43,36.43,36.43,0.0,0.0,35.82,35.82,35.82,0.0,0.0,36.36,36.36,36.36,0.0,0.0
2018-03-04,36.54,36.54,36.54,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.33,36.33,36.33,0.0,0.0,36.42,36.42,36.42,0.0,0.0
2018-03-11,35.24,35.24,35.24,0.0,0.0,35.37,35.37,35.37,0.0,0.0,34.96,34.96,34.96,0.0,0.0,35.1,35.1,35.1,0.0,0.0
2018-03-18,33.93,33.93,33.93,0.0,0.0,34.15,34.15,34.15,0.0,0.0,33.6,33.6,33.6,0.0,0.0,34.03,34.03,34.03,0.0,0.0
2018-03-25,34.6,34.6,34.6,0.0,0.0,34.75,34.75,34.75,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.3,34.3,34.3,0.0,0.0
2018-04-01,34.27,34.27,34.27,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.1,34.1,34.1,0.0,0.0,34.14,34.14,34.14,0.0,0.0
2018-04-08,34.04,34.04,34.04,0.0,0.0,34.14,34.14,34.14,0.0,0.0,33.88,33.88,33.88,0.0,0.0,34.1,34.1,34.1,0.0,0.0
2018-04-15,33.01,33.01,33.01,0.0,0.0,33.13,33.13,33.13,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.82,32.82,32.82,0.0,0.0
2018-04-22,34.18,34.18,34.18,0.0,0.0,34.22,34.22,34.22,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.81,33.81,33.81,0.0,0.0
2018-04-29,32.72,32.72,32.72,0.0,0.0,33.08,33.08,33.08,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.99,32.99,32.99,0.0,0.0
2018-05-06,33.81,33.81,33.81,0.0,0.0,33.84,33.84,33.84,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.66,33.66,33.66,0.0,0.0
2018-05-13,32.92,32.92,32.92,0.0,0.0,33.17,33.17,33.17,0.0,0.0,32.92,32.92,32.92,0.0,0.0,33.13,33.13,33.13,0.0,0.0
2018-05-20,32.97,32.97,32.97,0.0,0.0,33.09,33.09,33.09,0.0,0.0,32.8,32.8,32.8,0.0,0.0,33.09,33.09,33.09,0.0,0.0
2018-05-27,32.95,32.95,32.95,0.0,0.0,32.99,32.99,32.99,0.0,0.0,32.73,32.73,32.73,0.0,0.0,32.73,32.73,32.73,0.0,0.0
2018-06-03,32.88,32.88,32.88,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.7,32.7,32.7,0.0,0.0,32.74,32.74,32.74,0.0,0.0
2018-06-10,31.01,31.01,31.01,0.0,0.0,31.04,31.04,31.04,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.88,30.88,30.88,0.0,0.0
2018-06-17,29.2,29.2,29.2,0.0,0.0,29.2,29.2,29.2,0.0,0.0,28.8,28.8,28.8,0.0,0.0,29.11,29.11,29.11,0.0,0.0
2018-06-24,30.13,30.13,30.13,0.0,0.0,30.26,30.26,30.26,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.23,30.23,30.23,0.0,0.0
2018-07-01,30.2,30.2,30.2,0.0,0.0,30.34,30.34,30.34,0.0,0.0,29.93,29.93,29.93,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2018-07-08,30.83,30.83,30.83,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.72,30.72,30.72,0.0,0.0
2018-07-15,31.07,31.07,31.07,0.0,0.0,31.17,31.17,31.17,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.97,30.97,30.97,0.0,0.0
2018-07-22,32.64,32.64,32.64,0.0,0.0,33.12,33.12,33.12,0.0,0.0,32.64,32.64,32.64,0.0,0.0,33.0,33.0,33.0,0.0,0.0
2018-07-29,33.1,33.1,33.1,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.24,33.24,33.24,0.0,0.0
2018-08-05,31.9,31.9,31.9,0.0,0.0,32.13,32.13,32.13,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.73,31.73,31.73,0.0,0.0
2018-08-12,31.63,31.63,31.63,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2018-08-19,33.05,33.05,33.05,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.05,33.05,33.05,0.0,0.0,33.19,33.19,33.19,0.0,0.0
2018-08-26,32.56,32.56,32.56,0.0,0.0,33.06,33.06,33.06,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.91,32.91,32.91,0.0,0.0
2018-09-02,31.55,31.55,31.55,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.21,31.21,31.21,0.0,0.0,31.22,31.22,31.22,0.0,0.0
2018-09-09,30.82,30.82,30.82,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.75,30.75,30.75,0.0,0.0
