Date,BOKF_Open_average,BOKF_Open_max,BOKF_Open_min,BOKF_Open_volatility,BOKF_Open_change,BOKF_High_average,BOKF_High_max,BOKF_High_min,BOKF_High_volatility,BOKF_High_change,BOKF_Low_average,BOKF_Low_max,BOKF_Low_min,BOKF_Low_volatility,BOKF_Low_change,BOKF_Close_average,BOKF_Close_max,BOKF_Close_min,BOKF_Close_volatility,BOKF_Close_change,BOKF_Volume_average,BOKF_Volume_max,BOKF_Volume_min,BOKF_Volume_volatility,BOKF_Volume_change
2018-01-14,95.884,96.41,95.0,1.4099999999999966,1.2199999999999989,96.846,97.61,96.41,1.2000000000000028,1.1099999999999994,95.4,96.01,94.66,1.3500000000000085,1.3500000000000085,96.184,96.7,95.42,1.2800000000000011,1.2800000000000011,111234,149540,82796,66744,-42839
2018-01-21,96.86,98.08,94.41,3.6700000000000017,1.4699999999999989,98.27,98.8,97.96,0.8400000000000034,0.8400000000000034,96.088,97.56,94.41,3.1500000000000057,1.8599999999999994,97.812,98.36,97.33,1.0300000000000011,1.0300000000000011,177580,224521,104670,119851,-62406
2018-01-28,96.754,97.81,95.11,2.700000000000003,-2.700000000000003,97.73,98.6,96.41,2.1899999999999977,-2.1899999999999977,95.422,96.35,92.46,3.8900000000000006,-3.8900000000000006,95.986,97.61,92.66,4.950000000000003,-4.200000000000003,124615,162975,82663,80312,-9066
2018-02-04,92.464,93.55,90.58,2.969999999999999,2.430000000000007,93.944,94.92,93.11,1.8100000000000023,1.25,91.286,93.0,89.81,3.1899999999999977,1.9299999999999926,92.85,93.83,90.63,3.200000000000003,0.28000000000000114,153396,272924,87623,185301,-155756
2018-02-11,94.285,96.04,92.67,3.3700000000000045,1.75,95.9525,96.83,95.01,1.8199999999999932,1.8199999999999932,93.635,95.03,91.62,3.4099999999999966,2.030000000000001,95.105,96.35,93.39,2.9599999999999937,2.9599999999999937,148589,275927,71907,204020,-67508
2018-02-18,95.992,96.92,95.25,1.6700000000000017,0.7599999999999909,97.018,97.57,96.24,1.3299999999999983,0.539999999999992,95.114,95.36,94.77,0.5900000000000034,0.269999999999996,95.976,96.83,94.89,1.9399999999999977,1.480000000000004,77220,89175,52735,36440,-19505
2018-02-25,95.32600000000001,96.87,94.23,2.6400000000000006,-1.5100000000000051,96.89,97.95,96.06,1.8900000000000006,-0.4399999999999977,94.166,95.31,92.88,2.430000000000007,-0.7000000000000028,95.322,96.13,94.45,1.6799999999999926,0.7299999999999898,124850,162312,94804,67508,-23342
2018-03-04,98.256,100.13,96.63,3.5,3.4399999999999977,99.656,101.64,97.99,3.6500000000000057,3.6500000000000057,97.534,99.74,95.73,4.009999999999991,4.009999999999991,99.112,100.91,97.79,3.1199999999999903,3.1199999999999903,147166,233670,81185,152485,138414
2018-03-11,100.578,101.14,99.97,1.1700000000000017,-0.1700000000000017,102.27,107.0,100.43,6.569999999999993,5.079999999999998,99.554,100.11,99.02,1.0900000000000034,-0.7000000000000028,100.338,100.83,99.86,0.9699999999999989,0.15000000000000568,206774,467071,113008,354063,-1484
2018-03-18,99.45,100.84,97.18,3.6599999999999966,-3.6599999999999966,100.614,102.03,99.02,3.010000000000005,-1.8500000000000085,97.894,100.0,95.28,4.719999999999999,-3.8900000000000006,99.07,100.99,95.68,5.309999999999988,-0.4900000000000091,137721,211860,67416,144444,144444
2018-03-25,98.7875,100.0,97.66,2.3400000000000034,-1.2000000000000028,99.5125,100.2,99.08,1.1200000000000045,-1.1200000000000045,96.8325,97.72,95.7,2.019999999999996,-1.6099999999999994,97.93,98.99,96.94,2.049999999999997,-0.730000000000004,156869,184387,138571,45816,-7733
2018-04-01,98.786,100.26,96.84,3.4200000000000017,1.9899999999999949,100.056,100.74,98.66,2.0799999999999983,2.010000000000005,97.858,99.2,96.84,2.3599999999999994,1.3799999999999955,99.21600000000001,100.46,98.4,2.059999999999988,-0.18999999999999773,145179,233556,98109,135447,-48254
2018-04-08,101.802,103.87,100.03,3.8400000000000034,2.9200000000000017,103.80799999999999,106.49,101.55,4.939999999999998,3.6500000000000057,100.806,101.98,98.49,3.490000000000009,3.1700000000000017,102.072,103.18,101.12,2.0600000000000023,1.4200000000000017,174296,242143,107698,134445,-134445
2018-04-15,101.646,103.1,100.38,2.719999999999999,-0.8299999999999983,102.84,104.38,101.2,3.1799999999999926,-0.06999999999999318,100.868,102.27,99.95,2.319999999999993,1.6499999999999915,101.606,103.41,100.22,3.1899999999999977,2.4200000000000017,174393,230916,120713,110203,110203
2018-04-22,103.958,105.57,103.08,2.489999999999995,-0.9699999999999989,104.928,105.94,103.08,2.8599999999999994,-2.3900000000000006,101.92,102.88,100.68,2.1999999999999886,-2.1999999999999886,102.9,105.14,100.68,4.459999999999994,-2.839999999999989,220650,298712,190694,108018,85769
