Date,VelocityShares 3x Inverse Gold linked to S&P GSCI_Open_average,VelocityShares 3x Inverse Gold linked to S&P GSCI_Open_max,VelocityShares 3x Inverse Gold linked to S&P GSCI_Open_min,VelocityShares 3x Inverse Gold linked to S&P GSCI_Open_volatility,VelocityShares 3x Inverse Gold linked to S&P GSCI_Open_change,VelocityShares 3x Inverse Gold linked to S&P GSCI_High_average,VelocityShares 3x Inverse Gold linked to S&P GSCI_High_max,VelocityShares 3x Inverse Gold linked to S&P GSCI_High_min,VelocityShares 3x Inverse Gold linked to S&P GSCI_High_volatility,VelocityShares 3x Inverse Gold linked to S&P GSCI_High_change,VelocityShares 3x Inverse Gold linked to S&P GSCI_Low_average,VelocityShares 3x Inverse Gold linked to S&P GSCI_Low_max,VelocityShares 3x Inverse Gold linked to S&P GSCI_Low_min,VelocityShares 3x Inverse Gold linked to S&P GSCI_Low_volatility,VelocityShares 3x Inverse Gold linked to S&P GSCI_Low_change,VelocityShares 3x Inverse Gold linked to S&P GSCI_Close_average,VelocityShares 3x Inverse Gold linked to S&P GSCI_Close_max,VelocityShares 3x Inverse Gold linked to S&P GSCI_Close_min,VelocityShares 3x Inverse Gold linked to S&P GSCI_Close_volatility,VelocityShares 3x Inverse Gold linked to S&P GSCI_Close_change
2018-01-14,40.9,40.9,40.9,0.0,0.0,41.1,41.1,41.1,0.0,0.0,40.67,40.67,40.67,0.0,0.0,40.75,40.75,40.75,0.0,0.0
2018-01-21,39.89,39.89,39.89,0.0,0.0,40.48,40.48,40.48,0.0,0.0,39.84,39.84,39.84,0.0,0.0,40.12,40.12,40.12,0.0,0.0
2018-01-28,40.63,40.63,40.63,0.0,0.0,40.94,40.94,40.94,0.0,0.0,40.15,40.15,40.15,0.0,0.0,40.65,40.65,40.65,0.0,0.0
2018-02-04,42.24,42.24,42.24,0.0,0.0,42.3,42.3,42.3,0.0,0.0,41.58,41.58,41.58,0.0,0.0,42.04,42.04,42.04,0.0,0.0
2018-02-11,39.06,39.06,39.06,0.0,0.0,39.69,39.69,39.69,0.0,0.0,38.72,38.72,38.72,0.0,0.0,39.38,39.38,39.38,0.0,0.0
2018-02-18,40.78,40.78,40.78,0.0,0.0,41.03,41.03,41.03,0.0,0.0,40.64,40.64,40.64,0.0,0.0,40.77,40.77,40.77,0.0,0.0
2018-02-25,41.83,41.83,41.83,0.0,0.0,42.23,42.23,42.23,0.0,0.0,41.74,41.74,41.74,0.0,0.0,42.01,42.01,42.01,0.0,0.0
2018-03-04,42.14,42.14,42.14,0.0,0.0,42.31,42.31,42.31,0.0,0.0,41.6,41.6,41.6,0.0,0.0,41.62,41.62,41.62,0.0,0.0
2018-03-11,42.67,42.67,42.67,0.0,0.0,42.84,42.84,42.84,0.0,0.0,42.08,42.08,42.08,0.0,0.0,42.33,42.33,42.33,0.0,0.0
2018-03-18,39.15,39.15,39.15,0.0,0.0,39.15,39.15,39.15,0.0,0.0,38.7,38.7,38.7,0.0,0.0,38.92,38.92,38.92,0.0,0.0
2018-03-25,40.44,40.44,40.44,0.0,0.0,40.76,40.76,40.76,0.0,0.0,39.69,39.69,39.69,0.0,0.0,39.9,39.9,39.9,0.0,0.0
2018-04-01,40.71,40.71,40.71,0.0,0.0,40.9,40.9,40.9,0.0,0.0,40.32,40.32,40.32,0.0,0.0,40.41,40.41,40.41,0.0,0.0
2018-04-08,39.45,39.45,39.45,0.0,0.0,39.61,39.61,39.61,0.0,0.0,39.17,39.17,39.17,0.0,0.0,39.55,39.55,39.55,0.0,0.0
2018-04-15,41.54,41.54,41.54,0.0,0.0,41.78,41.78,41.78,0.0,0.0,41.43,41.43,41.43,0.0,0.0,41.55,41.55,41.55,0.0,0.0
2018-04-22,42.8,42.8,42.8,0.0,0.0,43.0,43.0,43.0,0.0,0.0,42.0,42.0,42.0,0.0,0.0,42.58,42.58,42.58,0.0,0.0
2018-04-29,42.72,42.72,42.72,0.0,0.0,42.87,42.87,42.87,0.0,0.0,42.5,42.5,42.5,0.0,0.0,42.62,42.62,42.62,0.0,0.0
2018-05-06,42.04,42.04,42.04,0.0,0.0,42.78,42.78,42.78,0.0,0.0,42.01,42.01,42.01,0.0,0.0,42.76,42.76,42.76,0.0,0.0
2018-05-13,45.23,45.23,45.23,0.0,0.0,45.43,45.43,45.43,0.0,0.0,44.84,44.84,44.84,0.0,0.0,44.88,44.88,44.88,0.0,0.0
2018-05-20,43.63,43.63,43.63,0.0,0.0,44.09,44.09,44.09,0.0,0.0,43.61,43.61,43.61,0.0,0.0,44.04,44.04,44.04,0.0,0.0
2018-05-27,44.47,44.47,44.47,0.0,0.0,45.0,45.0,45.0,0.0,0.0,44.45,44.45,44.45,0.0,0.0,44.99,44.99,44.99,0.0,0.0
2018-06-03,44.21,44.21,44.21,0.0,0.0,44.26,44.26,44.26,0.0,0.0,43.89,43.89,43.89,0.0,0.0,43.89,43.89,43.89,0.0,0.0
2018-06-10,46.16,46.16,46.16,0.0,0.0,46.5,46.5,46.5,0.0,0.0,46.14,46.14,46.14,0.0,0.0,46.44,46.44,46.44,0.0,0.0
2018-06-17,47.76,47.76,47.76,0.0,0.0,48.01,48.01,48.01,0.0,0.0,47.58,47.58,47.58,0.0,0.0,47.97,47.97,47.97,0.0,0.0
2018-06-24,50.11,50.11,50.11,0.0,0.0,51.04,51.04,51.04,0.0,0.0,50.07,50.07,50.07,0.0,0.0,50.99,50.99,50.99,0.0,0.0
2018-07-01,48.22,48.22,48.22,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.19,48.19,48.19,0.0,0.0,48.83,48.83,48.83,0.0,0.0
2018-07-08,51.04,51.04,51.04,0.0,0.0,51.32,51.32,51.32,0.0,0.0,50.96,50.96,50.96,0.0,0.0,50.98,50.98,50.98,0.0,0.0
