Date,iShares S&P Mid-Cap 400 Value_etf_Open_average,iShares S&P Mid-Cap 400 Value_etf_Open_max,iShares S&P Mid-Cap 400 Value_etf_Open_min,iShares S&P Mid-Cap 400 Value_etf_Open_volatility,iShares S&P Mid-Cap 400 Value_etf_Open_change,iShares S&P Mid-Cap 400 Value_etf_High_average,iShares S&P Mid-Cap 400 Value_etf_High_max,iShares S&P Mid-Cap 400 Value_etf_High_min,iShares S&P Mid-Cap 400 Value_etf_High_volatility,iShares S&P Mid-Cap 400 Value_etf_High_change,iShares S&P Mid-Cap 400 Value_etf_Low_average,iShares S&P Mid-Cap 400 Value_etf_Low_max,iShares S&P Mid-Cap 400 Value_etf_Low_min,iShares S&P Mid-Cap 400 Value_etf_Low_volatility,iShares S&P Mid-Cap 400 Value_etf_Low_change,iShares S&P Mid-Cap 400 Value_etf_Close_average,iShares S&P Mid-Cap 400 Value_etf_Close_max,iShares S&P Mid-Cap 400 Value_etf_Close_min,iShares S&P Mid-Cap 400 Value_etf_Close_volatility,iShares S&P Mid-Cap 400 Value_etf_Close_change
2018-01-14,163.02,163.02,163.02,0.0,0.0,164.59,164.59,164.59,0.0,0.0,163.02,163.02,163.02,0.0,0.0,164.56,164.56,164.56,0.0,0.0
2018-01-21,165.42,165.42,165.42,0.0,0.0,165.53,165.53,165.53,0.0,0.0,164.38,164.38,164.38,0.0,0.0,165.53,165.53,165.53,0.0,0.0
2018-01-28,160.99,160.99,160.99,0.0,0.0,161.11,161.11,161.11,0.0,0.0,158.52,158.52,158.52,0.0,0.0,158.65,158.65,158.65,0.0,0.0
2018-02-04,150.99,150.99,150.99,0.0,0.0,151.83,151.83,151.83,0.0,0.0,146.8,146.8,146.8,0.0,0.0,151.0,151.0,151.0,0.0,0.0
2018-02-11,156.16,156.16,156.16,0.0,0.0,158.12,158.12,158.12,0.0,0.0,156.16,156.16,156.16,0.0,0.0,157.36,157.36,157.36,0.0,0.0
2018-02-18,156.43,156.43,156.43,0.0,0.0,157.51,157.51,157.51,0.0,0.0,156.06,156.06,156.06,0.0,0.0,157.51,157.51,157.51,0.0,0.0
2018-02-25,152.73,152.73,152.73,0.0,0.0,155.75,155.75,155.75,0.0,0.0,152.24,152.24,152.24,0.0,0.0,155.48,155.48,155.48,0.0,0.0
2018-03-04,159.13,159.13,159.13,0.0,0.0,160.67,160.67,160.67,0.0,0.0,158.88,158.88,158.88,0.0,0.0,160.65,160.65,160.65,0.0,0.0
2018-03-11,158.52,158.52,158.52,0.0,0.0,160.03,160.03,160.03,0.0,0.0,158.52,158.52,158.52,0.0,0.0,159.65,159.65,159.65,0.0,0.0
2018-03-18,153.79,153.79,153.79,0.0,0.0,154.19,154.19,154.19,0.0,0.0,150.57,150.57,150.57,0.0,0.0,150.65,150.65,150.65,0.0,0.0
2018-03-25,153.24,153.24,153.24,0.0,0.0,154.94,154.94,154.94,0.0,0.0,153.24,153.24,153.24,0.0,0.0,154.5,154.5,154.5,0.0,0.0
2018-04-01,154.73,154.73,154.73,0.0,0.0,155.49,155.49,155.49,0.0,0.0,151.43,151.43,151.43,0.0,0.0,152.56,152.56,152.56,0.0,0.0
2018-04-08,156.3,156.3,156.3,0.0,0.0,156.3,156.3,156.3,0.0,0.0,154.88,154.88,154.88,0.0,0.0,155.36,155.36,155.36,0.0,0.0
2018-04-15,157.94,157.94,157.94,0.0,0.0,158.14,158.14,158.14,0.0,0.0,156.58,156.58,156.58,0.0,0.0,156.91,156.91,156.91,0.0,0.0
2018-04-22,157.13,157.13,157.13,0.0,0.0,157.58,157.58,157.58,0.0,0.0,156.37,156.37,156.37,0.0,0.0,157.19,157.19,157.19,0.0,0.0
2018-04-29,154.56,154.56,154.56,0.0,0.0,157.68,157.68,157.68,0.0,0.0,154.29,154.29,154.29,0.0,0.0,157.08,157.08,157.08,0.0,0.0
