Date,Principal Shareholder YieldEtf_Open_average,Principal Shareholder YieldEtf_Open_max,Principal Shareholder YieldEtf_Open_min,Principal Shareholder YieldEtf_Open_volatility,Principal Shareholder YieldEtf_Open_change,Principal Shareholder YieldEtf_High_average,Principal Shareholder YieldEtf_High_max,Principal Shareholder YieldEtf_High_min,Principal Shareholder YieldEtf_High_volatility,Principal Shareholder YieldEtf_High_change,Principal Shareholder YieldEtf_Low_average,Principal Shareholder YieldEtf_Low_max,Principal Shareholder YieldEtf_Low_min,Principal Shareholder YieldEtf_Low_volatility,Principal Shareholder YieldEtf_Low_change,Principal Shareholder YieldEtf_Close_average,Principal Shareholder YieldEtf_Close_max,Principal Shareholder YieldEtf_Close_min,Principal Shareholder YieldEtf_Close_volatility,Principal Shareholder YieldEtf_Close_change
2018-01-14,34.31,34.31,34.31,0.0,0.0,34.32,34.32,34.32,0.0,0.0,34.31,34.31,34.31,0.0,0.0,34.32,34.32,34.32,0.0,0.0
2018-01-21,34.75,34.75,34.75,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.75,34.75,34.75,0.0,0.0,34.81,34.81,34.81,0.0,0.0
2018-01-28,34.07,34.07,34.07,0.0,0.0,34.17,34.17,34.17,0.0,0.0,34.04,34.04,34.04,0.0,0.0,34.04,34.04,34.04,0.0,0.0
2018-02-04,32.82,32.82,32.82,0.0,0.0,32.86,32.86,32.86,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.86,32.86,32.86,0.0,0.0
2018-02-11,33.25,33.25,33.25,0.0,0.0,33.25,33.25,33.25,0.0,0.0,33.25,33.25,33.25,0.0,0.0,33.25,33.25,33.25,0.0,0.0
2018-02-18,33.09,33.09,33.09,0.0,0.0,33.09,33.09,33.09,0.0,0.0,33.09,33.09,33.09,0.0,0.0,33.09,33.09,33.09,0.0,0.0
2018-02-25,33.33,33.33,33.33,0.0,0.0,33.35,33.35,33.35,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.35,33.35,33.35,0.0,0.0
2018-03-04,33.4,33.4,33.4,0.0,0.0,33.42,33.42,33.42,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.42,33.42,33.42,0.0,0.0
2018-03-11,33.09,33.09,33.09,0.0,0.0,33.09,33.09,33.09,0.0,0.0,32.99,32.99,32.99,0.0,0.0,32.99,32.99,32.99,0.0,0.0
2018-03-18,32.95,32.95,32.95,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.89,32.89,32.89,0.0,0.0
