Date,PowerShares S&P SmallCap Financials_Open_average,PowerShares S&P SmallCap Financials_Open_max,PowerShares S&P SmallCap Financials_Open_min,PowerShares S&P SmallCap Financials_Open_volatility,PowerShares S&P SmallCap Financials_Open_change,PowerShares S&P SmallCap Financials_High_average,PowerShares S&P SmallCap Financials_High_max,PowerShares S&P SmallCap Financials_High_min,PowerShares S&P SmallCap Financials_High_volatility,PowerShares S&P SmallCap Financials_High_change,PowerShares S&P SmallCap Financials_Low_average,PowerShares S&P SmallCap Financials_Low_max,PowerShares S&P SmallCap Financials_Low_min,PowerShares S&P SmallCap Financials_Low_volatility,PowerShares S&P SmallCap Financials_Low_change,PowerShares S&P SmallCap Financials_Close_average,PowerShares S&P SmallCap Financials_Close_max,PowerShares S&P SmallCap Financials_Close_min,PowerShares S&P SmallCap Financials_Close_volatility,PowerShares S&P SmallCap Financials_Close_change
2018-05-20,57.5,57.5,57.5,0.0,0.0,57.5,57.5,57.5,0.0,0.0,56.94,56.94,56.94,0.0,0.0,57.13,57.13,57.13,0.0,0.0
2018-05-27,57.64,57.64,57.64,0.0,0.0,58.36,58.36,58.36,0.0,0.0,57.64,57.64,57.64,0.0,0.0,58.36,58.36,58.36,0.0,0.0
2018-06-03,58.87,58.87,58.87,0.0,0.0,59.03,59.03,59.03,0.0,0.0,58.6,58.6,58.6,0.0,0.0,58.76,58.76,58.76,0.0,0.0
2018-06-10,57.82,57.82,57.82,0.0,0.0,58.35,58.35,58.35,0.0,0.0,57.76,57.76,57.76,0.0,0.0,58.24,58.24,58.24,0.0,0.0
2018-06-17,58.14,58.14,58.14,0.0,0.0,58.3,58.3,58.3,0.0,0.0,57.75,57.75,57.75,0.0,0.0,58.22,58.22,58.22,0.0,0.0
2018-06-24,57.21,57.21,57.21,0.0,0.0,57.41,57.41,57.41,0.0,0.0,56.86,56.86,56.86,0.0,0.0,57.41,57.41,57.41,0.0,0.0
2018-07-01,58.47,58.47,58.47,0.0,0.0,58.99,58.99,58.99,0.0,0.0,58.47,58.47,58.47,0.0,0.0,58.92,58.92,58.92,0.0,0.0
2018-07-08,57.6,57.6,57.6,0.0,0.0,57.86,57.86,57.86,0.0,0.0,57.6,57.6,57.6,0.0,0.0,57.73,57.73,57.73,0.0,0.0
2018-07-15,58.68,58.68,58.68,0.0,0.0,59.22,59.22,59.22,0.0,0.0,58.68,58.68,58.68,0.0,0.0,59.18,59.18,59.18,0.0,0.0
2018-07-22,58.26,58.26,58.26,0.0,0.0,58.47,58.47,58.47,0.0,0.0,58.16,58.16,58.16,0.0,0.0,58.19,58.19,58.19,0.0,0.0
2018-07-29,58.74,58.74,58.74,0.0,0.0,58.81,58.81,58.81,0.0,0.0,58.64,58.64,58.64,0.0,0.0,58.68,58.68,58.68,0.0,0.0
2018-08-05,58.5,58.5,58.5,0.0,0.0,58.7,58.7,58.7,0.0,0.0,58.26,58.26,58.26,0.0,0.0,58.45,58.45,58.45,0.0,0.0
2018-08-12,60.13,60.13,60.13,0.0,0.0,60.13,60.13,60.13,0.0,0.0,59.69,59.69,59.69,0.0,0.0,59.9,59.9,59.9,0.0,0.0
2018-08-19,60.4,60.4,60.4,0.0,0.0,60.51,60.51,60.51,0.0,0.0,59.86,59.86,59.86,0.0,0.0,59.86,59.86,59.86,0.0,0.0
2018-08-26,59.52,59.52,59.52,0.0,0.0,60.1,60.1,60.1,0.0,0.0,59.52,59.52,59.52,0.0,0.0,60.1,60.1,60.1,0.0,0.0
2018-09-02,59.79,59.79,59.79,0.0,0.0,60.04,60.04,60.04,0.0,0.0,59.63,59.63,59.63,0.0,0.0,59.63,59.63,59.63,0.0,0.0
2018-09-09,59.39,59.39,59.39,0.0,0.0,59.39,59.39,59.39,0.0,0.0,58.95,58.95,58.95,0.0,0.0,58.95,58.95,58.95,0.0,0.0
2018-09-16,58.66,58.66,58.66,0.0,0.0,58.66,58.66,58.66,0.0,0.0,57.34,57.34,57.34,0.0,0.0,57.56,57.56,57.56,0.0,0.0
2018-09-23,57.44,57.44,57.44,0.0,0.0,57.55,57.55,57.55,0.0,0.0,56.26,56.26,56.26,0.0,0.0,56.26,56.26,56.26,0.0,0.0
2018-09-30,56.1,56.1,56.1,0.0,0.0,56.73,56.73,56.73,0.0,0.0,56.05,56.05,56.05,0.0,0.0,56.73,56.73,56.73,0.0,0.0
2018-10-07,53.42,53.42,53.42,0.0,0.0,53.93,53.93,53.93,0.0,0.0,53.42,53.42,53.42,0.0,0.0,53.71,53.71,53.71,0.0,0.0
2018-10-14,53.73,53.73,53.73,0.0,0.0,53.83,53.83,53.83,0.0,0.0,52.79,52.79,52.79,0.0,0.0,52.79,52.79,52.79,0.0,0.0
2018-10-21,52.83,52.83,52.83,0.0,0.0,53.48,53.48,53.48,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.89,52.89,52.89,0.0,0.0
2018-10-28,53.88,53.88,53.88,0.0,0.0,54.11,54.11,54.11,0.0,0.0,53.88,53.88,53.88,0.0,0.0,54.1,54.1,54.1,0.0,0.0
2018-11-04,54.97,54.97,54.97,0.0,0.0,55.17,55.17,55.17,0.0,0.0,54.74,54.74,54.74,0.0,0.0,54.79,54.79,54.79,0.0,0.0
2018-11-11,54.88,54.88,54.88,0.0,0.0,55.22,55.22,55.22,0.0,0.0,54.41,54.41,54.41,0.0,0.0,54.73,54.73,54.73,0.0,0.0
2018-11-18,54.47,54.47,54.47,0.0,0.0,55.12,55.12,55.12,0.0,0.0,54.47,54.47,54.47,0.0,0.0,54.52,54.52,54.52,0.0,0.0
2018-11-25,56.54,56.54,56.54,0.0,0.0,56.54,56.54,56.54,0.0,0.0,55.09,55.09,55.09,0.0,0.0,55.59,55.59,55.59,0.0,0.0
2018-12-02,52.78,52.78,52.78,0.0,0.0,52.88,52.88,52.88,0.0,0.0,52.13,52.13,52.13,0.0,0.0,52.88,52.88,52.88,0.0,0.0
2018-12-09,51.53,51.53,51.53,0.0,0.0,51.86,51.86,51.86,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.33,50.33,50.33,0.0,0.0
2018-12-16,47.43,47.43,47.43,0.0,0.0,47.43,47.43,47.43,0.0,0.0,46.25,46.25,46.25,0.0,0.0,46.25,46.25,46.25,0.0,0.0
2018-12-23,48.3,48.3,48.3,0.0,0.0,48.3,48.3,48.3,0.0,0.0,47.22,47.22,47.22,0.0,0.0,47.94,47.94,47.94,0.0,0.0
2018-12-30,49.3,49.3,49.3,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.2,49.2,49.2,0.0,0.0,49.38,49.38,49.38,0.0,0.0
2019-01-06,50.03,50.03,50.03,0.0,0.0,50.72,50.72,50.72,0.0,0.0,50.03,50.03,50.03,0.0,0.0,50.52,50.52,50.52,0.0,0.0
2019-01-13,51.98,51.98,51.98,0.0,0.0,52.21,52.21,52.21,0.0,0.0,51.83,51.83,51.83,0.0,0.0,52.2,52.2,52.2,0.0,0.0
2019-01-20,51.57,51.57,51.57,0.0,0.0,52.39,52.39,52.39,0.0,0.0,51.57,51.57,51.57,0.0,0.0,52.34,52.34,52.34,0.0,0.0
2019-01-27,52.79,52.79,52.79,0.0,0.0,53.38,53.38,53.38,0.0,0.0,52.79,52.79,52.79,0.0,0.0,53.38,53.38,53.38,0.0,0.0
2019-02-03,53.39,53.39,53.39,0.0,0.0,54.06,54.06,54.06,0.0,0.0,53.39,53.39,53.39,0.0,0.0,54.06,54.06,54.06,0.0,0.0
2019-02-10,54.58,54.58,54.58,0.0,0.0,54.95,54.95,54.95,0.0,0.0,54.43,54.43,54.43,0.0,0.0,54.72,54.72,54.72,0.0,0.0
2019-02-17,55.79,55.79,55.79,0.0,0.0,55.81,55.81,55.81,0.0,0.0,55.08,55.08,55.08,0.0,0.0,55.08,55.08,55.08,0.0,0.0
2019-02-24,54.59,54.59,54.59,0.0,0.0,54.76,54.76,54.76,0.0,0.0,54.19,54.19,54.19,0.0,0.0,54.29,54.29,54.29,0.0,0.0
2019-03-03,52.54,52.54,52.54,0.0,0.0,53.25,53.25,53.25,0.0,0.0,52.54,52.54,52.54,0.0,0.0,53.1,53.1,53.1,0.0,0.0
2019-03-10,53.74,53.74,53.74,0.0,0.0,53.74,53.74,53.74,0.0,0.0,53.35,53.35,53.35,0.0,0.0,53.66,53.66,53.66,0.0,0.0
2019-03-17,50.96,50.96,50.96,0.0,0.0,51.23,51.23,51.23,0.0,0.0,50.62,50.62,50.62,0.0,0.0,51.09,51.09,51.09,0.0,0.0
2019-03-24,52.55,52.55,52.55,0.0,0.0,53.21,53.21,53.21,0.0,0.0,52.55,52.55,52.55,0.0,0.0,53.21,53.21,53.21,0.0,0.0
2019-03-31,53.69,53.69,53.69,0.0,0.0,53.69,53.69,53.69,0.0,0.0,53.53,53.53,53.53,0.0,0.0,53.53,53.53,53.53,0.0,0.0
2019-04-07,54.31,54.31,54.31,0.0,0.0,54.31,54.31,54.31,0.0,0.0,53.55,53.55,53.55,0.0,0.0,53.56,53.56,53.56,0.0,0.0
2019-04-14,53.38,53.38,53.38,0.0,0.0,53.43,53.43,53.43,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.7,52.7,52.7,0.0,0.0
2019-04-21,54.6,54.6,54.6,0.0,0.0,55.22,55.22,55.22,0.0,0.0,54.6,54.6,54.6,0.0,0.0,54.92,54.92,54.92,0.0,0.0
2019-04-28,54.96,54.96,54.96,0.0,0.0,55.84,55.84,55.84,0.0,0.0,54.96,54.96,54.96,0.0,0.0,55.84,55.84,55.84,0.0,0.0
2019-05-05,54.21,54.21,54.21,0.0,0.0,54.34,54.34,54.34,0.0,0.0,53.39,53.39,53.39,0.0,0.0,53.56,53.56,53.56,0.0,0.0
2019-05-12,53.96,53.96,53.96,0.0,0.0,54.05,54.05,54.05,0.0,0.0,53.61,53.61,53.61,0.0,0.0,53.61,53.61,53.61,0.0,0.0
2019-05-19,53.15,53.15,53.15,0.0,0.0,53.76,53.76,53.76,0.0,0.0,53.15,53.15,53.15,0.0,0.0,53.76,53.76,53.76,0.0,0.0
2019-05-26,51.95,51.95,51.95,0.0,0.0,52.48,52.48,52.48,0.0,0.0,51.89,51.89,51.89,0.0,0.0,52.48,52.48,52.48,0.0,0.0
2019-06-02,53.52,53.52,53.52,0.0,0.0,53.59,53.59,53.59,0.0,0.0,53.35,53.35,53.35,0.0,0.0,53.41,53.41,53.41,0.0,0.0
2019-06-09,53.7,53.7,53.7,0.0,0.0,53.97,53.97,53.97,0.0,0.0,53.7,53.7,53.7,0.0,0.0,53.75,53.75,53.75,0.0,0.0
2019-06-16,53.11,53.11,53.11,0.0,0.0,53.53,53.53,53.53,0.0,0.0,52.94,52.94,52.94,0.0,0.0,52.96,52.96,52.96,0.0,0.0
2019-06-23,54.45,54.45,54.45,0.0,0.0,54.45,54.45,54.45,0.0,0.0,53.69,53.69,53.69,0.0,0.0,53.84,53.84,53.84,0.0,0.0
2019-06-30,54.59,54.59,54.59,0.0,0.0,54.67,54.67,54.67,0.0,0.0,54.08,54.08,54.08,0.0,0.0,54.15,54.15,54.15,0.0,0.0
2019-07-07,54.15,54.15,54.15,0.0,0.0,54.15,54.15,54.15,0.0,0.0,53.67,53.67,53.67,0.0,0.0,53.72,53.72,53.72,0.0,0.0
2019-07-14,53.32,53.32,53.32,0.0,0.0,53.34,53.34,53.34,0.0,0.0,53.0,53.0,53.0,0.0,0.0,53.05,53.05,53.05,0.0,0.0
2019-07-21,54.84,54.84,54.84,0.0,0.0,54.85,54.85,54.85,0.0,0.0,54.29,54.29,54.29,0.0,0.0,54.37,54.37,54.37,0.0,0.0
2019-07-28,52.28,52.28,52.28,0.0,0.0,52.28,52.28,52.28,0.0,0.0,51.48,51.48,51.48,0.0,0.0,51.48,51.48,51.48,0.0,0.0
2019-08-04,53.08,53.08,53.08,0.0,0.0,53.24,53.24,53.24,0.0,0.0,52.96,52.96,52.96,0.0,0.0,52.96,52.96,52.96,0.0,0.0
2019-08-11,53.67,53.67,53.67,0.0,0.0,53.81,53.81,53.81,0.0,0.0,53.49,53.49,53.49,0.0,0.0,53.69,53.69,53.69,0.0,0.0
2019-08-18,52.16,52.16,52.16,0.0,0.0,52.28,52.28,52.28,0.0,0.0,51.91,51.91,51.91,0.0,0.0,52.26,52.26,52.26,0.0,0.0
2019-08-25,52.8,52.8,52.8,0.0,0.0,52.8,52.8,52.8,0.0,0.0,52.31,52.31,52.31,0.0,0.0,52.49,52.49,52.49,0.0,0.0
2019-09-01,52.8,52.8,52.8,0.0,0.0,53.82,53.82,53.82,0.0,0.0,52.8,52.8,52.8,0.0,0.0,53.82,53.82,53.82,0.0,0.0
2019-09-08,55.24,55.24,55.24,0.0,0.0,55.38,55.38,55.38,0.0,0.0,55.17,55.17,55.17,0.0,0.0,55.29,55.29,55.29,0.0,0.0
2019-09-15,54.29,54.29,54.29,0.0,0.0,54.62,54.62,54.62,0.0,0.0,54.21,54.21,54.21,0.0,0.0,54.62,54.62,54.62,0.0,0.0
2019-09-22,54.74,54.74,54.74,0.0,0.0,54.74,54.74,54.74,0.0,0.0,54.22,54.22,54.22,0.0,0.0,54.37,54.37,54.37,0.0,0.0
2019-09-29,53.43,53.43,53.43,0.0,0.0,53.79,53.79,53.79,0.0,0.0,53.43,53.43,53.43,0.0,0.0,53.48,53.48,53.48,0.0,0.0
2019-10-06,53.28,53.28,53.28,0.0,0.0,53.35,53.35,53.35,0.0,0.0,53.28,53.28,53.28,0.0,0.0,53.33,53.33,53.33,0.0,0.0
2019-10-13,55.42,55.42,55.42,0.0,0.0,55.54,55.54,55.54,0.0,0.0,55.23,55.23,55.23,0.0,0.0,55.45,55.45,55.45,0.0,0.0
2019-10-20,55.75,55.75,55.75,0.0,0.0,55.98,55.98,55.98,0.0,0.0,55.6,55.6,55.6,0.0,0.0,55.87,55.87,55.87,0.0,0.0
2019-10-27,56.3,56.3,56.3,0.0,0.0,56.5,56.5,56.5,0.0,0.0,56.14,56.14,56.14,0.0,0.0,56.42,56.42,56.42,0.0,0.0
2019-11-03,56.25,56.25,56.25,0.0,0.0,56.33,56.33,56.33,0.0,0.0,56.17,56.17,56.17,0.0,0.0,56.27,56.27,56.27,0.0,0.0
2019-11-10,56.12,56.12,56.12,0.0,0.0,56.25,56.25,56.25,0.0,0.0,56.02,56.02,56.02,0.0,0.0,56.17,56.17,56.17,0.0,0.0
2019-11-17,55.92,55.92,55.92,0.0,0.0,56.7,56.7,56.7,0.0,0.0,55.92,55.92,55.92,0.0,0.0,56.64,56.64,56.64,0.0,0.0
2019-11-24,56.65,56.65,56.65,0.0,0.0,56.65,56.65,56.65,0.0,0.0,56.17,56.17,56.17,0.0,0.0,56.27,56.27,56.27,0.0,0.0
2019-12-01,56.56,56.56,56.56,0.0,0.0,57.05,57.05,57.05,0.0,0.0,56.56,56.56,56.56,0.0,0.0,56.95,56.95,56.95,0.0,0.0
2019-12-08,57.15,57.15,57.15,0.0,0.0,57.39,57.39,57.39,0.0,0.0,57.15,57.15,57.15,0.0,0.0,57.28,57.28,57.28,0.0,0.0
2019-12-15,57.42,57.42,57.42,0.0,0.0,57.42,57.42,57.42,0.0,0.0,56.26,56.26,56.26,0.0,0.0,56.27,56.27,56.27,0.0,0.0
2019-12-22,56.38,56.38,56.38,0.0,0.0,56.72,56.72,56.72,0.0,0.0,56.38,56.38,56.38,0.0,0.0,56.69,56.69,56.69,0.0,0.0
2019-12-29,55.87,55.87,55.87,0.0,0.0,56.33,56.33,56.33,0.0,0.0,55.87,55.87,55.87,0.0,0.0,56.31,56.31,56.31,0.0,0.0
