Date,IBA_Open_average,IBA_Open_max,IBA_Open_min,IBA_Open_volatility,IBA_Open_change,IBA_High_average,IBA_High_max,IBA_High_min,IBA_High_volatility,IBA_High_change,IBA_Low_average,IBA_Low_max,IBA_Low_min,IBA_Low_volatility,IBA_Low_change,IBA_Close_average,IBA_Close_max,IBA_Close_min,IBA_Close_volatility,IBA_Close_change,IBA_Volume_average,IBA_Volume_max,IBA_Volume_min,IBA_Volume_volatility,IBA_Volume_change
2018-08-19,58.056,58.23,57.74,0.4899999999999949,-0.4899999999999949,58.732,58.9,58.32,0.5799999999999983,-0.4299999999999997,57.468,58.2,57.04,1.1600000000000037,-1.1000000000000014,57.638,58.43,57.07,1.3599999999999994,-1.0799999999999983,10732,22275,5047,17228,17228
2018-08-26,58.044,58.55,57.38,1.1699999999999946,-0.6699999999999946,58.72,59.63,58.31,1.3200000000000003,-0.12999999999999545,57.6,58.12,56.83,1.2899999999999991,-1.1200000000000045,58.228,59.02,57.51,1.5100000000000051,0.13000000000000256,3538,5894,2444,3450,-1407
2018-09-02,57.6575,58.2,56.71,1.490000000000002,-0.6000000000000014,58.03,58.2,57.6,0.6000000000000014,-0.6000000000000014,56.93,57.39,56.52,0.8699999999999974,-0.8699999999999974,57.5075,58.01,56.67,1.3399999999999963,-1.3399999999999963,8674,11488,5343,6145,-4556
2018-09-09,57.262,57.8,56.88,0.9199999999999946,0.5399999999999991,57.794,58.93,56.97,1.9600000000000009,0.5399999999999991,56.742,57.42,56.05,1.3700000000000045,0.5200000000000031,57.154,58.34,56.45,1.8900000000000006,0.6400000000000006,5791,9703,2314,7389,-7389
2018-09-16,56.148,57.39,55.63,1.759999999999998,-1.759999999999998,56.304,57.39,55.63,1.759999999999998,-1.759999999999998,54.736,55.16,54.0,1.1599999999999966,-0.7899999999999991,55.196,55.62,54.38,1.2399999999999949,-0.8999999999999986,10525,11924,9087,2837,-612
2018-09-23,54.206,54.85,53.67,1.1799999999999997,-1.1799999999999997,54.646,54.85,54.45,0.3999999999999986,-0.1600000000000037,53.634,53.95,53.15,0.8000000000000043,0.14999999999999858,54.026,54.31,53.52,0.7899999999999991,0.6999999999999957,11136,17605,8096,9509,-5919
2018-09-30,54.699999999999996,55.55,53.55,2.0,-0.9500000000000028,55.174,55.65,54.5,1.1499999999999986,-0.2700000000000031,53.934,54.76,53.12,1.6400000000000006,-0.9100000000000037,54.548,55.23,53.84,1.3899999999999935,-0.6699999999999946,17424,34321,8199,26122,18401
2018-10-07,52.364,53.8,50.85,2.9499999999999957,-1.779999999999994,52.624,54.16,51.45,2.7099999999999937,-1.7999999999999972,51.246,52.8,49.84,2.9599999999999937,-1.5499999999999972,51.766,52.9,50.85,2.049999999999997,-1.1499999999999986,13550,19046,6347,12699,-12086
2018-10-14,51.638,52.51,50.65,1.8599999999999994,-0.8500000000000014,52.178,52.72,51.06,1.6599999999999966,-0.9199999999999946,50.62,51.82,49.49,2.3299999999999983,-1.6199999999999974,51.308,52.48,49.94,2.539999999999999,-1.1700000000000017,9769,20340,3988,16352,8841
2018-10-21,48.58,49.96,47.55,2.4100000000000037,-1.4600000000000009,48.95,49.96,48.5,1.4600000000000009,-1.4600000000000009,47.668,49.01,46.51,2.5,-1.8299999999999983,48.516,49.24,47.93,1.3100000000000023,-1.3100000000000023,17967,26965,8612,18353,12052
