Date,Vanguard S&P 500 Growth_etf_Open_average,Vanguard S&P 500 Growth_etf_Open_max,Vanguard S&P 500 Growth_etf_Open_min,Vanguard S&P 500 Growth_etf_Open_volatility,Vanguard S&P 500 Growth_etf_Open_change,Vanguard S&P 500 Growth_etf_High_average,Vanguard S&P 500 Growth_etf_High_max,Vanguard S&P 500 Growth_etf_High_min,Vanguard S&P 500 Growth_etf_High_volatility,Vanguard S&P 500 Growth_etf_High_change,Vanguard S&P 500 Growth_etf_Low_average,Vanguard S&P 500 Growth_etf_Low_max,Vanguard S&P 500 Growth_etf_Low_min,Vanguard S&P 500 Growth_etf_Low_volatility,Vanguard S&P 500 Growth_etf_Low_change,Vanguard S&P 500 Growth_etf_Close_average,Vanguard S&P 500 Growth_etf_Close_max,Vanguard S&P 500 Growth_etf_Close_min,Vanguard S&P 500 Growth_etf_Close_volatility,Vanguard S&P 500 Growth_etf_Close_change
2018-01-14,145.21,145.21,145.21,0.0,0.0,145.38,145.38,145.38,0.0,0.0,144.72,144.72,144.72,0.0,0.0,145.38,145.38,145.38,0.0,0.0
2018-01-21,147.51,147.51,147.51,0.0,0.0,148.92,148.92,148.92,0.0,0.0,147.35,147.35,147.35,0.0,0.0,148.92,148.92,148.92,0.0,0.0
2018-01-28,145.47,145.47,145.47,0.0,0.0,145.85,145.85,145.85,0.0,0.0,143.38,143.38,143.38,0.0,0.0,143.38,143.38,143.38,0.0,0.0
2018-02-04,135.75,135.75,135.75,0.0,0.0,137.47,137.47,137.47,0.0,0.0,131.62,131.62,131.62,0.0,0.0,136.42,136.42,136.42,0.0,0.0
2018-02-11,143.09,143.09,143.09,0.0,0.0,144.55,144.55,144.55,0.0,0.0,143.09,143.09,143.09,0.0,0.0,143.39,143.39,143.39,0.0,0.0
2018-02-18,143.53,143.53,143.53,0.0,0.0,145.07,145.07,145.07,0.0,0.0,143.2,143.2,143.2,0.0,0.0,145.07,145.07,145.07,0.0,0.0
2018-02-25,140.24,140.24,140.24,0.0,0.0,142.68,142.68,142.68,0.0,0.0,139.79,139.79,139.79,0.0,0.0,142.49,142.49,142.49,0.0,0.0
2018-03-04,146.64,146.64,146.64,0.0,0.0,148.33,148.33,148.33,0.0,0.0,146.43,146.43,146.43,0.0,0.0,148.33,148.33,148.33,0.0,0.0
2018-03-11,146.91,146.91,146.91,0.0,0.0,147.21,147.21,147.21,0.0,0.0,146.62,146.62,146.62,0.0,0.0,146.67,146.67,146.67,0.0,0.0
2018-03-18,140.45,140.45,140.45,0.0,0.0,140.98,140.98,140.98,0.0,0.0,137.17,137.17,137.17,0.0,0.0,137.17,137.17,137.17,0.0,0.0
2018-03-25,137.74,137.74,137.74,0.0,0.0,140.26,140.26,140.26,0.0,0.0,136.95,136.95,136.95,0.0,0.0,139.17,139.17,139.17,0.0,0.0
2018-04-01,138.71,138.71,138.71,0.0,0.0,139.73,139.73,139.73,0.0,0.0,136.0,136.0,136.0,0.0,0.0,136.68,136.68,136.68,0.0,0.0
2018-04-08,141.25,141.25,141.25,0.0,0.0,141.25,141.25,141.25,0.0,0.0,139.35,139.35,139.35,0.0,0.0,139.87,139.87,139.87,0.0,0.0
2018-04-15,142.23,142.23,142.23,0.0,0.0,142.23,142.23,142.23,0.0,0.0,140.29,140.29,140.29,0.0,0.0,140.76,140.76,140.76,0.0,0.0
2018-04-22,141.16,141.16,141.16,0.0,0.0,141.27,141.27,141.27,0.0,0.0,139.76,139.76,139.76,0.0,0.0,140.43,140.43,140.43,0.0,0.0
2018-04-29,139.29,139.29,139.29,0.0,0.0,142.13,142.13,142.13,0.0,0.0,139.29,139.29,139.29,0.0,0.0,141.78,141.78,141.78,0.0,0.0
2018-05-06,145.41,145.41,145.41,0.0,0.0,145.79,145.79,145.79,0.0,0.0,145.0,145.0,145.0,0.0,0.0,145.65,145.65,145.65,0.0,0.0
2018-05-13,144.47,144.47,144.47,0.0,0.0,144.94,144.94,144.94,0.0,0.0,144.36,144.36,144.36,0.0,0.0,144.56,144.56,144.56,0.0,0.0
2018-05-20,145.66,145.66,145.66,0.0,0.0,146.32,146.32,146.32,0.0,0.0,145.66,145.66,145.66,0.0,0.0,145.94,145.94,145.94,0.0,0.0
2018-05-27,146.39,146.39,146.39,0.0,0.0,147.5,147.5,147.5,0.0,0.0,146.39,146.39,146.39,0.0,0.0,147.48,147.48,147.48,0.0,0.0
2018-06-03,148.97,148.97,148.97,0.0,0.0,149.78,149.78,149.78,0.0,0.0,148.79,148.79,148.79,0.0,0.0,149.73,149.73,149.73,0.0,0.0
2018-06-10,150.2,150.2,150.2,0.0,0.0,150.74,150.74,150.74,0.0,0.0,149.81,149.81,149.81,0.0,0.0,150.53,150.53,150.53,0.0,0.0
2018-06-17,149.62,149.62,149.62,0.0,0.0,149.62,149.62,149.62,0.0,0.0,148.67,148.67,148.67,0.0,0.0,148.89,148.89,148.89,0.0,0.0
2018-06-24,146.48,146.48,146.48,0.0,0.0,147.18,147.18,147.18,0.0,0.0,145.9,145.9,145.9,0.0,0.0,145.9,145.9,145.9,0.0,0.0
2018-07-01,147.33,147.33,147.33,0.0,0.0,148.94,148.94,148.94,0.0,0.0,147.2,147.2,147.2,0.0,0.0,148.76,148.76,148.76,0.0,0.0
2018-07-08,151.71,151.71,151.71,0.0,0.0,151.94,151.94,151.94,0.0,0.0,151.32,151.32,151.32,0.0,0.0,151.83,151.83,151.83,0.0,0.0
2018-07-15,152.08,152.08,152.08,0.0,0.0,152.54,152.54,152.54,0.0,0.0,151.84,151.84,151.84,0.0,0.0,151.98,151.98,151.98,0.0,0.0
2018-07-22,154.09,154.09,154.09,0.0,0.0,154.09,154.09,154.09,0.0,0.0,151.14,151.14,151.14,0.0,0.0,151.8,151.8,151.8,0.0,0.0
2018-07-29,152.9,152.9,152.9,0.0,0.0,153.14,153.14,153.14,0.0,0.0,152.44,152.44,152.44,0.0,0.0,153.13,153.13,153.13,0.0,0.0
2018-08-05,153.47,153.47,153.47,0.0,0.0,153.84,153.84,153.84,0.0,0.0,152.95,152.95,152.95,0.0,0.0,153.27,153.27,153.27,0.0,0.0
2018-08-12,153.21,153.21,153.21,0.0,0.0,154.1,154.1,154.1,0.0,0.0,152.88,152.88,152.88,0.0,0.0,153.8,153.8,153.8,0.0,0.0
2018-08-19,154.91,154.91,154.91,0.0,0.0,155.7,155.7,155.7,0.0,0.0,154.9,154.9,154.9,0.0,0.0,155.66,155.66,155.66,0.0,0.0
2018-08-26,158.01,158.01,158.01,0.0,0.0,158.62,158.62,158.62,0.0,0.0,157.81,157.81,157.81,0.0,0.0,158.3,158.3,158.3,0.0,0.0
2018-09-02,155.42,155.42,155.42,0.0,0.0,156.65,156.65,156.65,0.0,0.0,155.23,155.23,155.23,0.0,0.0,155.74,155.74,155.74,0.0,0.0
2018-09-09,158.22,158.22,158.22,0.0,0.0,158.45,158.45,158.45,0.0,0.0,157.56,157.56,157.56,0.0,0.0,158.03,158.03,158.03,0.0,0.0
2018-09-16,159.43,159.43,159.43,0.0,0.0,159.44,159.44,159.44,0.0,0.0,158.5,158.5,158.5,0.0,0.0,158.54,158.54,158.54,0.0,0.0
2018-09-23,158.35,158.35,158.35,0.0,0.0,159.08,159.08,159.08,0.0,0.0,158.35,158.35,158.35,0.0,0.0,158.8,158.8,158.8,0.0,0.0
2018-09-30,156.88,156.88,156.88,0.0,0.0,157.31,157.31,157.31,0.0,0.0,154.42,154.42,154.42,0.0,0.0,155.6,155.6,155.6,0.0,0.0
2018-10-07,149.57,149.57,149.57,0.0,0.0,149.93,149.93,149.93,0.0,0.0,147.25,147.25,147.25,0.0,0.0,149.53,149.53,149.53,0.0,0.0
2018-10-14,149.6,149.6,149.6,0.0,0.0,150.79,150.79,150.79,0.0,0.0,148.43,148.43,148.43,0.0,0.0,148.7,148.7,148.7,0.0,0.0
2018-10-21,143.49,143.49,143.49,0.0,0.0,145.5,145.5,145.5,0.0,0.0,141.34,141.34,141.34,0.0,0.0,143.35,143.35,143.35,0.0,0.0
2018-10-28,148.05,148.05,148.05,0.0,0.0,148.52,148.52,148.52,0.0,0.0,145.22,145.22,145.22,0.0,0.0,146.32,146.32,146.32,0.0,0.0
2018-11-04,150.17,150.17,150.17,0.0,0.0,150.32,150.32,150.32,0.0,0.0,148.3,148.3,148.3,0.0,0.0,149.26,149.26,149.26,0.0,0.0
2018-11-11,145.15,145.15,145.15,0.0,0.0,146.89,146.89,146.89,0.0,0.0,144.95,144.95,144.95,0.0,0.0,146.37,146.37,146.37,0.0,0.0
2018-11-18,139.59,139.59,139.59,0.0,0.0,140.71,140.71,140.71,0.0,0.0,139.59,139.59,139.59,0.0,0.0,139.74,139.74,139.74,0.0,0.0
2018-11-25,146.75,146.75,146.75,0.0,0.0,148.08,148.08,148.08,0.0,0.0,146.47,146.47,146.47,0.0,0.0,147.88,147.88,147.88,0.0,0.0
2018-12-02,144.85,144.85,144.85,0.0,0.0,145.58,145.58,145.58,0.0,0.0,140.68,140.68,140.68,0.0,0.0,141.13,141.13,141.13,0.0,0.0
2018-12-09,141.59,141.59,141.59,0.0,0.0,142.12,142.12,142.12,0.0,0.0,139.74,139.74,139.74,0.0,0.0,140.01,140.01,140.01,0.0,0.0
2018-12-16,133.14,133.14,133.14,0.0,0.0,134.5,134.5,134.5,0.0,0.0,129.0,129.0,129.0,0.0,0.0,129.41,129.41,129.41,0.0,0.0
2018-12-23,134.7,134.7,134.7,0.0,0.0,135.83,135.83,135.83,0.0,0.0,133.02,133.02,133.02,0.0,0.0,133.73,133.73,133.73,0.0,0.0
2018-12-30,133.41,133.41,133.41,0.0,0.0,136.53,136.53,136.53,0.0,0.0,133.1,133.1,133.1,0.0,0.0,136.14,136.14,136.14,0.0,0.0
2019-01-06,139.3,139.3,139.3,0.0,0.0,139.75,139.75,139.75,0.0,0.0,138.92,138.92,138.92,0.0,0.0,139.73,139.73,139.73,0.0,0.0
