Date,Global X Scientific Beta Asia ex Japan_Open_average,Global X Scientific Beta Asia ex Japan_Open_max,Global X Scientific Beta Asia ex Japan_Open_min,Global X Scientific Beta Asia ex Japan_Open_volatility,Global X Scientific Beta Asia ex Japan_Open_change,Global X Scientific Beta Asia ex Japan_High_average,Global X Scientific Beta Asia ex Japan_High_max,Global X Scientific Beta Asia ex Japan_High_min,Global X Scientific Beta Asia ex Japan_High_volatility,Global X Scientific Beta Asia ex Japan_High_change,Global X Scientific Beta Asia ex Japan_Low_average,Global X Scientific Beta Asia ex Japan_Low_max,Global X Scientific Beta Asia ex Japan_Low_min,Global X Scientific Beta Asia ex Japan_Low_volatility,Global X Scientific Beta Asia ex Japan_Low_change,Global X Scientific Beta Asia ex Japan_Close_average,Global X Scientific Beta Asia ex Japan_Close_max,Global X Scientific Beta Asia ex Japan_Close_min,Global X Scientific Beta Asia ex Japan_Close_volatility,Global X Scientific Beta Asia ex Japan_Close_change
2018-01-14,26.85,26.85,26.85,0.0,0.0,26.85,26.85,26.85,0.0,0.0,26.85,26.85,26.85,0.0,0.0,26.85,26.85,26.85,0.0,0.0
2018-01-21,27.08,27.08,27.08,0.0,0.0,27.08,27.08,27.08,0.0,0.0,27.08,27.08,27.08,0.0,0.0,27.08,27.08,27.08,0.0,0.0
2018-01-28,26.0,26.0,26.0,0.0,0.0,26.21,26.21,26.21,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.21,26.21,26.21,0.0,0.0
2018-02-04,25.29,25.29,25.29,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0
2018-02-11,25.15,25.15,25.15,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.15,25.15,25.15,0.0,0.0,25.43,25.43,25.43,0.0,0.0
2018-02-18,26.18,26.18,26.18,0.0,0.0,26.36,26.36,26.36,0.0,0.0,26.18,26.18,26.18,0.0,0.0,26.36,26.36,26.36,0.0,0.0
2018-02-25,25.65,25.65,25.65,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.65,25.65,25.65,0.0,0.0
2018-03-04,25.82,25.82,25.82,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.82,25.82,25.82,0.0,0.0
2018-03-11,26.23,26.23,26.23,0.0,0.0,26.23,26.23,26.23,0.0,0.0,26.23,26.23,26.23,0.0,0.0,26.23,26.23,26.23,0.0,0.0
2018-03-18,25.69,25.69,25.69,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.69,25.69,25.69,0.0,0.0
2018-03-25,25.75,25.75,25.75,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2018-04-01,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.98,25.98,25.98,0.0,0.0
2018-04-08,26.14,26.14,26.14,0.0,0.0,26.14,26.14,26.14,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0
2018-04-15,25.88,25.88,25.88,0.0,0.0,25.88,25.88,25.88,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.69,25.69,25.69,0.0,0.0
2018-04-22,25.95,25.95,25.95,0.0,0.0,25.96,25.96,25.96,0.0,0.0,25.95,25.95,25.95,0.0,0.0,25.95,25.95,25.95,0.0,0.0
2018-04-29,25.8,25.8,25.8,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.76,25.76,25.76,0.0,0.0
2018-05-06,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0
2018-05-13,25.8,25.8,25.8,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.8,25.8,25.8,0.0,0.0
