Date,LEU_Open_average,LEU_Open_max,LEU_Open_min,LEU_Open_volatility,LEU_Open_change,LEU_High_average,LEU_High_max,LEU_High_min,LEU_High_volatility,LEU_High_change,LEU_Low_average,LEU_Low_max,LEU_Low_min,LEU_Low_volatility,LEU_Low_change,LEU_Close_average,LEU_Close_max,LEU_Close_min,LEU_Close_volatility,LEU_Close_change,LEU_Volume_average,LEU_Volume_max,LEU_Volume_min,LEU_Volume_volatility,LEU_Volume_change
2018-01-14,3.714,3.76,3.66,0.09999999999999964,0.009999999999999787,3.754,3.82,3.67,0.1499999999999999,0.06999999999999984,3.69,3.76,3.65,0.10999999999999988,0.08999999999999986,3.726,3.82,3.67,0.1499999999999999,0.1499999999999999,3341,7726,702,7024,3970
2018-01-21,3.84,3.93,3.8,0.13000000000000034,0.010000000000000231,3.886,3.96,3.84,0.1200000000000001,-0.010000000000000231,3.792,3.87,3.68,0.18999999999999995,-0.11999999999999966,3.846,3.96,3.7,0.2599999999999998,-0.1499999999999999,1498,3789,495,3294,-609
2018-01-28,3.648,3.83,3.43,0.3999999999999999,-0.2799999999999998,3.7,3.87,3.47,0.3999999999999999,-0.23999999999999977,3.5276,3.67,3.32,0.3500000000000001,-0.3500000000000001,3.585,3.86,3.327,0.5329999999999999,-0.34299999999999997,3574,6919,1335,5584,5584
2018-02-04,3.578,3.77,3.35,0.41999999999999993,0.1299999999999999,3.788,4.08,3.6,0.48,-0.48,3.512,3.63,3.35,0.2799999999999998,0.1299999999999999,3.6284,3.7119999999999997,3.5,0.21199999999999974,-0.10000000000000009,913,2613,157,2456,-801
2018-02-11,3.6166666666666667,3.65,3.59,0.06000000000000005,0.040000000000000036,3.716666666666667,3.77,3.61,0.16000000000000014,0.16000000000000014,3.6066666666666665,3.65,3.58,0.06999999999999984,0.06999999999999984,3.7066666666666666,3.77,3.58,0.18999999999999995,0.18999999999999995,1144,2303,28,2275,-2275
2018-02-18,3.63,3.71,3.57,0.14000000000000012,0.050000000000000266,3.694,3.76,3.63,0.1299999999999999,0.07000000000000028,3.6182,3.7030000000000003,3.57,0.13300000000000045,0.050000000000000266,3.6742,3.71,3.628,0.08199999999999985,0.07000000000000028,491,1323,1,1322,628
2018-02-25,3.614,3.68,3.52,0.16000000000000014,-0.14000000000000012,3.656,3.74,3.55,0.1900000000000004,-0.15000000000000036,3.5566,3.6,3.52,0.08000000000000007,-0.04999999999999982,3.5866,3.73,3.52,0.20999999999999996,-0.04999999999999982,1725,5667,186,5481,4506
2018-03-04,3.614,3.7,3.52,0.18000000000000016,-0.050000000000000266,3.66,3.7,3.62,0.08000000000000007,0.020000000000000018,3.562,3.61,3.52,0.08999999999999986,0.04999999999999982,3.576,3.64,3.52,0.1200000000000001,0.1200000000000001,741,1541,102,1439,-328
2018-03-11,3.658,3.75,3.6,0.1499999999999999,0.009999999999999787,3.814,4.1,3.72,0.37999999999999945,0.03999999999999959,3.586,3.65,3.52,0.1299999999999999,-0.040000000000000036,3.698,3.76,3.6,0.1599999999999997,0.1599999999999997,10248,29466,950,28516,1559
2018-03-18,3.7960000000000003,3.91,3.66,0.25,-0.08000000000000007,3.88,3.93,3.79,0.14000000000000012,-0.14000000000000012,3.71,3.8,3.62,0.17999999999999972,0.040000000000000036,3.858,3.93,3.73,0.20000000000000018,-0.20000000000000018,1636,2804,847,1957,-1038
2018-03-25,3.6574999999999998,3.84,3.55,0.29000000000000004,-0.11000000000000032,3.6825,3.84,3.58,0.2599999999999998,-0.010000000000000231,3.5725,3.64,3.55,0.0900000000000003,-0.0900000000000003,3.61,3.65,3.55,0.10000000000000009,0.009999999999999787,5297,17579,215,17364,-1
2018-04-01,3.552,3.65,3.52,0.1299999999999999,-0.1299999999999999,3.6094,3.74,3.55,0.1900000000000004,-0.11300000000000043,3.52,3.52,3.52,0.0,0.0,3.5454,3.627,3.52,0.10699999999999976,0.09699999999999998,1972,3234,800,2434,-2434
2018-04-08,3.64,3.75,3.44,0.31000000000000005,-0.20000000000000018,3.712,3.76,3.64,0.11999999999999966,-0.07999999999999963,3.5502000000000002,3.7,3.431,0.26900000000000013,-0.20000000000000018,3.6124,3.76,3.431,0.32899999999999974,-0.25,3866,7426,1102,6324,4423
2018-04-15,3.732,4.04,3.5,0.54,0.5,3.874,4.1,3.6,0.49999999999999956,0.43999999999999995,3.692,4.01,3.48,0.5299999999999998,0.5299999999999998,3.798,4.01,3.48,0.5299999999999998,0.5299999999999998,7480,28626,501,28125,-3840
2018-04-22,3.848,4.0,3.8,0.20000000000000018,-0.18000000000000016,3.86,4.0,3.8,0.20000000000000018,-0.18000000000000016,3.774,3.88,3.63,0.25,-0.25,3.79,3.88,3.63,0.25,-0.25,787,1725,100,1625,1625
