Date,VanEck Vectors High-Yield Municipal_etf_Open_average,VanEck Vectors High-Yield Municipal_etf_Open_max,VanEck Vectors High-Yield Municipal_etf_Open_min,VanEck Vectors High-Yield Municipal_etf_Open_volatility,VanEck Vectors High-Yield Municipal_etf_Open_change,VanEck Vectors High-Yield Municipal_etf_High_average,VanEck Vectors High-Yield Municipal_etf_High_max,VanEck Vectors High-Yield Municipal_etf_High_min,VanEck Vectors High-Yield Municipal_etf_High_volatility,VanEck Vectors High-Yield Municipal_etf_High_change,VanEck Vectors High-Yield Municipal_etf_Low_average,VanEck Vectors High-Yield Municipal_etf_Low_max,VanEck Vectors High-Yield Municipal_etf_Low_min,VanEck Vectors High-Yield Municipal_etf_Low_volatility,VanEck Vectors High-Yield Municipal_etf_Low_change,VanEck Vectors High-Yield Municipal_etf_Close_average,VanEck Vectors High-Yield Municipal_etf_Close_max,VanEck Vectors High-Yield Municipal_etf_Close_min,VanEck Vectors High-Yield Municipal_etf_Close_volatility,VanEck Vectors High-Yield Municipal_etf_Close_change
2018-01-14,62.42,62.42,62.42,0.0,0.0,62.46,62.46,62.46,0.0,0.0,62.34,62.34,62.34,0.0,0.0,62.4,62.4,62.4,0.0,0.0
2018-01-21,62.62,62.62,62.62,0.0,0.0,62.66,62.66,62.66,0.0,0.0,62.52,62.52,62.52,0.0,0.0,62.6,62.6,62.6,0.0,0.0
2018-01-28,61.8,61.8,61.8,0.0,0.0,61.84,61.84,61.84,0.0,0.0,61.42,61.42,61.42,0.0,0.0,61.56,61.56,61.56,0.0,0.0
2018-02-04,61.82,61.82,61.82,0.0,0.0,61.91,61.91,61.91,0.0,0.0,61.68,61.68,61.68,0.0,0.0,61.8,61.8,61.8,0.0,0.0
2018-02-11,61.78,61.78,61.78,0.0,0.0,61.92,61.92,61.92,0.0,0.0,61.52,61.52,61.52,0.0,0.0,61.6,61.6,61.6,0.0,0.0
2018-02-18,61.68,61.68,61.68,0.0,0.0,61.78,61.78,61.78,0.0,0.0,61.64,61.64,61.64,0.0,0.0,61.78,61.78,61.78,0.0,0.0
2018-02-25,61.48,61.48,61.48,0.0,0.0,61.54,61.54,61.54,0.0,0.0,61.32,61.32,61.32,0.0,0.0,61.34,61.34,61.34,0.0,0.0
2018-03-04,61.4,61.4,61.4,0.0,0.0,61.58,61.58,61.58,0.0,0.0,61.2,61.2,61.2,0.0,0.0,61.28,61.28,61.28,0.0,0.0
2018-03-11,61.54,61.54,61.54,0.0,0.0,61.62,61.62,61.62,0.0,0.0,61.46,61.46,61.46,0.0,0.0,61.62,61.62,61.62,0.0,0.0
2018-03-18,61.72,61.72,61.72,0.0,0.0,61.78,61.78,61.78,0.0,0.0,61.62,61.62,61.62,0.0,0.0,61.78,61.78,61.78,0.0,0.0
