Date,MomentumShares U.S. Quantitative Momentum_Open_average,MomentumShares U.S. Quantitative Momentum_Open_max,MomentumShares U.S. Quantitative Momentum_Open_min,MomentumShares U.S. Quantitative Momentum_Open_volatility,MomentumShares U.S. Quantitative Momentum_Open_change,MomentumShares U.S. Quantitative Momentum_High_average,MomentumShares U.S. Quantitative Momentum_High_max,MomentumShares U.S. Quantitative Momentum_High_min,MomentumShares U.S. Quantitative Momentum_High_volatility,MomentumShares U.S. Quantitative Momentum_High_change,MomentumShares U.S. Quantitative Momentum_Low_average,MomentumShares U.S. Quantitative Momentum_Low_max,MomentumShares U.S. Quantitative Momentum_Low_min,MomentumShares U.S. Quantitative Momentum_Low_volatility,MomentumShares U.S. Quantitative Momentum_Low_change,MomentumShares U.S. Quantitative Momentum_Close_average,MomentumShares U.S. Quantitative Momentum_Close_max,MomentumShares U.S. Quantitative Momentum_Close_min,MomentumShares U.S. Quantitative Momentum_Close_volatility,MomentumShares U.S. Quantitative Momentum_Close_change
2018-01-14,30.8,30.8,30.8,0.0,0.0,30.97,30.97,30.97,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.97,30.97,30.97,0.0,0.0
2018-01-21,31.31,31.31,31.31,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2018-01-28,30.11,30.11,30.11,0.0,0.0,30.14,30.14,30.14,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.89,29.89,29.89,0.0,0.0
2018-02-04,27.7,27.7,27.7,0.0,0.0,27.91,27.91,27.91,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.9,27.9,27.9,0.0,0.0
2018-02-11,29.88,29.88,29.88,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.88,29.88,29.88,0.0,0.0
2018-02-18,29.76,29.76,29.76,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.76,29.76,29.76,0.0,0.0
2018-02-25,29.67,29.67,29.67,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.9,29.9,29.9,0.0,0.0
2018-03-04,31.12,31.12,31.12,0.0,0.0,31.12,31.12,31.12,0.0,0.0,31.12,31.12,31.12,0.0,0.0,31.12,31.12,31.12,0.0,0.0
2018-03-11,31.0,31.0,31.0,0.0,0.0,31.0,31.0,31.0,0.0,0.0,31.0,31.0,31.0,0.0,0.0,31.0,31.0,31.0,0.0,0.0
2018-03-18,29.98,29.98,29.98,0.0,0.0,29.98,29.98,29.98,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.78,29.78,29.78,0.0,0.0
2018-03-25,29.24,29.24,29.24,0.0,0.0,29.92,29.92,29.92,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.92,29.92,29.92,0.0,0.0
2018-04-01,29.22,29.22,29.22,0.0,0.0,29.3,29.3,29.3,0.0,0.0,28.88,28.88,28.88,0.0,0.0,29.04,29.04,29.04,0.0,0.0
2018-04-08,30.2,30.2,30.2,0.0,0.0,30.2,30.2,30.2,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.66,29.66,29.66,0.0,0.0
2018-04-15,29.9,29.9,29.9,0.0,0.0,29.92,29.92,29.92,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.83,29.83,29.83,0.0,0.0
2018-04-22,29.49,29.49,29.49,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.27,29.27,29.27,0.0,0.0
2018-04-29,29.38,29.38,29.38,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.38,29.38,29.38,0.0,0.0
2018-05-06,31.3,31.3,31.3,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.34,31.34,31.34,0.0,0.0
2018-05-13,31.36,31.36,31.36,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.47,31.47,31.47,0.0,0.0
2018-05-20,31.33,31.33,31.33,0.0,0.0,31.54,31.54,31.54,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.54,31.54,31.54,0.0,0.0
2018-05-27,31.52,31.52,31.52,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.88,31.88,31.88,0.0,0.0
2018-06-03,32.05,32.05,32.05,0.0,0.0,32.31,32.31,32.31,0.0,0.0,32.03,32.03,32.03,0.0,0.0,32.31,32.31,32.31,0.0,0.0
2018-06-10,32.64,32.64,32.64,0.0,0.0,32.64,32.64,32.64,0.0,0.0,32.64,32.64,32.64,0.0,0.0,32.64,32.64,32.64,0.0,0.0
2018-06-17,32.51,32.51,32.51,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.02,32.02,32.02,0.0,0.0,32.03,32.03,32.03,0.0,0.0
2018-06-24,30.96,30.96,30.96,0.0,0.0,31.01,31.01,31.01,0.0,0.0,30.69,30.69,30.69,0.0,0.0,30.69,30.69,30.69,0.0,0.0
2018-07-01,31.12,31.12,31.12,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.12,31.12,31.12,0.0,0.0,31.24,31.24,31.24,0.0,0.0
2018-07-08,31.68,31.68,31.68,0.0,0.0,31.71,31.71,31.71,0.0,0.0,31.54,31.54,31.54,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2018-07-15,32.29,32.29,32.29,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.21,32.21,32.21,0.0,0.0
2018-07-22,32.53,32.53,32.53,0.0,0.0,32.53,32.53,32.53,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.55,31.55,31.55,0.0,0.0
2018-07-29,31.49,31.49,31.49,0.0,0.0,31.54,31.54,31.54,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.39,31.39,31.39,0.0,0.0
2018-08-05,32.17,32.17,32.17,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.17,32.17,32.17,0.0,0.0,32.25,32.25,32.25,0.0,0.0
2018-08-12,31.55,31.55,31.55,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.85,31.85,31.85,0.0,0.0
2018-08-19,32.87,32.87,32.87,0.0,0.0,33.16,33.16,33.16,0.0,0.0,32.87,32.87,32.87,0.0,0.0,33.16,33.16,33.16,0.0,0.0
2018-08-26,33.63,33.63,33.63,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.63,33.63,33.63,0.0,0.0,33.88,33.88,33.88,0.0,0.0
2018-09-02,33.15,33.15,33.15,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.15,33.15,33.15,0.0,0.0,33.42,33.42,33.42,0.0,0.0
2018-09-09,34.19,34.19,34.19,0.0,0.0,34.24,34.24,34.24,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.17,34.17,34.17,0.0,0.0
2018-09-16,33.36,33.36,33.36,0.0,0.0,33.36,33.36,33.36,0.0,0.0,33.36,33.36,33.36,0.0,0.0,33.36,33.36,33.36,0.0,0.0
2018-09-23,33.99,33.99,33.99,0.0,0.0,34.23,34.23,34.23,0.0,0.0,33.99,33.99,33.99,0.0,0.0,34.0,34.0,34.0,0.0,0.0
2018-09-30,32.2,32.2,32.2,0.0,0.0,32.39,32.39,32.39,0.0,0.0,32.01,32.01,32.01,0.0,0.0,32.35,32.35,32.35,0.0,0.0
2018-10-07,29.94,29.94,29.94,0.0,0.0,30.1,30.1,30.1,0.0,0.0,29.61,29.61,29.61,0.0,0.0,29.91,29.91,29.91,0.0,0.0
2018-10-14,30.18,30.18,30.18,0.0,0.0,30.18,30.18,30.18,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2018-10-21,27.7,27.7,27.7,0.0,0.0,27.99,27.99,27.99,0.0,0.0,27.29,27.29,27.29,0.0,0.0,27.6,27.6,27.6,0.0,0.0
2018-10-28,29.32,29.32,29.32,0.0,0.0,29.33,29.33,29.33,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.77,28.77,28.77,0.0,0.0
2018-11-04,28.69,28.69,28.69,0.0,0.0,28.69,28.69,28.69,0.0,0.0,28.17,28.17,28.17,0.0,0.0,28.17,28.17,28.17,0.0,0.0
2018-11-11,27.51,27.51,27.51,0.0,0.0,27.55,27.55,27.55,0.0,0.0,27.26,27.26,27.26,0.0,0.0,27.49,27.49,27.49,0.0,0.0
2018-11-18,25.94,25.94,25.94,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.94,25.94,25.94,0.0,0.0
2018-11-25,27.24,27.24,27.24,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.53,27.53,27.53,0.0,0.0
2018-12-02,26.75,26.75,26.75,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.06,26.06,26.06,0.0,0.0,26.06,26.06,26.06,0.0,0.0
2018-12-09,26.4,26.4,26.4,0.0,0.0,26.44,26.44,26.44,0.0,0.0,25.98,25.98,25.98,0.0,0.0,26.03,26.03,26.03,0.0,0.0
2018-12-16,24.37,24.37,24.37,0.0,0.0,24.43,24.43,24.43,0.0,0.0,23.64,23.64,23.64,0.0,0.0,23.69,23.69,23.69,0.0,0.0
2018-12-23,25.1,25.1,25.1,0.0,0.0,25.36,25.36,25.36,0.0,0.0,24.81,24.81,24.81,0.0,0.0,25.04,25.04,25.04,0.0,0.0
2018-12-30,25.02,25.02,25.02,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.02,25.02,25.02,0.0,0.0,25.44,25.44,25.44,0.0,0.0
2019-01-06,26.41,26.41,26.41,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.26,26.26,26.26,0.0,0.0,26.26,26.26,26.26,0.0,0.0
2019-01-13,27.39,27.39,27.39,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.6,27.6,27.6,0.0,0.0
2019-01-20,27.71,27.71,27.71,0.0,0.0,27.86,27.86,27.86,0.0,0.0,27.71,27.71,27.71,0.0,0.0,27.85,27.85,27.85,0.0,0.0
2019-01-27,28.36,28.36,28.36,0.0,0.0,28.36,28.36,28.36,0.0,0.0,28.09,28.09,28.09,0.0,0.0,28.28,28.28,28.28,0.0,0.0
2019-02-03,28.49,28.49,28.49,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.49,28.49,28.49,0.0,0.0,28.77,28.77,28.77,0.0,0.0
2019-02-10,29.43,29.43,29.43,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.45,29.45,29.45,0.0,0.0
2019-02-17,29.5,29.5,29.5,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.47,29.47,29.47,0.0,0.0,29.66,29.66,29.66,0.0,0.0
2019-02-24,29.38,29.38,29.38,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.18,29.18,29.18,0.0,0.0,29.58,29.58,29.58,0.0,0.0
2019-03-03,28.02,28.02,28.02,0.0,0.0,28.23,28.23,28.23,0.0,0.0,28.02,28.02,28.02,0.0,0.0,28.23,28.23,28.23,0.0,0.0
2019-03-10,29.41,29.41,29.41,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.43,29.43,29.43,0.0,0.0
2019-03-17,29.07,29.07,29.07,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.07,29.07,29.07,0.0,0.0
