Date,ProShares Ultra MSCI Emerging Markets_Open_average,ProShares Ultra MSCI Emerging Markets_Open_max,ProShares Ultra MSCI Emerging Markets_Open_min,ProShares Ultra MSCI Emerging Markets_Open_volatility,ProShares Ultra MSCI Emerging Markets_Open_change,ProShares Ultra MSCI Emerging Markets_High_average,ProShares Ultra MSCI Emerging Markets_High_max,ProShares Ultra MSCI Emerging Markets_High_min,ProShares Ultra MSCI Emerging Markets_High_volatility,ProShares Ultra MSCI Emerging Markets_High_change,ProShares Ultra MSCI Emerging Markets_Low_average,ProShares Ultra MSCI Emerging Markets_Low_max,ProShares Ultra MSCI Emerging Markets_Low_min,ProShares Ultra MSCI Emerging Markets_Low_volatility,ProShares Ultra MSCI Emerging Markets_Low_change,ProShares Ultra MSCI Emerging Markets_Close_average,ProShares Ultra MSCI Emerging Markets_Close_max,ProShares Ultra MSCI Emerging Markets_Close_min,ProShares Ultra MSCI Emerging Markets_Close_volatility,ProShares Ultra MSCI Emerging Markets_Close_change
2018-01-14,107.25,107.25,107.25,0.0,0.0,108.66,108.66,108.66,0.0,0.0,106.87,106.87,106.87,0.0,0.0,108.66,108.66,108.66,0.0,0.0
2018-01-21,111.59,111.59,111.59,0.0,0.0,111.75,111.75,111.75,0.0,0.0,110.67,110.67,110.67,0.0,0.0,110.77,110.77,110.77,0.0,0.0
2018-01-28,101.1,101.1,101.1,0.0,0.0,102.95,102.95,102.95,0.0,0.0,93.95,93.95,93.95,0.0,0.0,94.54,94.54,94.54,0.0,0.0
2018-02-04,92.73,92.73,92.73,0.0,0.0,94.34,94.34,94.34,0.0,0.0,91.25,91.25,91.25,0.0,0.0,93.27,93.27,93.27,0.0,0.0
2018-02-11,101.72,101.72,101.72,0.0,0.0,104.14,104.14,104.14,0.0,0.0,101.72,101.72,101.72,0.0,0.0,102.73,102.73,102.73,0.0,0.0
2018-02-18,103.43,103.43,103.43,0.0,0.0,104.76,104.76,104.76,0.0,0.0,102.6,102.6,102.6,0.0,0.0,104.72,104.72,104.72,0.0,0.0
2018-02-25,94.31,94.31,94.31,0.0,0.0,96.97,96.97,96.97,0.0,0.0,94.1,94.1,94.1,0.0,0.0,96.63,96.63,96.63,0.0,0.0
2018-03-04,103.28,103.28,103.28,0.0,0.0,103.75,103.75,103.75,0.0,0.0,102.95,102.95,102.95,0.0,0.0,103.52,103.52,103.52,0.0,0.0
2018-03-11,99.53,99.53,99.53,0.0,0.0,99.59,99.59,99.59,0.0,0.0,97.56,97.56,97.56,0.0,0.0,98.51,98.51,98.51,0.0,0.0
2018-03-18,95.86,95.86,95.86,0.0,0.0,97.39,97.39,97.39,0.0,0.0,94.49,94.49,94.49,0.0,0.0,96.88,96.88,96.88,0.0,0.0
2018-03-25,94.91,94.91,94.91,0.0,0.0,94.91,94.91,94.91,0.0,0.0,91.29,91.29,91.29,0.0,0.0,92.73,92.73,92.73,0.0,0.0
2018-04-01,92.79,92.79,92.79,0.0,0.0,93.46,93.46,93.46,0.0,0.0,92.38,92.38,92.38,0.0,0.0,93.13,93.13,93.13,0.0,0.0
2018-04-08,93.22,93.22,93.22,0.0,0.0,93.61,93.61,93.61,0.0,0.0,92.46,92.46,92.46,0.0,0.0,93.33,93.33,93.33,0.0,0.0
2018-04-15,91.58,91.58,91.58,0.0,0.0,92.06,92.06,92.06,0.0,0.0,90.44,90.44,90.44,0.0,0.0,90.69,90.69,90.69,0.0,0.0
2018-04-22,92.76,92.76,92.76,0.0,0.0,92.76,92.76,92.76,0.0,0.0,90.79,90.79,90.79,0.0,0.0,90.87,90.87,90.87,0.0,0.0
2018-04-29,87.13,87.13,87.13,0.0,0.0,88.26,88.26,88.26,0.0,0.0,87.07,87.07,87.07,0.0,0.0,87.51,87.51,87.51,0.0,0.0
2018-05-06,93.09,93.09,93.09,0.0,0.0,93.7,93.7,93.7,0.0,0.0,92.45,92.45,92.45,0.0,0.0,92.45,92.45,92.45,0.0,0.0
2018-05-13,88.34,88.34,88.34,0.0,0.0,88.82,88.82,88.82,0.0,0.0,87.38,87.38,87.38,0.0,0.0,87.89,87.89,87.89,0.0,0.0
2018-05-20,87.63,87.63,87.63,0.0,0.0,88.5,88.5,88.5,0.0,0.0,87.63,87.63,87.63,0.0,0.0,87.8,87.8,87.8,0.0,0.0
2018-05-27,89.25,89.25,89.25,0.0,0.0,89.95,89.95,89.95,0.0,0.0,89.23,89.23,89.23,0.0,0.0,89.95,89.95,89.95,0.0,0.0
2018-06-03,87.94,87.94,87.94,0.0,0.0,88.16,88.16,88.16,0.0,0.0,87.39,87.39,87.39,0.0,0.0,87.47,87.47,87.47,0.0,0.0
2018-06-10,80.66,80.66,80.66,0.0,0.0,81.59,81.59,81.59,0.0,0.0,80.53,80.53,80.53,0.0,0.0,81.59,81.59,81.59,0.0,0.0
2018-06-17,78.02,78.02,78.02,0.0,0.0,78.02,78.02,78.02,0.0,0.0,76.33,76.33,76.33,0.0,0.0,77.5,77.5,77.5,0.0,0.0
2018-06-24,75.18,75.18,75.18,0.0,0.0,75.98,75.98,75.98,0.0,0.0,74.61,74.61,74.61,0.0,0.0,75.95,75.95,75.95,0.0,0.0
2018-07-01,79.78,79.78,79.78,0.0,0.0,80.41,80.41,80.41,0.0,0.0,79.17,79.17,79.17,0.0,0.0,80.41,80.41,80.41,0.0,0.0
2018-07-08,78.52,78.52,78.52,0.0,0.0,78.52,78.52,78.52,0.0,0.0,77.98,77.98,77.98,0.0,0.0,78.37,78.37,78.37,0.0,0.0
2018-07-15,78.61,78.61,78.61,0.0,0.0,78.61,78.61,78.61,0.0,0.0,77.77,77.77,77.77,0.0,0.0,78.15,78.15,78.15,0.0,0.0
2018-07-22,82.42,82.42,82.42,0.0,0.0,82.42,82.42,82.42,0.0,0.0,81.5,81.5,81.5,0.0,0.0,81.5,81.5,81.5,0.0,0.0
2018-07-29,79.06,79.06,79.06,0.0,0.0,79.43,79.43,79.43,0.0,0.0,78.83,78.83,78.83,0.0,0.0,78.89,78.89,78.89,0.0,0.0
2018-08-05,74.99,74.99,74.99,0.0,0.0,75.17,75.17,75.17,0.0,0.0,73.95,73.95,73.95,0.0,0.0,73.96,73.96,73.96,0.0,0.0
2018-08-12,73.22,73.22,73.22,0.0,0.0,73.54,73.54,73.54,0.0,0.0,72.78,72.78,72.78,0.0,0.0,73.28,73.28,73.28,0.0,0.0
2018-08-19,78.09,78.09,78.09,0.0,0.0,79.47,79.47,79.47,0.0,0.0,78.09,78.09,78.09,0.0,0.0,79.12,79.12,79.12,0.0,0.0
2018-08-26,74.82,74.82,74.82,0.0,0.0,76.28,76.28,76.28,0.0,0.0,74.82,74.82,74.82,0.0,0.0,76.28,76.28,76.28,0.0,0.0
2018-09-02,70.28,70.28,70.28,0.0,0.0,70.48,70.48,70.48,0.0,0.0,68.83,68.83,68.83,0.0,0.0,69.09,69.09,69.09,0.0,0.0
2018-09-09,70.36,70.36,70.36,0.0,0.0,70.87,70.87,70.87,0.0,0.0,70.15,70.15,70.15,0.0,0.0,70.17,70.17,70.17,0.0,0.0
2018-09-16,74.1,74.1,74.1,0.0,0.0,74.1,74.1,74.1,0.0,0.0,74.1,74.1,74.1,0.0,0.0,74.1,74.1,74.1,0.0,0.0
2018-09-23,75.39,75.39,75.39,0.0,0.0,75.39,75.39,75.39,0.0,0.0,74.41,74.41,74.41,0.0,0.0,74.87,74.87,74.87,0.0,0.0
2018-09-30,66.68,66.68,66.68,0.0,0.0,67.88,67.88,67.88,0.0,0.0,66.5,66.5,66.5,0.0,0.0,67.88,67.88,67.88,0.0,0.0
2018-10-07,64.63,64.63,64.63,0.0,0.0,64.72,64.72,64.72,0.0,0.0,64.29,64.29,64.29,0.0,0.0,64.56,64.56,64.56,0.0,0.0
2018-10-14,65.57,65.57,65.57,0.0,0.0,65.57,65.57,65.57,0.0,0.0,64.58,64.58,64.58,0.0,0.0,64.96,64.96,64.96,0.0,0.0
2018-10-21,60.52,60.52,60.52,0.0,0.0,60.52,60.52,60.52,0.0,0.0,57.3,57.3,57.3,0.0,0.0,57.3,57.3,57.3,0.0,0.0
2018-10-28,66.66,66.66,66.66,0.0,0.0,67.28,67.28,67.28,0.0,0.0,66.66,66.66,66.66,0.0,0.0,67.24,67.24,67.24,0.0,0.0
2018-11-04,62.93,62.93,62.93,0.0,0.0,62.93,62.93,62.93,0.0,0.0,61.39,61.39,61.39,0.0,0.0,61.79,61.79,61.79,0.0,0.0
