Date,Guggenheim S&P Spin-Off_Open_average,Guggenheim S&P Spin-Off_Open_max,Guggenheim S&P Spin-Off_Open_min,Guggenheim S&P Spin-Off_Open_volatility,Guggenheim S&P Spin-Off_Open_change,Guggenheim S&P Spin-Off_High_average,Guggenheim S&P Spin-Off_High_max,Guggenheim S&P Spin-Off_High_min,Guggenheim S&P Spin-Off_High_volatility,Guggenheim S&P Spin-Off_High_change,Guggenheim S&P Spin-Off_Low_average,Guggenheim S&P Spin-Off_Low_max,Guggenheim S&P Spin-Off_Low_min,Guggenheim S&P Spin-Off_Low_volatility,Guggenheim S&P Spin-Off_Low_change,Guggenheim S&P Spin-Off_Close_average,Guggenheim S&P Spin-Off_Close_max,Guggenheim S&P Spin-Off_Close_min,Guggenheim S&P Spin-Off_Close_volatility,Guggenheim S&P Spin-Off_Close_change
2018-01-14,55.31,55.31,55.31,0.0,0.0,55.73,55.73,55.73,0.0,0.0,55.2,55.2,55.2,0.0,0.0,55.7,55.7,55.7,0.0,0.0
2018-01-21,56.15,56.15,56.15,0.0,0.0,56.39,56.39,56.39,0.0,0.0,56.01,56.01,56.01,0.0,0.0,56.01,56.01,56.01,0.0,0.0
2018-01-28,54.01,54.01,54.01,0.0,0.0,54.4,54.4,54.4,0.0,0.0,52.51,52.51,52.51,0.0,0.0,52.52,52.52,52.52,0.0,0.0
2018-02-04,51.76,51.76,51.76,0.0,0.0,52.69,52.69,52.69,0.0,0.0,51.6,51.6,51.6,0.0,0.0,52.46,52.46,52.46,0.0,0.0
2018-02-11,53.39,53.39,53.39,0.0,0.0,53.73,53.73,53.73,0.0,0.0,53.21,53.21,53.21,0.0,0.0,53.58,53.58,53.58,0.0,0.0
2018-02-18,54.73,54.73,54.73,0.0,0.0,54.73,54.73,54.73,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.7,54.7,54.7,0.0,0.0
2018-02-25,53.13,53.13,53.13,0.0,0.0,53.9,53.9,53.9,0.0,0.0,53.13,53.13,53.13,0.0,0.0,53.9,53.9,53.9,0.0,0.0
2018-03-04,55.99,55.99,55.99,0.0,0.0,56.03,56.03,56.03,0.0,0.0,55.66,55.66,55.66,0.0,0.0,55.7,55.7,55.7,0.0,0.0
2018-03-11,54.71,54.71,54.71,0.0,0.0,54.71,54.71,54.71,0.0,0.0,54.05,54.05,54.05,0.0,0.0,54.26,54.26,54.26,0.0,0.0
2018-03-18,52.88,52.88,52.88,0.0,0.0,53.1,53.1,53.1,0.0,0.0,52.45,52.45,52.45,0.0,0.0,53.0,53.0,53.0,0.0,0.0
2018-03-25,52.59,52.59,52.59,0.0,0.0,52.59,52.59,52.59,0.0,0.0,51.8,51.8,51.8,0.0,0.0,52.22,52.22,52.22,0.0,0.0
2018-04-01,53.2,53.2,53.2,0.0,0.0,53.22,53.22,53.22,0.0,0.0,52.9,52.9,52.9,0.0,0.0,53.0,53.0,53.0,0.0,0.0
