Date,COST_Open_average,COST_Open_max,COST_Open_volatility,COST_Open_change,COST_High_average,COST_High_max,COST_High_volatility,COST_High_change,COST_Low_average,COST_Low_max,COST_Low_volatility,COST_Low_change,COST_Close_average,COST_Close_max,COST_Close_volatility,COST_Close_change,COST_Volume_average,COST_Volume_max,COST_Volume_volatility,COST_Volume_change
2016-01-03,156.79500000000002,160.17,7.869999999999976,-7.509999999999991,158.24166666666667,161.23,5.929999999999978,-4.139999999999986,155.405,159.45,7.639999999999986,-5.75,156.595,159.93,7.819999999999993,-4.819999999999993,2658146,3826032,1792618,-476008
2016-01-10,153.23250000000002,155.97,6.680000000000007,-6.420000000000016,154.5325,156.43,4.909999999999997,-4.909999999999997,151.6,154.94,6.689999999999998,-6.689999999999998,152.9375,156.06,5.670000000000016,-5.670000000000016,2407483,2975372,817871,759791
2016-01-17,151.094,154.07,5.609999999999985,2.280000000000001,152.286,154.48,4.47999999999999,2.4799999999999898,148.96,151.65,6.740000000000009,0.9699999999999989,150.828,153.69,4.8700000000000045,0.3100000000000023,2523305,3796826,1976203,-421945
2016-01-24,149.792,150.84,2.289999999999992,0.060000000000002274,151.018,152.19,2.5999999999999943,0.46999999999999886,147.986,150.19,3.469999999999999,1.8899999999999864,149.638,151.25,3.5200000000000102,2.75,2491539,3221346,1145095,-686526
2016-01-31,146.056,149.99,7.25,-7.25,147.732,150.79,5.650000000000006,-3.2399999999999807,143.874,148.11,6.490000000000009,-6.490000000000009,145.898,148.5,5.219999999999999,-1.4799999999999898,3536068,5340490,3409063,1850616
2016-02-07,147.68,149.37,3.1299999999999955,1.7399999999999807,149.3875,150.17,1.7800000000000011,-0.44999999999998863,146.39249999999998,147.58,2.8200000000000216,0.7700000000000102,147.8225,148.65,2.0,0.710000000000008,2391953,3228334,1276508,-1276508
2016-02-14,149.37199999999999,149.75,0.75,0.28000000000000114,150.356,151.98,2.8400000000000034,-0.45999999999997954,147.754,148.91,2.0900000000000034,0.7900000000000205,149.486,150.91,2.259999999999991,0.9499999999999886,2377661,2894302,733027,-25148
2016-02-21,151.22,154.69,5.060000000000002,0.10000000000002274,152.73166666666665,154.88,5.25,0.5400000000000205,149.95333333333332,152.86,4.100000000000023,0.5699999999999932,151.38166666666666,154.72,5.090000000000003,-0.3300000000000125,2751578,3800789,2053900,1272901
2016-02-28,150.358,151.74,3.180000000000007,-0.4399999999999977,151.754,152.95,2.0600000000000023,-0.3100000000000023,148.956,150.39,3.009999999999991,-1.7800000000000011,150.796,152.79,4.6200000000000045,-2.3500000000000227,3300585,5552633,3397061,484339
2016-03-06,151.666,153.85,6.189999999999998,4.599999999999994,153.482,154.69,2.7700000000000102,1.3800000000000239,150.502,151.65,4.550000000000011,4.550000000000011,152.45,153.05,2.1000000000000227,1.7199999999999989,2002653,3156267,1937860,-1937860
2016-03-13,153.344,154.58,2.780000000000001,1.0199999999999818,154.642,155.0,0.6500000000000057,-0.06999999999999318,152.65200000000002,153.59,1.789999999999992,0.6699999999999875,153.834,154.18,1.0300000000000011,-0.2400000000000091,1889423,3611696,2244320,-31660
2016-03-20,152.60750000000002,153.24,1.4399999999999977,-1.4099999999999966,153.94,154.08,0.27000000000001023,0.12999999999999545,151.5675,152.0,1.1500000000000057,-0.21999999999999886,152.45999999999998,153.51,2.079999999999984,0.4399999999999977,2086073,2506494,739072,-175688
2016-03-27,156.638,158.68,5.909999999999997,5.909999999999997,158.316,159.8,4.340000000000003,3.530000000000001,155.83,157.52,5.0,3.9399999999999977,157.284,158.25,2.990000000000009,2.469999999999999,1996310,2692398,1233661,-197211
2016-04-03,154.488,157.89,6.549999999999983,-6.549999999999983,154.982,158.0,6.060000000000002,-6.060000000000002,152.462,155.72,6.75,-6.75,153.098,156.77,7.719999999999999,-6.939999999999998,2353156,4050063,2477440,423384
2016-04-10,151.7,152.78,3.180000000000007,3.180000000000007,152.638,153.81,3.1299999999999955,3.030000000000001,150.87,152.27,3.7600000000000193,3.7600000000000193,152.054,153.3,2.780000000000001,2.780000000000001,2155892,2675923,1340161,-932785
2016-04-17,152.204,153.78,3.8000000000000114,-3.8000000000000114,152.804,153.9,2.219999999999999,-2.219999999999999,150.922,152.6,3.2399999999999807,-3.0200000000000102,151.85399999999998,153.68,3.7600000000000193,-2.170000000000016,1693653,2233857,984863,-330024
2016-04-24,151.02,152.24,3.480000000000018,-3.3200000000000216,152.402,153.65,2.670000000000016,-2.030000000000001,149.724,151.67,4.2099999999999795,-3.9199999999999875,150.974,152.6,4.469999999999999,-1.6699999999999875,2438876,3588825,2096005,1808587
2016-05-01,148.614,150.12,3.289999999999992,-3.25,150.276,152.53,5.030000000000001,-3.5600000000000023,147.332,149.6,4.859999999999985,-3.0900000000000034,149.158,151.51,5.069999999999993,-2.819999999999993,3143650,4869255,2757677,642620
2016-05-08,147.184,149.38,4.8799999999999955,-4.8799999999999955,147.948,149.98,3.3999999999999773,-3.3999999999999773,145.87,148.75,5.349999999999994,-5.349999999999994,146.738,149.56,5.060000000000002,-3.7700000000000102,2645145,2993616,1049715,671056
