Date,UTSI_Open_average,UTSI_Open_max,UTSI_Open_min,UTSI_Open_volatility,UTSI_Open_change,UTSI_High_average,UTSI_High_max,UTSI_High_min,UTSI_High_volatility,UTSI_High_change,UTSI_Low_average,UTSI_Low_max,UTSI_Low_min,UTSI_Low_volatility,UTSI_Low_change,UTSI_Close_average,UTSI_Close_max,UTSI_Close_min,UTSI_Close_volatility,UTSI_Close_change,UTSI_Volume_average,UTSI_Volume_max,UTSI_Volume_min,UTSI_Volume_volatility,UTSI_Volume_change
2018-01-14,6.012,6.08,5.93,0.15000000000000036,-0.08999999999999986,6.0752,6.11,5.995,0.11500000000000021,-0.11500000000000021,5.8242,5.941,5.65,0.2909999999999995,-0.11000000000000032,5.994,6.06,5.91,0.14999999999999947,-0.05999999999999961,116689,165965,47860,118105,-41000
2018-01-21,5.952,6.09,5.85,0.2400000000000002,0.010000000000000675,6.071,6.24,5.97,0.27000000000000046,-0.009999999999999787,5.8382,5.91,5.72,0.1900000000000004,0.1200000000000001,5.984,6.05,5.93,0.1200000000000001,-0.08000000000000007,118336,196325,59895,136430,-96177
2018-01-28,5.84,5.9,5.75,0.15000000000000036,-0.019999999999999574,5.9204,6.07,5.76,0.3100000000000005,-0.16999999999999993,5.6986,5.872999999999999,5.36,0.512999999999999,-0.35999999999999943,5.81,5.97,5.48,0.4899999999999993,-0.40999999999999925,87177,162714,49515,113199,69114
2018-02-04,5.236,5.36,5.05,0.3100000000000005,-0.11000000000000032,5.4528,5.57,5.21,0.3600000000000003,0.020000000000000462,5.1672,5.25,5.006,0.24399999999999977,0.0,5.274,5.42,5.14,0.28000000000000025,0.05999999999999961,157378,251431,79803,171628,-109447
2018-02-11,5.4825,5.58,5.41,0.16999999999999993,0.16999999999999993,5.58,5.63,5.5,0.1299999999999999,0.08999999999999986,5.421250000000001,5.47,5.36,0.10999999999999943,0.10999999999999943,5.5024999999999995,5.59,5.47,0.1200000000000001,0.010000000000000675,56729,89660,37243,52417,1791
2018-02-18,5.544,5.64,5.48,0.15999999999999925,0.15999999999999925,5.6248,5.709,5.58,0.12899999999999956,0.02999999999999936,5.4542,5.47,5.421,0.04899999999999949,0.04899999999999949,5.558,5.65,5.48,0.16999999999999993,0.019999999999999574,51791,90912,35481,55431,51535
2018-02-25,5.564,5.7,5.5,0.20000000000000018,0.0,5.658,5.7,5.58,0.1200000000000001,-0.03000000000000025,5.4802,5.54,5.441,0.0990000000000002,0.0990000000000002,5.596,5.7,5.51,0.1900000000000004,-0.07000000000000028,41435,53500,24643,28857,20054
2018-03-04,5.656,5.81,5.5,0.3099999999999996,-0.13999999999999968,5.7306,5.94,5.54,0.40000000000000036,-0.1900000000000004,5.492,5.77,5.16,0.6099999999999994,-0.29000000000000004,5.584,5.89,5.25,0.6399999999999997,-0.40000000000000036,178061,384861,40096,344765,148609
2018-03-11,5.366,5.43,5.3,0.1299999999999999,0.08000000000000007,5.456,5.49,5.42,0.07000000000000028,0.0,5.3062,5.33,5.271,0.05900000000000016,0.019999999999999574,5.382,5.43,5.32,0.10999999999999943,-0.10999999999999943,113095,159197,85924,73273,73273
2018-03-18,5.268,5.36,5.12,0.2400000000000002,-0.21999999999999975,5.298,5.41,5.12,0.29000000000000004,-0.2699999999999996,5.126,5.32,4.91,0.41000000000000014,-0.3899999999999997,5.212,5.35,4.99,0.35999999999999943,-0.35999999999999943,103790,179630,58656,120974,95893
2018-03-25,4.9625,5.08,4.81,0.27000000000000046,-0.10000000000000053,5.0675,5.15,4.99,0.16000000000000014,-0.16000000000000014,4.84375,5.0,4.66,0.33999999999999986,-0.07000000000000028,4.9425,5.07,4.79,0.28000000000000025,-0.08000000000000007,64372,100364,44336,56028,21415
2018-04-01,4.896,5.0,4.84,0.16000000000000014,-0.16000000000000014,4.91,5.0,4.84,0.16000000000000014,-0.16000000000000014,4.7742,4.86,4.7010000000000005,0.1589999999999998,-0.1589999999999998,4.856,4.92,4.78,0.13999999999999968,-0.13999999999999968,49597,72375,23746,48629,-18167
2018-04-08,4.84,4.99,4.76,0.23000000000000043,0.22000000000000064,4.964,5.16,4.87,0.29000000000000004,0.29000000000000004,4.798,4.93,4.74,0.1899999999999995,0.17999999999999972,4.894,5.07,4.78,0.29000000000000004,0.29000000000000004,50021,104934,18271,86663,76775
2018-04-15,5.042,5.09,4.99,0.09999999999999964,-0.0699999999999994,5.108,5.16,5.03,0.1299999999999999,-0.10999999999999943,4.9722,5.02,4.94,0.07999999999999918,0.009999999999999787,5.028,5.1,4.95,0.14999999999999947,-0.04999999999999982,20273,36017,14857,21160,-4219
