Date,First Trust Australia AlphaDEX_Open_average,First Trust Australia AlphaDEX_Open_max,First Trust Australia AlphaDEX_Open_min,First Trust Australia AlphaDEX_Open_volatility,First Trust Australia AlphaDEX_Open_change,First Trust Australia AlphaDEX_High_average,First Trust Australia AlphaDEX_High_max,First Trust Australia AlphaDEX_High_min,First Trust Australia AlphaDEX_High_volatility,First Trust Australia AlphaDEX_High_change,First Trust Australia AlphaDEX_Low_average,First Trust Australia AlphaDEX_Low_max,First Trust Australia AlphaDEX_Low_min,First Trust Australia AlphaDEX_Low_volatility,First Trust Australia AlphaDEX_Low_change,First Trust Australia AlphaDEX_Close_average,First Trust Australia AlphaDEX_Close_max,First Trust Australia AlphaDEX_Close_min,First Trust Australia AlphaDEX_Close_volatility,First Trust Australia AlphaDEX_Close_change
2018-01-14,34.25,34.25,34.25,0.0,0.0,34.27,34.27,34.27,0.0,0.0,34.24,34.24,34.24,0.0,0.0,34.24,34.24,34.24,0.0,0.0
2018-01-21,32.95,32.95,32.95,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.95,32.95,32.95,0.0,0.0
2018-01-28,33.53,33.53,33.53,0.0,0.0,33.57,33.57,33.57,0.0,0.0,33.53,33.53,33.53,0.0,0.0,33.57,33.57,33.57,0.0,0.0
2018-02-04,32.97,32.97,32.97,0.0,0.0,32.97,32.97,32.97,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.85,32.85,32.85,0.0,0.0
2018-02-11,32.64,32.64,32.64,0.0,0.0,32.86,32.86,32.86,0.0,0.0,32.64,32.64,32.64,0.0,0.0,32.83,32.83,32.83,0.0,0.0
2018-02-18,33.15,33.15,33.15,0.0,0.0,33.15,33.15,33.15,0.0,0.0,33.15,33.15,33.15,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2018-02-25,33.02,33.02,33.02,0.0,0.0,33.02,33.02,33.02,0.0,0.0,33.02,33.02,33.02,0.0,0.0,33.02,33.02,33.02,0.0,0.0
2018-03-04,32.69,32.69,32.69,0.0,0.0,32.69,32.69,32.69,0.0,0.0,32.69,32.69,32.69,0.0,0.0,32.69,32.69,32.69,0.0,0.0
2018-03-11,31.68,31.68,31.68,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.68,31.68,31.68,0.0,0.0
2018-03-18,31.12,31.12,31.12,0.0,0.0,31.12,31.12,31.12,0.0,0.0,31.02,31.02,31.02,0.0,0.0,31.02,31.02,31.02,0.0,0.0
2018-03-25,31.6,31.6,31.6,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.6,31.6,31.6,0.0,0.0
2018-04-01,32.43,32.43,32.43,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.43,32.43,32.43,0.0,0.0
2018-04-08,33.32,33.32,33.32,0.0,0.0,33.32,33.32,33.32,0.0,0.0,33.32,33.32,33.32,0.0,0.0,33.32,33.32,33.32,0.0,0.0
2018-04-15,33.19,33.19,33.19,0.0,0.0,33.19,33.19,33.19,0.0,0.0,33.19,33.19,33.19,0.0,0.0,33.19,33.19,33.19,0.0,0.0
2018-04-22,32.82,32.82,32.82,0.0,0.0,32.82,32.82,32.82,0.0,0.0,32.82,32.82,32.82,0.0,0.0,32.82,32.82,32.82,0.0,0.0
2018-04-29,33.0,33.0,33.0,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.0,33.0,33.0,0.0,0.0
2018-05-06,33.01,33.01,33.01,0.0,0.0,33.01,33.01,33.01,0.0,0.0,32.69,32.69,32.69,0.0,0.0,32.69,32.69,32.69,0.0,0.0
2018-05-13,32.94,32.94,32.94,0.0,0.0,32.94,32.94,32.94,0.0,0.0,32.94,32.94,32.94,0.0,0.0,32.94,32.94,32.94,0.0,0.0
2018-05-20,33.32,33.32,33.32,0.0,0.0,33.32,33.32,33.32,0.0,0.0,33.32,33.32,33.32,0.0,0.0,33.32,33.32,33.32,0.0,0.0
2018-05-27,33.33,33.33,33.33,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.33,33.33,33.33,0.0,0.0
2018-06-03,33.44,33.44,33.44,0.0,0.0,33.44,33.44,33.44,0.0,0.0,33.44,33.44,33.44,0.0,0.0,33.44,33.44,33.44,0.0,0.0
2018-06-10,32.82,32.82,32.82,0.0,0.0,32.82,32.82,32.82,0.0,0.0,32.82,32.82,32.82,0.0,0.0,32.82,32.82,32.82,0.0,0.0
2018-06-17,32.99,32.99,32.99,0.0,0.0,32.99,32.99,32.99,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.54,32.54,32.54,0.0,0.0
2018-06-24,32.42,32.42,32.42,0.0,0.0,32.42,32.42,32.42,0.0,0.0,32.42,32.42,32.42,0.0,0.0,32.42,32.42,32.42,0.0,0.0
2018-07-01,32.35,32.35,32.35,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.35,32.35,32.35,0.0,0.0
2018-07-08,32.55,32.55,32.55,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.57,32.57,32.57,0.0,0.0
2018-07-15,33.12,33.12,33.12,0.0,0.0,33.13,33.13,33.13,0.0,0.0,33.12,33.12,33.12,0.0,0.0,33.13,33.13,33.13,0.0,0.0
2018-07-22,32.36,32.36,32.36,0.0,0.0,32.36,32.36,32.36,0.0,0.0,32.36,32.36,32.36,0.0,0.0,32.36,32.36,32.36,0.0,0.0
2018-07-29,32.76,32.76,32.76,0.0,0.0,32.76,32.76,32.76,0.0,0.0,32.76,32.76,32.76,0.0,0.0,32.76,32.76,32.76,0.0,0.0
2018-08-05,33.13,33.13,33.13,0.0,0.0,33.13,33.13,33.13,0.0,0.0,33.13,33.13,33.13,0.0,0.0,33.13,33.13,33.13,0.0,0.0
2018-08-12,31.53,31.53,31.53,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.53,31.53,31.53,0.0,0.0
2018-08-19,32.55,32.55,32.55,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.55,32.55,32.55,0.0,0.0
2018-08-26,32.17,32.17,32.17,0.0,0.0,32.17,32.17,32.17,0.0,0.0,32.17,32.17,32.17,0.0,0.0,32.17,32.17,32.17,0.0,0.0
2018-09-02,32.36,32.36,32.36,0.0,0.0,32.36,32.36,32.36,0.0,0.0,32.24,32.24,32.24,0.0,0.0,32.24,32.24,32.24,0.0,0.0
2018-09-09,32.11,32.11,32.11,0.0,0.0,32.11,32.11,32.11,0.0,0.0,32.11,32.11,32.11,0.0,0.0,32.11,32.11,32.11,0.0,0.0
2018-09-16,31.41,31.41,31.41,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.33,31.33,31.33,0.0,0.0
2018-09-23,30.67,30.67,30.67,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.47,30.47,30.47,0.0,0.0
2018-09-30,30.06,30.06,30.06,0.0,0.0,30.06,30.06,30.06,0.0,0.0,30.06,30.06,30.06,0.0,0.0,30.06,30.06,30.06,0.0,0.0
2018-10-07,30.32,30.32,30.32,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.32,30.32,30.32,0.0,0.0
2018-10-14,28.71,28.71,28.71,0.0,0.0,28.71,28.71,28.71,0.0,0.0,28.71,28.71,28.71,0.0,0.0,28.71,28.71,28.71,0.0,0.0
2018-10-21,29.41,29.41,29.41,0.0,0.0,29.41,29.41,29.41,0.0,0.0,29.41,29.41,29.41,0.0,0.0,29.41,29.41,29.41,0.0,0.0
2018-10-28,28.75,28.75,28.75,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.75,28.75,28.75,0.0,0.0
2018-11-04,28.52,28.52,28.52,0.0,0.0,28.52,28.52,28.52,0.0,0.0,28.52,28.52,28.52,0.0,0.0,28.52,28.52,28.52,0.0,0.0
2018-11-11,28.63,28.63,28.63,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.63,28.63,28.63,0.0,0.0
2018-11-18,28.5,28.5,28.5,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.43,28.43,28.43,0.0,0.0
2018-11-25,28.66,28.66,28.66,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.66,28.66,28.66,0.0,0.0
2018-12-02,28.93,28.93,28.93,0.0,0.0,28.93,28.93,28.93,0.0,0.0,28.93,28.93,28.93,0.0,0.0,28.93,28.93,28.93,0.0,0.0
2018-12-09,28.28,28.28,28.28,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.28,28.28,28.28,0.0,0.0
2018-12-16,26.81,26.81,26.81,0.0,0.0,26.81,26.81,26.81,0.0,0.0,26.81,26.81,26.81,0.0,0.0,26.81,26.81,26.81,0.0,0.0
2018-12-23,27.53,27.53,27.53,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.53,27.53,27.53,0.0,0.0
2018-12-30,28.26,28.26,28.26,0.0,0.0,28.26,28.26,28.26,0.0,0.0,28.26,28.26,28.26,0.0,0.0,28.26,28.26,28.26,0.0,0.0
2019-01-06,29.15,29.15,29.15,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.15,29.15,29.15,0.0,0.0
2019-01-13,29.73,29.73,29.73,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.73,29.73,29.73,0.0,0.0
2019-01-20,29.53,29.53,29.53,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.53,29.53,29.53,0.0,0.0
