Date,iShares S&P Mid-Cap 400 Value_Open_average,iShares S&P Mid-Cap 400 Value_Open_max,iShares S&P Mid-Cap 400 Value_Open_min,iShares S&P Mid-Cap 400 Value_Open_volatility,iShares S&P Mid-Cap 400 Value_Open_change,iShares S&P Mid-Cap 400 Value_High_average,iShares S&P Mid-Cap 400 Value_High_max,iShares S&P Mid-Cap 400 Value_High_min,iShares S&P Mid-Cap 400 Value_High_volatility,iShares S&P Mid-Cap 400 Value_High_change,iShares S&P Mid-Cap 400 Value_Low_average,iShares S&P Mid-Cap 400 Value_Low_max,iShares S&P Mid-Cap 400 Value_Low_min,iShares S&P Mid-Cap 400 Value_Low_volatility,iShares S&P Mid-Cap 400 Value_Low_change,iShares S&P Mid-Cap 400 Value_Close_average,iShares S&P Mid-Cap 400 Value_Close_max,iShares S&P Mid-Cap 400 Value_Close_min,iShares S&P Mid-Cap 400 Value_Close_volatility,iShares S&P Mid-Cap 400 Value_Close_change
2018-01-14,164.49,164.49,164.49,0.0,0.0,165.35,165.35,165.35,0.0,0.0,164.3,164.3,164.3,0.0,0.0,165.31,165.31,165.31,0.0,0.0
2018-01-21,165.15,165.15,165.15,0.0,0.0,165.2,165.2,165.2,0.0,0.0,164.16,164.16,164.16,0.0,0.0,164.16,164.16,164.16,0.0,0.0
2018-01-28,157.35,157.35,157.35,0.0,0.0,158.54,158.54,158.54,0.0,0.0,152.82,152.82,152.82,0.0,0.0,152.82,152.82,152.82,0.0,0.0
2018-02-04,151.49,151.49,151.49,0.0,0.0,153.21,153.21,153.21,0.0,0.0,150.19,150.19,150.19,0.0,0.0,152.45,152.45,152.45,0.0,0.0
2018-02-11,156.16,156.16,156.16,0.0,0.0,158.12,158.12,158.12,0.0,0.0,156.16,156.16,156.16,0.0,0.0,157.36,157.36,157.36,0.0,0.0
2018-02-18,158.11,158.11,158.11,0.0,0.0,158.38,158.38,158.38,0.0,0.0,156.85,156.85,156.85,0.0,0.0,158.33,158.33,158.33,0.0,0.0
2018-02-25,154.73,154.73,154.73,0.0,0.0,157.8,157.8,157.8,0.0,0.0,154.73,154.73,154.73,0.0,0.0,157.51,157.51,157.51,0.0,0.0
2018-03-04,160.71,160.71,160.71,0.0,0.0,161.29,161.29,161.29,0.0,0.0,160.28,160.28,160.28,0.0,0.0,160.89,160.89,160.89,0.0,0.0
2018-03-11,158.97,158.97,158.97,0.0,0.0,159.06,159.06,159.06,0.0,0.0,156.75,156.75,156.75,0.0,0.0,158.02,158.02,158.02,0.0,0.0
2018-03-18,152.48,152.48,152.48,0.0,0.0,153.59,153.59,153.59,0.0,0.0,150.93,150.93,150.93,0.0,0.0,153.59,153.59,153.59,0.0,0.0
2018-03-25,154.09,154.09,154.09,0.0,0.0,154.23,154.23,154.23,0.0,0.0,149.73,149.73,149.73,0.0,0.0,150.85,150.85,150.85,0.0,0.0
2018-04-01,153.49,153.49,153.49,0.0,0.0,154.57,154.57,154.57,0.0,0.0,152.54,152.54,152.54,0.0,0.0,152.57,152.57,152.57,0.0,0.0
2018-04-08,156.18,156.18,156.18,0.0,0.0,157.43,157.43,157.43,0.0,0.0,155.73,155.73,155.73,0.0,0.0,157.01,157.01,157.01,0.0,0.0
2018-04-15,157.02,157.02,157.02,0.0,0.0,157.84,157.84,157.84,0.0,0.0,156.54,156.54,156.54,0.0,0.0,157.16,157.16,157.16,0.0,0.0
2018-04-22,157.44,157.44,157.44,0.0,0.0,157.83,157.83,157.83,0.0,0.0,155.42,155.42,155.42,0.0,0.0,155.42,155.42,155.42,0.0,0.0
2018-04-29,157.55,157.55,157.55,0.0,0.0,158.72,158.72,158.72,0.0,0.0,157.5,157.5,157.5,0.0,0.0,157.95,157.95,157.95,0.0,0.0
