Date,iShares Edge MSCI Multifactor Emerg_Open_average,iShares Edge MSCI Multifactor Emerg_Open_max,iShares Edge MSCI Multifactor Emerg_Open_min,iShares Edge MSCI Multifactor Emerg_Open_volatility,iShares Edge MSCI Multifactor Emerg_Open_change,iShares Edge MSCI Multifactor Emerg_High_average,iShares Edge MSCI Multifactor Emerg_High_max,iShares Edge MSCI Multifactor Emerg_High_min,iShares Edge MSCI Multifactor Emerg_High_volatility,iShares Edge MSCI Multifactor Emerg_High_change,iShares Edge MSCI Multifactor Emerg_Low_average,iShares Edge MSCI Multifactor Emerg_Low_max,iShares Edge MSCI Multifactor Emerg_Low_min,iShares Edge MSCI Multifactor Emerg_Low_volatility,iShares Edge MSCI Multifactor Emerg_Low_change,iShares Edge MSCI Multifactor Emerg_Close_average,iShares Edge MSCI Multifactor Emerg_Close_max,iShares Edge MSCI Multifactor Emerg_Close_min,iShares Edge MSCI Multifactor Emerg_Close_volatility,iShares Edge MSCI Multifactor Emerg_Close_change
2018-01-14,52.57,52.57,52.57,0.0,0.0,52.93,52.93,52.93,0.0,0.0,52.54,52.54,52.54,0.0,0.0,52.93,52.93,52.93,0.0,0.0
2018-01-21,53.09,53.09,53.09,0.0,0.0,53.09,53.09,53.09,0.0,0.0,52.86,52.86,52.86,0.0,0.0,52.97,52.97,52.97,0.0,0.0
2018-01-28,51.34,51.34,51.34,0.0,0.0,51.58,51.58,51.58,0.0,0.0,49.66,49.66,49.66,0.0,0.0,49.85,49.85,49.85,0.0,0.0
2018-02-04,48.77,48.77,48.77,0.0,0.0,49.32,49.32,49.32,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.99,48.99,48.99,0.0,0.0
2018-02-11,51.39,51.39,51.39,0.0,0.0,51.9,51.9,51.9,0.0,0.0,51.36,51.36,51.36,0.0,0.0,51.68,51.68,51.68,0.0,0.0
2018-02-18,52.47,52.47,52.47,0.0,0.0,52.92,52.92,52.92,0.0,0.0,52.24,52.24,52.24,0.0,0.0,52.86,52.86,52.86,0.0,0.0
2018-02-25,50.38,50.38,50.38,0.0,0.0,50.92,50.92,50.92,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.87,50.87,50.87,0.0,0.0
2018-03-04,52.48,52.48,52.48,0.0,0.0,52.59,52.59,52.59,0.0,0.0,52.32,52.32,52.32,0.0,0.0,52.51,52.51,52.51,0.0,0.0
2018-03-11,51.84,51.84,51.84,0.0,0.0,51.89,51.89,51.89,0.0,0.0,51.27,51.27,51.27,0.0,0.0,51.56,51.56,51.56,0.0,0.0
2018-03-18,51.29,51.29,51.29,0.0,0.0,51.67,51.67,51.67,0.0,0.0,50.77,50.77,50.77,0.0,0.0,51.65,51.65,51.65,0.0,0.0
2018-03-25,50.94,50.94,50.94,0.0,0.0,50.94,50.94,50.94,0.0,0.0,49.81,49.81,49.81,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2018-04-01,50.35,50.35,50.35,0.0,0.0,50.61,50.61,50.61,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.08,50.08,50.08,0.0,0.0
2018-04-08,50.31,50.31,50.31,0.0,0.0,50.53,50.53,50.53,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.52,50.52,50.52,0.0,0.0
2018-04-15,49.69,49.69,49.69,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.31,49.31,49.31,0.0,0.0,49.31,49.31,49.31,0.0,0.0
2018-04-22,50.02,50.02,50.02,0.0,0.0,50.04,50.04,50.04,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.5,49.5,49.5,0.0,0.0
2018-04-29,48.94,48.94,48.94,0.0,0.0,49.2,49.2,49.2,0.0,0.0,48.94,48.94,48.94,0.0,0.0,49.08,49.08,49.08,0.0,0.0
2018-05-06,50.72,50.72,50.72,0.0,0.0,50.89,50.89,50.89,0.0,0.0,50.54,50.54,50.54,0.0,0.0,50.57,50.57,50.57,0.0,0.0
2018-05-13,50.07,50.07,50.07,0.0,0.0,50.2,50.2,50.2,0.0,0.0,49.84,49.84,49.84,0.0,0.0,50.11,50.11,50.11,0.0,0.0
2018-05-20,49.97,49.97,49.97,0.0,0.0,50.21,50.21,50.21,0.0,0.0,49.97,49.97,49.97,0.0,0.0,50.04,50.04,50.04,0.0,0.0
2018-05-27,50.74,50.74,50.74,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.72,50.72,50.72,0.0,0.0
2018-06-03,50.63,50.63,50.63,0.0,0.0,50.87,50.87,50.87,0.0,0.0,50.4,50.4,50.4,0.0,0.0,50.53,50.53,50.53,0.0,0.0
2018-06-10,48.49,48.49,48.49,0.0,0.0,48.69,48.69,48.69,0.0,0.0,48.14,48.14,48.14,0.0,0.0,48.39,48.39,48.39,0.0,0.0
