Date,WisdomTree Dynamic LongShort U.S. Equity_Open_average,WisdomTree Dynamic LongShort U.S. Equity_Open_max,WisdomTree Dynamic LongShort U.S. Equity_Open_min,WisdomTree Dynamic LongShort U.S. Equity_Open_volatility,WisdomTree Dynamic LongShort U.S. Equity_Open_change,WisdomTree Dynamic LongShort U.S. Equity_High_average,WisdomTree Dynamic LongShort U.S. Equity_High_max,WisdomTree Dynamic LongShort U.S. Equity_High_min,WisdomTree Dynamic LongShort U.S. Equity_High_volatility,WisdomTree Dynamic LongShort U.S. Equity_High_change,WisdomTree Dynamic LongShort U.S. Equity_Low_average,WisdomTree Dynamic LongShort U.S. Equity_Low_max,WisdomTree Dynamic LongShort U.S. Equity_Low_min,WisdomTree Dynamic LongShort U.S. Equity_Low_volatility,WisdomTree Dynamic LongShort U.S. Equity_Low_change,WisdomTree Dynamic LongShort U.S. Equity_Close_average,WisdomTree Dynamic LongShort U.S. Equity_Close_max,WisdomTree Dynamic LongShort U.S. Equity_Close_min,WisdomTree Dynamic LongShort U.S. Equity_Close_volatility,WisdomTree Dynamic LongShort U.S. Equity_Close_change
2018-01-14,34.08,34.08,34.08,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.03,34.03,34.03,0.0,0.0,34.25,34.25,34.25,0.0,0.0
2018-01-21,34.5,34.5,34.5,0.0,0.0,34.5,34.5,34.5,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.42,34.42,34.42,0.0,0.0
2018-01-28,32.86,32.86,32.86,0.0,0.0,33.07,33.07,33.07,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.93,31.93,31.93,0.0,0.0
2018-02-04,31.63,31.63,31.63,0.0,0.0,31.98,31.98,31.98,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.98,31.98,31.98,0.0,0.0
2018-02-11,32.77,32.77,32.77,0.0,0.0,33.0,33.0,33.0,0.0,0.0,32.7,32.7,32.7,0.0,0.0,32.78,32.78,32.78,0.0,0.0
2018-02-18,32.68,32.68,32.68,0.0,0.0,32.92,32.92,32.92,0.0,0.0,32.61,32.61,32.61,0.0,0.0,32.84,32.84,32.84,0.0,0.0
2018-02-25,32.33,32.33,32.33,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.45,32.45,32.45,0.0,0.0
2018-03-04,32.98,32.98,32.98,0.0,0.0,33.01,33.01,33.01,0.0,0.0,32.89,32.89,32.89,0.0,0.0,32.89,32.89,32.89,0.0,0.0
2018-03-11,32.79,32.79,32.79,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.74,32.74,32.74,0.0,0.0
2018-03-18,32.28,32.28,32.28,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.27,32.27,32.27,0.0,0.0,32.54,32.54,32.54,0.0,0.0
2018-03-25,32.5,32.5,32.5,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.04,32.04,32.04,0.0,0.0
2018-04-01,32.5,32.5,32.5,0.0,0.0,32.53,32.53,32.53,0.0,0.0,32.07,32.07,32.07,0.0,0.0,32.07,32.07,32.07,0.0,0.0
2018-04-08,32.75,32.75,32.75,0.0,0.0,32.84,32.84,32.84,0.0,0.0,32.73,32.73,32.73,0.0,0.0,32.73,32.73,32.73,0.0,0.0
2018-04-15,32.75,32.75,32.75,0.0,0.0,32.75,32.75,32.75,0.0,0.0,32.47,32.47,32.47,0.0,0.0,32.58,32.58,32.58,0.0,0.0
2018-04-22,32.33,32.33,32.33,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.01,32.01,32.01,0.0,0.0
2018-04-29,32.23,32.23,32.23,0.0,0.0,32.36,32.36,32.36,0.0,0.0,32.23,32.23,32.23,0.0,0.0,32.36,32.36,32.36,0.0,0.0
2018-05-06,33.02,33.02,33.02,0.0,0.0,33.13,33.13,33.13,0.0,0.0,32.89,32.89,32.89,0.0,0.0,33.05,33.05,33.05,0.0,0.0
2018-05-13,33.34,33.34,33.34,0.0,0.0,33.34,33.34,33.34,0.0,0.0,33.24,33.24,33.24,0.0,0.0,33.26,33.26,33.26,0.0,0.0
2018-05-20,33.33,33.33,33.33,0.0,0.0,33.35,33.35,33.35,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.24,33.24,33.24,0.0,0.0
2018-05-27,33.68,33.68,33.68,0.0,0.0,33.76,33.76,33.76,0.0,0.0,33.47,33.47,33.47,0.0,0.0,33.74,33.74,33.74,0.0,0.0
2018-06-03,34.27,34.27,34.27,0.0,0.0,34.28,34.28,34.28,0.0,0.0,33.99,33.99,33.99,0.0,0.0,34.22,34.22,34.22,0.0,0.0
2018-06-10,33.99,33.99,33.99,0.0,0.0,34.13,34.13,34.13,0.0,0.0,33.91,33.91,33.91,0.0,0.0,34.11,34.11,34.11,0.0,0.0
2018-06-17,33.8,33.8,33.8,0.0,0.0,33.8,33.8,33.8,0.0,0.0,33.11,33.11,33.11,0.0,0.0,33.41,33.41,33.41,0.0,0.0
2018-06-24,32.77,32.77,32.77,0.0,0.0,33.21,33.21,33.21,0.0,0.0,32.77,32.77,32.77,0.0,0.0,33.21,33.21,33.21,0.0,0.0
2018-07-01,33.86,33.86,33.86,0.0,0.0,34.11,34.11,34.11,0.0,0.0,33.86,33.86,33.86,0.0,0.0,34.1,34.1,34.1,0.0,0.0
2018-07-08,34.05,34.05,34.05,0.0,0.0,34.05,34.05,34.05,0.0,0.0,33.91,33.91,33.91,0.0,0.0,33.91,33.91,33.91,0.0,0.0
2018-07-15,34.07,34.07,34.07,0.0,0.0,34.19,34.19,34.19,0.0,0.0,33.97,33.97,33.97,0.0,0.0,34.11,34.11,34.11,0.0,0.0
2018-07-22,34.24,34.24,34.24,0.0,0.0,34.26,34.26,34.26,0.0,0.0,34.08,34.08,34.08,0.0,0.0,34.19,34.19,34.19,0.0,0.0
2018-07-29,34.78,34.78,34.78,0.0,0.0,35.01,35.01,35.01,0.0,0.0,34.78,34.78,34.78,0.0,0.0,34.96,34.96,34.96,0.0,0.0
2018-08-05,35.02,35.02,35.02,0.0,0.0,35.08,35.08,35.08,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.72,34.72,34.72,0.0,0.0
2018-08-12,35.23,35.23,35.23,0.0,0.0,35.37,35.37,35.37,0.0,0.0,35.2,35.2,35.2,0.0,0.0,35.33,35.33,35.33,0.0,0.0
2018-08-19,35.78,35.78,35.78,0.0,0.0,35.88,35.88,35.88,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.75,35.75,35.75,0.0,0.0
2018-08-26,35.55,35.55,35.55,0.0,0.0,35.82,35.82,35.82,0.0,0.0,35.55,35.55,35.55,0.0,0.0,35.78,35.78,35.78,0.0,0.0
2018-09-02,35.48,35.48,35.48,0.0,0.0,35.54,35.54,35.54,0.0,0.0,35.46,35.46,35.46,0.0,0.0,35.48,35.48,35.48,0.0,0.0
2018-09-09,35.66,35.66,35.66,0.0,0.0,35.66,35.66,35.66,0.0,0.0,35.5,35.5,35.5,0.0,0.0,35.54,35.54,35.54,0.0,0.0
2018-09-16,35.76,35.76,35.76,0.0,0.0,35.76,35.76,35.76,0.0,0.0,35.54,35.54,35.54,0.0,0.0,35.63,35.63,35.63,0.0,0.0
2018-09-23,35.6,35.6,35.6,0.0,0.0,35.6,35.6,35.6,0.0,0.0,35.21,35.21,35.21,0.0,0.0,35.37,35.37,35.37,0.0,0.0
2018-09-30,34.79,34.79,34.79,0.0,0.0,34.97,34.97,34.97,0.0,0.0,34.62,34.62,34.62,0.0,0.0,34.92,34.92,34.92,0.0,0.0
2018-10-07,33.56,33.56,33.56,0.0,0.0,33.77,33.77,33.77,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.62,33.62,33.62,0.0,0.0
2018-10-14,33.61,33.61,33.61,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.51,33.51,33.51,0.0,0.0
2018-10-21,32.34,32.34,32.34,0.0,0.0,32.59,32.59,32.59,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.85,31.85,31.85,0.0,0.0
2018-10-28,33.22,33.22,33.22,0.0,0.0,33.36,33.36,33.36,0.0,0.0,32.97,32.97,32.97,0.0,0.0,33.25,33.25,33.25,0.0,0.0
