Date,iShares MSCI Belgium Capped_etf_Open_average,iShares MSCI Belgium Capped_etf_Open_max,iShares MSCI Belgium Capped_etf_Open_min,iShares MSCI Belgium Capped_etf_Open_volatility,iShares MSCI Belgium Capped_etf_Open_change,iShares MSCI Belgium Capped_etf_High_average,iShares MSCI Belgium Capped_etf_High_max,iShares MSCI Belgium Capped_etf_High_min,iShares MSCI Belgium Capped_etf_High_volatility,iShares MSCI Belgium Capped_etf_High_change,iShares MSCI Belgium Capped_etf_Low_average,iShares MSCI Belgium Capped_etf_Low_max,iShares MSCI Belgium Capped_etf_Low_min,iShares MSCI Belgium Capped_etf_Low_volatility,iShares MSCI Belgium Capped_etf_Low_change,iShares MSCI Belgium Capped_etf_Close_average,iShares MSCI Belgium Capped_etf_Close_max,iShares MSCI Belgium Capped_etf_Close_min,iShares MSCI Belgium Capped_etf_Close_volatility,iShares MSCI Belgium Capped_etf_Close_change
2018-01-14,22.51,22.51,22.51,0.0,0.0,22.51,22.51,22.51,0.0,0.0,22.45,22.45,22.45,0.0,0.0,22.51,22.51,22.51,0.0,0.0
2018-01-21,22.88,22.88,22.88,0.0,0.0,23.0,23.0,23.0,0.0,0.0,22.86,22.86,22.86,0.0,0.0,23.0,23.0,23.0,0.0,0.0
2018-01-28,22.65,22.65,22.65,0.0,0.0,22.65,22.65,22.65,0.0,0.0,22.41,22.41,22.41,0.0,0.0,22.42,22.42,22.42,0.0,0.0
2018-02-04,21.43,21.43,21.43,0.0,0.0,21.5,21.5,21.5,0.0,0.0,20.93,20.93,20.93,0.0,0.0,21.42,21.42,21.42,0.0,0.0
2018-02-11,22.14,22.14,22.14,0.0,0.0,22.15,22.15,22.15,0.0,0.0,22.02,22.02,22.02,0.0,0.0,22.04,22.04,22.04,0.0,0.0
2018-02-18,21.91,21.91,21.91,0.0,0.0,22.09,22.09,22.09,0.0,0.0,21.91,21.91,21.91,0.0,0.0,22.07,22.07,22.07,0.0,0.0
2018-02-25,21.76,21.76,21.76,0.0,0.0,21.86,21.86,21.86,0.0,0.0,21.59,21.59,21.59,0.0,0.0,21.86,21.86,21.86,0.0,0.0
2018-03-04,22.24,22.24,22.24,0.0,0.0,22.36,22.36,22.36,0.0,0.0,22.24,22.24,22.24,0.0,0.0,22.36,22.36,22.36,0.0,0.0
2018-03-11,21.94,21.94,21.94,0.0,0.0,21.94,21.94,21.94,0.0,0.0,21.88,21.88,21.88,0.0,0.0,21.92,21.92,21.92,0.0,0.0
2018-03-18,21.31,21.31,21.31,0.0,0.0,21.31,21.31,21.31,0.0,0.0,21.08,21.08,21.08,0.0,0.0,21.08,21.08,21.08,0.0,0.0
2018-03-25,21.41,21.41,21.41,0.0,0.0,21.45,21.45,21.45,0.0,0.0,21.32,21.32,21.32,0.0,0.0,21.35,21.35,21.35,0.0,0.0
2018-04-01,21.26,21.26,21.26,0.0,0.0,21.27,21.27,21.27,0.0,0.0,21.02,21.02,21.02,0.0,0.0,21.08,21.08,21.08,0.0,0.0
2018-04-08,21.31,21.31,21.31,0.0,0.0,21.32,21.32,21.32,0.0,0.0,21.26,21.26,21.26,0.0,0.0,21.31,21.31,21.31,0.0,0.0
2018-04-15,21.41,21.41,21.41,0.0,0.0,21.41,21.41,21.41,0.0,0.0,21.24,21.24,21.24,0.0,0.0,21.24,21.24,21.24,0.0,0.0
2018-04-22,21.02,21.02,21.02,0.0,0.0,21.02,21.02,21.02,0.0,0.0,20.9,20.9,20.9,0.0,0.0,20.91,20.91,20.91,0.0,0.0
2018-04-29,20.55,20.55,20.55,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.55,20.55,20.55,0.0,0.0,20.66,20.66,20.66,0.0,0.0
2018-05-06,20.8,20.8,20.8,0.0,0.0,20.8,20.8,20.8,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.71,20.71,20.71,0.0,0.0
2018-05-13,20.52,20.52,20.52,0.0,0.0,20.52,20.52,20.52,0.0,0.0,20.44,20.44,20.44,0.0,0.0,20.46,20.46,20.46,0.0,0.0
2018-05-20,20.27,20.27,20.27,0.0,0.0,20.31,20.31,20.31,0.0,0.0,20.23,20.23,20.23,0.0,0.0,20.31,20.31,20.31,0.0,0.0
2018-05-27,20.34,20.34,20.34,0.0,0.0,20.34,20.34,20.34,0.0,0.0,20.19,20.19,20.19,0.0,0.0,20.27,20.27,20.27,0.0,0.0
2018-06-03,20.24,20.24,20.24,0.0,0.0,20.36,20.36,20.36,0.0,0.0,20.24,20.24,20.24,0.0,0.0,20.31,20.31,20.31,0.0,0.0
2018-06-10,20.39,20.39,20.39,0.0,0.0,20.39,20.39,20.39,0.0,0.0,20.27,20.27,20.27,0.0,0.0,20.36,20.36,20.36,0.0,0.0
2018-06-17,19.83,19.83,19.83,0.0,0.0,19.95,19.95,19.95,0.0,0.0,19.83,19.83,19.83,0.0,0.0,19.86,19.86,19.86,0.0,0.0
2018-06-24,19.72,19.72,19.72,0.0,0.0,19.8,19.8,19.8,0.0,0.0,19.68,19.68,19.68,0.0,0.0,19.68,19.68,19.68,0.0,0.0
2018-07-01,20.08,20.08,20.08,0.0,0.0,20.15,20.15,20.15,0.0,0.0,20.06,20.06,20.06,0.0,0.0,20.14,20.14,20.14,0.0,0.0
2018-07-08,20.14,20.14,20.14,0.0,0.0,20.16,20.16,20.16,0.0,0.0,20.12,20.12,20.12,0.0,0.0,20.15,20.15,20.15,0.0,0.0
2018-07-15,20.22,20.22,20.22,0.0,0.0,20.27,20.27,20.27,0.0,0.0,20.22,20.22,20.22,0.0,0.0,20.24,20.24,20.24,0.0,0.0
2018-07-22,20.39,20.39,20.39,0.0,0.0,20.42,20.42,20.42,0.0,0.0,20.32,20.32,20.32,0.0,0.0,20.37,20.37,20.37,0.0,0.0
2018-07-29,20.16,20.16,20.16,0.0,0.0,20.19,20.19,20.19,0.0,0.0,20.13,20.13,20.13,0.0,0.0,20.15,20.15,20.15,0.0,0.0
2018-08-05,19.71,19.71,19.71,0.0,0.0,19.74,19.74,19.74,0.0,0.0,19.6,19.6,19.6,0.0,0.0,19.64,19.64,19.64,0.0,0.0
2018-08-12,19.45,19.45,19.45,0.0,0.0,19.67,19.67,19.67,0.0,0.0,19.45,19.45,19.45,0.0,0.0,19.64,19.64,19.64,0.0,0.0
2018-08-19,19.98,19.98,19.98,0.0,0.0,19.98,19.98,19.98,0.0,0.0,19.94,19.94,19.94,0.0,0.0,19.95,19.95,19.95,0.0,0.0
2018-08-26,19.71,19.71,19.71,0.0,0.0,19.71,19.71,19.71,0.0,0.0,19.55,19.55,19.55,0.0,0.0,19.56,19.56,19.56,0.0,0.0
2018-09-02,19.04,19.04,19.04,0.0,0.0,19.06,19.06,19.06,0.0,0.0,19.01,19.01,19.01,0.0,0.0,19.03,19.03,19.03,0.0,0.0
2018-09-09,19.52,19.52,19.52,0.0,0.0,19.53,19.53,19.53,0.0,0.0,19.45,19.45,19.45,0.0,0.0,19.47,19.47,19.47,0.0,0.0
2018-09-16,20.01,20.01,20.01,0.0,0.0,20.01,20.01,20.01,0.0,0.0,19.86,19.86,19.86,0.0,0.0,19.86,19.86,19.86,0.0,0.0
2018-09-23,19.18,19.18,19.18,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.15,19.15,19.15,0.0,0.0,19.17,19.17,19.17,0.0,0.0
2018-09-30,19.07,19.07,19.07,0.0,0.0,19.07,19.07,19.07,0.0,0.0,18.91,18.91,18.91,0.0,0.0,18.99,18.99,18.99,0.0,0.0
2018-10-07,18.29,18.29,18.29,0.0,0.0,18.31,18.31,18.31,0.0,0.0,18.18,18.18,18.18,0.0,0.0,18.26,18.26,18.26,0.0,0.0
2018-10-14,18.25,18.25,18.25,0.0,0.0,18.35,18.35,18.35,0.0,0.0,18.25,18.25,18.25,0.0,0.0,18.32,18.32,18.32,0.0,0.0
2018-10-21,17.11,17.11,17.11,0.0,0.0,17.24,17.24,17.24,0.0,0.0,17.02,17.02,17.02,0.0,0.0,17.19,17.19,17.19,0.0,0.0
2018-10-28,17.93,17.93,17.93,0.0,0.0,17.99,17.99,17.99,0.0,0.0,17.74,17.74,17.74,0.0,0.0,17.86,17.86,17.86,0.0,0.0
