Date,iShares Core S&P Small-Cap_Open_average,iShares Core S&P Small-Cap_Open_max,iShares Core S&P Small-Cap_Open_min,iShares Core S&P Small-Cap_Open_volatility,iShares Core S&P Small-Cap_Open_change,iShares Core S&P Small-Cap_High_average,iShares Core S&P Small-Cap_High_max,iShares Core S&P Small-Cap_High_min,iShares Core S&P Small-Cap_High_volatility,iShares Core S&P Small-Cap_High_change,iShares Core S&P Small-Cap_Low_average,iShares Core S&P Small-Cap_Low_max,iShares Core S&P Small-Cap_Low_min,iShares Core S&P Small-Cap_Low_volatility,iShares Core S&P Small-Cap_Low_change,iShares Core S&P Small-Cap_Close_average,iShares Core S&P Small-Cap_Close_max,iShares Core S&P Small-Cap_Close_min,iShares Core S&P Small-Cap_Close_volatility,iShares Core S&P Small-Cap_Close_change
2018-01-14,79.96,79.96,79.96,0.0,0.0,80.26,80.26,80.26,0.0,0.0,79.72,79.72,79.72,0.0,0.0,80.26,80.26,80.26,0.0,0.0
2018-01-21,80.19,80.19,80.19,0.0,0.0,80.49,80.49,80.49,0.0,0.0,79.91,79.91,79.91,0.0,0.0,79.91,79.91,79.91,0.0,0.0
2018-01-28,76.85,76.85,76.85,0.0,0.0,77.43,77.43,77.43,0.0,0.0,74.43,74.43,74.43,0.0,0.0,74.45,74.45,74.45,0.0,0.0
2018-02-04,74.2,74.2,74.2,0.0,0.0,75.22,75.22,75.22,0.0,0.0,73.38,73.38,73.38,0.0,0.0,74.86,74.86,74.86,0.0,0.0
2018-02-11,76.94,76.94,76.94,0.0,0.0,77.83,77.83,77.83,0.0,0.0,76.8,76.8,76.8,0.0,0.0,77.33,77.33,77.33,0.0,0.0
2018-02-18,78.0,78.0,78.0,0.0,0.0,78.43,78.43,78.43,0.0,0.0,77.46,77.46,77.46,0.0,0.0,78.29,78.29,78.29,0.0,0.0
2018-02-25,76.35,76.35,76.35,0.0,0.0,77.62,77.62,77.62,0.0,0.0,76.2,76.2,76.2,0.0,0.0,77.23,77.23,77.23,0.0,0.0
2018-03-04,79.98,79.98,79.98,0.0,0.0,80.46,80.46,80.46,0.0,0.0,79.78,79.78,79.78,0.0,0.0,80.11,80.11,80.11,0.0,0.0
2018-03-11,79.53,79.53,79.53,0.0,0.0,79.62,79.62,79.62,0.0,0.0,78.02,78.02,78.02,0.0,0.0,79.01,79.01,79.01,0.0,0.0
2018-03-18,76.77,76.77,76.77,0.0,0.0,77.5,77.5,77.5,0.0,0.0,76.05,76.05,76.05,0.0,0.0,77.5,77.5,77.5,0.0,0.0
2018-03-25,76.91,76.91,76.91,0.0,0.0,77.1,77.1,77.1,0.0,0.0,74.75,74.75,74.75,0.0,0.0,75.25,75.25,75.25,0.0,0.0
2018-04-01,77.18,77.18,77.18,0.0,0.0,77.58,77.58,77.58,0.0,0.0,76.53,76.53,76.53,0.0,0.0,76.56,76.56,76.56,0.0,0.0
2018-04-08,78.71,78.71,78.71,0.0,0.0,79.34,79.34,79.34,0.0,0.0,78.34,78.34,78.34,0.0,0.0,79.12,79.12,79.12,0.0,0.0
2018-04-15,79.22,79.22,79.22,0.0,0.0,79.54,79.54,79.54,0.0,0.0,78.68,78.68,78.68,0.0,0.0,79.03,79.03,79.03,0.0,0.0
