Date,Vanguard High Dividend Yield_Open_average,Vanguard High Dividend Yield_Open_max,Vanguard High Dividend Yield_Open_min,Vanguard High Dividend Yield_Open_volatility,Vanguard High Dividend Yield_Open_change,Vanguard High Dividend Yield_High_average,Vanguard High Dividend Yield_High_max,Vanguard High Dividend Yield_High_min,Vanguard High Dividend Yield_High_volatility,Vanguard High Dividend Yield_High_change,Vanguard High Dividend Yield_Low_average,Vanguard High Dividend Yield_Low_max,Vanguard High Dividend Yield_Low_min,Vanguard High Dividend Yield_Low_volatility,Vanguard High Dividend Yield_Low_change,Vanguard High Dividend Yield_Close_average,Vanguard High Dividend Yield_Close_max,Vanguard High Dividend Yield_Close_min,Vanguard High Dividend Yield_Close_volatility,Vanguard High Dividend Yield_Close_change
2018-01-14,88.85,88.85,88.85,0.0,0.0,89.63,89.63,89.63,0.0,0.0,88.81,88.81,88.81,0.0,0.0,89.63,89.63,89.63,0.0,0.0
2018-01-21,90.74,90.74,90.74,0.0,0.0,90.84,90.84,90.84,0.0,0.0,90.29,90.29,90.29,0.0,0.0,90.32,90.32,90.32,0.0,0.0
2018-01-28,86.42,86.42,86.42,0.0,0.0,87.05,87.05,87.05,0.0,0.0,83.0,83.0,83.0,0.0,0.0,83.49,83.49,83.49,0.0,0.0
2018-02-04,83.54,83.54,83.54,0.0,0.0,84.41,84.41,84.41,0.0,0.0,83.0,83.0,83.0,0.0,0.0,83.89,83.89,83.89,0.0,0.0
2018-02-11,85.8,85.8,85.8,0.0,0.0,86.79,86.79,86.79,0.0,0.0,85.78,85.78,85.78,0.0,0.0,86.08,86.08,86.08,0.0,0.0
2018-02-18,86.5,86.5,86.5,0.0,0.0,87.17,87.17,87.17,0.0,0.0,86.28,86.28,86.28,0.0,0.0,87.14,87.14,87.14,0.0,0.0
2018-02-25,83.94,83.94,83.94,0.0,0.0,85.52,85.52,85.52,0.0,0.0,83.92,83.92,83.92,0.0,0.0,85.3,85.3,85.3,0.0,0.0
2018-03-04,87.0,87.0,87.0,0.0,0.0,87.2,87.2,87.2,0.0,0.0,86.49,86.49,86.49,0.0,0.0,86.64,86.64,86.64,0.0,0.0
2018-03-11,85.56,85.56,85.56,0.0,0.0,85.6,85.6,85.6,0.0,0.0,84.16,84.16,84.16,0.0,0.0,84.69,84.69,84.69,0.0,0.0
2018-03-18,81.48,81.48,81.48,0.0,0.0,82.46,82.46,82.46,0.0,0.0,80.98,80.98,80.98,0.0,0.0,82.37,82.37,82.37,0.0,0.0
2018-03-25,82.29,82.29,82.29,0.0,0.0,82.37,82.37,82.37,0.0,0.0,79.78,79.78,79.78,0.0,0.0,80.64,80.64,80.64,0.0,0.0
2018-04-01,82.09,82.09,82.09,0.0,0.0,83.09,83.09,83.09,0.0,0.0,81.81,81.81,81.81,0.0,0.0,81.89,81.89,81.89,0.0,0.0
2018-04-08,83.68,83.68,83.68,0.0,0.0,84.11,84.11,84.11,0.0,0.0,83.45,83.45,83.45,0.0,0.0,83.87,83.87,83.87,0.0,0.0
2018-04-15,83.31,83.31,83.31,0.0,0.0,83.5,83.5,83.5,0.0,0.0,82.93,82.93,82.93,0.0,0.0,83.31,83.31,83.31,0.0,0.0
2018-04-22,83.67,83.67,83.67,0.0,0.0,83.84,83.84,83.84,0.0,0.0,82.59,82.59,82.59,0.0,0.0,82.6,82.6,82.6,0.0,0.0
2018-04-29,82.79,82.79,82.79,0.0,0.0,83.05,83.05,83.05,0.0,0.0,82.45,82.45,82.45,0.0,0.0,82.67,82.67,82.67,0.0,0.0
2018-05-06,84.57,84.57,84.57,0.0,0.0,84.8,84.8,84.8,0.0,0.0,84.28,84.28,84.28,0.0,0.0,84.42,84.42,84.42,0.0,0.0
2018-05-13,84.55,84.55,84.55,0.0,0.0,84.93,84.93,84.93,0.0,0.0,84.43,84.43,84.43,0.0,0.0,84.78,84.78,84.78,0.0,0.0
2018-05-20,84.33,84.33,84.33,0.0,0.0,84.39,84.39,84.39,0.0,0.0,83.98,83.98,83.98,0.0,0.0,84.23,84.23,84.23,0.0,0.0
2018-05-27,84.95,84.95,84.95,0.0,0.0,85.21,85.21,85.21,0.0,0.0,84.78,84.78,84.78,0.0,0.0,84.93,84.93,84.93,0.0,0.0
2018-06-03,86.06,86.06,86.06,0.0,0.0,86.21,86.21,86.21,0.0,0.0,85.94,85.94,85.94,0.0,0.0,85.99,85.99,85.99,0.0,0.0
2018-06-10,84.84,84.84,84.84,0.0,0.0,84.98,84.98,84.98,0.0,0.0,84.52,84.52,84.52,0.0,0.0,84.84,84.84,84.84,0.0,0.0
2018-06-17,83.57,83.57,83.57,0.0,0.0,83.6,83.6,83.6,0.0,0.0,82.66,82.66,82.66,0.0,0.0,83.19,83.19,83.19,0.0,0.0
2018-06-24,82.57,82.57,82.57,0.0,0.0,83.03,83.03,83.03,0.0,0.0,82.38,82.38,82.38,0.0,0.0,83.01,83.01,83.01,0.0,0.0
2018-07-01,84.44,84.44,84.44,0.0,0.0,84.9,84.9,84.9,0.0,0.0,84.42,84.42,84.42,0.0,0.0,84.68,84.68,84.68,0.0,0.0
2018-07-08,84.77,84.77,84.77,0.0,0.0,84.86,84.86,84.86,0.0,0.0,84.59,84.59,84.59,0.0,0.0,84.82,84.82,84.82,0.0,0.0
2018-07-15,84.57,84.57,84.57,0.0,0.0,84.76,84.76,84.76,0.0,0.0,84.37,84.37,84.37,0.0,0.0,84.7,84.7,84.7,0.0,0.0
2018-07-22,85.92,85.92,85.92,0.0,0.0,86.26,86.26,86.26,0.0,0.0,85.92,85.92,85.92,0.0,0.0,86.02,86.02,86.02,0.0,0.0
