Date,AGN_stock_Open_average,AGN_stock_Open_max,AGN_stock_Open_min,AGN_stock_Open_volatility,AGN_stock_Open_change,AGN_stock_High_average,AGN_stock_High_max,AGN_stock_High_min,AGN_stock_High_volatility,AGN_stock_High_change,AGN_stock_Low_average,AGN_stock_Low_max,AGN_stock_Low_min,AGN_stock_Low_volatility,AGN_stock_Low_change,AGN_stock_Close_average,AGN_stock_Close_max,AGN_stock_Close_min,AGN_stock_Close_volatility,AGN_stock_Close_change,AGN_stock_Volume_average,AGN_stock_Volume_max,AGN_stock_Volume_min,AGN_stock_Volume_volatility,AGN_stock_Volume_change
2018-01-14,178.6375,180.87,176.96,3.9099999999999966,3.9099999999999966,180.2925,181.97,179.45,2.5200000000000102,2.1699999999999875,177.0375,179.12,176.1,3.0200000000000102,2.5200000000000102,179.0875,181.33,176.72,4.610000000000014,2.670000000000016,2934204,4043473,2220065,1823408,1389604
2018-01-21,186.822,190.5,181.0,9.5,6.240000000000009,189.352,193.33,187.42,5.910000000000025,-1.0100000000000193,184.244,186.3,180.72,5.5800000000000125,3.6100000000000136,187.39600000000002,188.15,186.72,1.4300000000000068,-1.2199999999999989,3019197,5269596,1974694,3294902,-3294902
2018-01-28,183.23,189.94,177.74,12.199999999999989,-12.199999999999989,184.002,189.94,178.12,11.819999999999993,-11.819999999999993,179.882,187.01,172.3,14.70999999999998,-14.70999999999998,180.59799999999998,187.3,172.51,14.79000000000002,-14.79000000000002,2701221,3388432,2106462,1281970,657280
2018-02-04,168.562,171.9,165.04,6.860000000000014,-6.860000000000014,171.91400000000002,175.0,166.58,8.419999999999987,-5.849999999999994,162.836,167.07,157.7,9.370000000000005,-7.300000000000011,166.138,170.39,162.77,7.619999999999976,-2.2299999999999898,4905140,8286363,3622384,4663979,-412795
2018-02-11,162.994,168.14,157.19,10.949999999999989,0.3100000000000023,165.89000000000001,169.5,162.46,7.039999999999992,1.009999999999991,159.598,162.9,156.0,6.900000000000006,2.6299999999999955,163.264,166.63,158.72,7.909999999999997,1.579999999999984,3457952,4882165,2689078,2193087,-377646
2018-02-18,161.1375,163.07,159.7,3.3700000000000045,-1.539999999999992,162.56,164.0,161.66,2.3400000000000034,-1.4399999999999977,159.63,160.25,158.99,1.259999999999991,-0.19999999999998863,160.3475,162.09,159.31,2.780000000000001,1.5,2625973,2764162,2468594,295568,114506
2018-02-25,157.13,164.7,147.18,17.519999999999982,-14.930000000000007,158.444,166.17,147.27,18.899999999999977,-18.899999999999977,152.496,161.51,143.1,18.409999999999997,-18.409999999999997,154.42,165.76,144.02,21.73999999999998,-21.73999999999998,5953249,9340223,2695229,6644994,5769525
2018-03-04,150.174,154.96,143.42,11.54000000000002,11.54000000000002,153.306,157.43,149.65,7.780000000000001,7.780000000000001,149.042,153.79,142.81,10.97999999999999,10.97999999999999,152.688,157.28,148.73,8.550000000000011,8.550000000000011,3433556,4028970,2927674,1101296,-569749
2018-03-11,162.808,167.22,157.59,9.629999999999995,9.210000000000008,166.576,170.81,160.04,10.77000000000001,10.77000000000001,162.244,166.74,157.52,9.219999999999999,9.219999999999999,164.748,168.96,158.41,10.550000000000011,10.550000000000011,3929281,5077526,2745972,2331554,1085499
2018-03-18,164.824,167.99,162.52,5.469999999999999,-4.550000000000011,166.48,169.69,164.68,5.009999999999991,-5.009999999999991,162.31,164.65,159.26,5.390000000000015,-5.390000000000015,163.13,166.27,159.48,6.7900000000000205,-6.7900000000000205,2798804,4023415,2107608,1915807,-438732
2018-03-25,162.6125,167.08,160.87,6.210000000000008,5.5800000000000125,165.9075,169.7,162.05,7.649999999999977,7.649999999999977,160.215,165.35,155.7,9.650000000000006,9.650000000000006,163.615,168.29,160.2,8.090000000000003,8.090000000000003,3045122,3829159,2283637,1545522,-347445
2018-04-01,165.092,167.43,163.21,4.219999999999999,-3.3499999999999943,166.318,168.29,164.0,4.289999999999992,-4.289999999999992,161.13,164.53,158.43,6.099999999999994,-0.6899999999999977,164.026,166.47,161.52,4.949999999999989,-0.75,2248938,3305935,1803481,1502454,-1200105
2018-04-08,164.582,167.45,162.86,4.589999999999975,4.589999999999975,166.358,168.89,164.64,4.25,4.25,162.864,164.91,161.02,3.8899999999999864,2.359999999999985,164.386,166.31,161.88,4.430000000000007,2.490000000000009,1498229,1852991,1038476,814515,-356928
2018-04-15,165.048,167.6,159.19,8.409999999999997,-6.490000000000009,166.512,168.88,161.15,7.72999999999999,-5.930000000000007,160.778,166.12,151.54,14.580000000000013,-6.219999999999999,163.192,166.83,158.51,8.320000000000022,-7.939999999999998,4007925,12170152,1444137,10726015,1392797
