Date,ECL_Open_average,ECL_Open_max,ECL_Open_min,ECL_Open_volatility,ECL_Open_change,ECL_High_average,ECL_High_max,ECL_High_min,ECL_High_volatility,ECL_High_change,ECL_Low_average,ECL_Low_max,ECL_Low_min,ECL_Low_volatility,ECL_Low_change,ECL_Close_average,ECL_Close_max,ECL_Close_min,ECL_Close_volatility,ECL_Close_change,ECL_Volume_average,ECL_Volume_max,ECL_Volume_min,ECL_Volume_volatility,ECL_Volume_change
2018-01-14,138.492,139.79,137.28,2.509999999999991,1.3799999999999955,139.196,140.43,137.83,2.5999999999999943,1.75,137.538,139.31,136.25,3.0600000000000023,2.6999999999999886,138.578,140.34,137.02,3.319999999999993,3.319999999999993,1157705,1543081,911514,631567,409362
2018-01-21,138.492,140.5,137.54,2.960000000000008,-2.960000000000008,138.96,140.5,138.24,2.259999999999991,-2.1899999999999977,136.982,137.67,136.41,1.259999999999991,0.5600000000000023,137.808,138.32,137.31,1.009999999999991,-0.2599999999999909,1603831,2388005,1109751,1278254,-1278254
2018-01-28,137.324,137.89,136.62,1.2699999999999818,-0.46000000000000796,138.592,139.3,138.1,1.200000000000017,-0.15000000000000568,136.044,137.18,132.05,5.1299999999999955,-5.030000000000001,136.572,138.49,132.05,6.439999999999998,-5.530000000000001,1563540,1862579,1018979,843600,843600
2018-02-04,130.538,133.23,128.88,4.349999999999994,-1.1599999999999966,132.534,135.43,129.8,5.6299999999999955,-1.740000000000009,128.396,130.94,125.74,5.200000000000003,0.37999999999999545,130.26,133.12,127.76,5.359999999999999,-1.5800000000000125,2222664,2828200,1551406,1276794,-1276794
2018-02-11,129.8675,131.22,128.48,2.740000000000009,2.1299999999999955,131.265,132.91,129.97,2.9399999999999977,2.9399999999999977,129.14249999999998,130.95,127.19,3.759999999999991,3.759999999999991,130.60000000000002,131.77,129.34,2.430000000000007,2.1500000000000057,1368585,1447177,1301812,145365,-83773
2018-02-18,131.102,132.08,130.19,1.8900000000000148,-0.2600000000000193,132.102,133.44,130.96,2.4799999999999898,-1.2299999999999898,129.856,130.85,129.14,1.710000000000008,0.710000000000008,130.78,131.99,129.45,2.5400000000000205,0.27000000000001023,1390073,1597193,1100628,496565,-289810
2018-02-25,129.774,132.0,127.3,4.700000000000003,-4.700000000000003,130.998,132.42,129.06,3.359999999999985,-2.019999999999982,128.822,131.06,127.23,3.8299999999999983,-3.760000000000005,129.612,131.09,127.86,3.230000000000004,-1.1400000000000148,1184765,1314364,908884,405480,277745
2018-03-04,132.514,135.0,130.15,4.849999999999994,4.710000000000008,134.28199999999998,137.22,131.64,5.5800000000000125,5.5800000000000125,132.108,134.73,129.36,5.369999999999976,5.369999999999976,133.968,136.78,131.01,5.77000000000001,5.77000000000001,1681717,2136638,933913,1202725,516320
2018-03-11,137.012,137.39,136.39,1.0,0.3199999999999932,137.738,138.44,136.92,1.5200000000000102,0.5800000000000125,136.142,136.69,135.92,0.7700000000000102,0.05000000000001137,136.88,138.08,136.31,1.7700000000000102,-0.35000000000002274,1477257,1852428,1259918,592510,-69913
2018-03-18,135.352,136.62,133.61,3.009999999999991,-2.869999999999976,136.224,137.82,134.85,2.969999999999999,-2.1599999999999966,134.062,136.13,132.25,3.8799999999999955,-2.759999999999991,134.832,136.63,132.25,4.3799999999999955,-1.8899999999999864,1253159,1790383,931185,859198,629700
