Date,VictoryShares EM High Div Volatility Wtd_Open_average,VictoryShares EM High Div Volatility Wtd_Open_max,VictoryShares EM High Div Volatility Wtd_Open_min,VictoryShares EM High Div Volatility Wtd_Open_volatility,VictoryShares EM High Div Volatility Wtd_Open_change,VictoryShares EM High Div Volatility Wtd_High_average,VictoryShares EM High Div Volatility Wtd_High_max,VictoryShares EM High Div Volatility Wtd_High_min,VictoryShares EM High Div Volatility Wtd_High_volatility,VictoryShares EM High Div Volatility Wtd_High_change,VictoryShares EM High Div Volatility Wtd_Low_average,VictoryShares EM High Div Volatility Wtd_Low_max,VictoryShares EM High Div Volatility Wtd_Low_min,VictoryShares EM High Div Volatility Wtd_Low_volatility,VictoryShares EM High Div Volatility Wtd_Low_change,VictoryShares EM High Div Volatility Wtd_Close_average,VictoryShares EM High Div Volatility Wtd_Close_max,VictoryShares EM High Div Volatility Wtd_Close_min,VictoryShares EM High Div Volatility Wtd_Close_volatility,VictoryShares EM High Div Volatility Wtd_Close_change
2018-01-14,27.6,27.6,27.6,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.54,27.54,27.54,0.0,0.0,27.68,27.68,27.68,0.0,0.0
2018-01-21,28.26,28.26,28.26,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.35,28.35,28.35,0.0,0.0
2018-01-28,27.8,27.8,27.8,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.43,27.43,27.43,0.0,0.0,27.47,27.47,27.47,0.0,0.0
2018-02-04,26.19,26.19,26.19,0.0,0.0,26.29,26.29,26.29,0.0,0.0,25.77,25.77,25.77,0.0,0.0,26.28,26.28,26.28,0.0,0.0
2018-02-11,27.35,27.35,27.35,0.0,0.0,27.41,27.41,27.41,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.37,27.37,27.37,0.0,0.0
2018-02-18,27.66,27.66,27.66,0.0,0.0,27.67,27.67,27.67,0.0,0.0,27.44,27.44,27.44,0.0,0.0,27.61,27.61,27.61,0.0,0.0
2018-02-25,26.71,26.71,26.71,0.0,0.0,26.99,26.99,26.99,0.0,0.0,26.67,26.67,26.67,0.0,0.0,26.97,26.97,26.97,0.0,0.0
2018-03-04,27.29,27.29,27.29,0.0,0.0,27.35,27.35,27.35,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.35,27.35,27.35,0.0,0.0
2018-03-11,27.12,27.12,27.12,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.11,27.11,27.11,0.0,0.0,27.2,27.2,27.2,0.0,0.0
2018-03-18,26.47,26.47,26.47,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.47,26.47,26.47,0.0,0.0,26.47,26.47,26.47,0.0,0.0
2018-03-25,26.5,26.5,26.5,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.5,26.5,26.5,0.0,0.0
2018-04-01,26.45,26.45,26.45,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.45,26.45,26.45,0.0,0.0
2018-04-08,26.55,26.55,26.55,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.6,26.6,26.6,0.0,0.0
2018-04-15,26.11,26.11,26.11,0.0,0.0,26.16,26.16,26.16,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.08,26.08,26.08,0.0,0.0
2018-04-22,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0
2018-04-29,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0
2018-05-06,25.77,25.77,25.77,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.48,25.48,25.48,0.0,0.0
2018-05-13,25.0,25.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0
2018-05-20,25.34,25.34,25.34,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.11,25.11,25.11,0.0,0.0,25.3,25.3,25.3,0.0,0.0
2018-05-27,25.17,25.17,25.17,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0
2018-06-03,25.24,25.24,25.24,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.24,25.24,25.24,0.0,0.0
2018-06-10,24.74,24.74,24.74,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.66,24.66,24.66,0.0,0.0
2018-06-17,24.23,24.23,24.23,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.19,24.19,24.19,0.0,0.0,24.19,24.19,24.19,0.0,0.0
2018-06-24,23.99,23.99,23.99,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.92,23.92,23.92,0.0,0.0,23.96,23.96,23.96,0.0,0.0
2018-07-01,24.06,24.06,24.06,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.06,24.06,24.06,0.0,0.0,24.21,24.21,24.21,0.0,0.0
2018-07-08,24.4,24.4,24.4,0.0,0.0,24.4,24.4,24.4,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.27,24.27,24.27,0.0,0.0
2018-07-15,24.23,24.23,24.23,0.0,0.0,24.36,24.36,24.36,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.36,24.36,24.36,0.0,0.0
2018-07-22,24.73,24.73,24.73,0.0,0.0,24.86,24.86,24.86,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.6,24.6,24.6,0.0,0.0
2018-07-29,24.84,24.84,24.84,0.0,0.0,24.95,24.95,24.95,0.0,0.0,24.74,24.74,24.74,0.0,0.0,24.74,24.74,24.74,0.0,0.0
2018-08-05,24.17,24.17,24.17,0.0,0.0,24.19,24.19,24.19,0.0,0.0,24.03,24.03,24.03,0.0,0.0,24.03,24.03,24.03,0.0,0.0
2018-08-12,23.36,23.36,23.36,0.0,0.0,23.75,23.75,23.75,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.63,23.63,23.63,0.0,0.0
2018-08-19,24.23,24.23,24.23,0.0,0.0,24.23,24.23,24.23,0.0,0.0,23.99,23.99,23.99,0.0,0.0,24.16,24.16,24.16,0.0,0.0
2018-08-26,23.97,23.97,23.97,0.0,0.0,24.12,24.12,24.12,0.0,0.0,23.88,23.88,23.88,0.0,0.0,23.94,23.94,23.94,0.0,0.0
2018-09-02,23.5,23.5,23.5,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.28,23.28,23.28,0.0,0.0,23.28,23.28,23.28,0.0,0.0
2018-09-09,23.84,23.84,23.84,0.0,0.0,23.84,23.84,23.84,0.0,0.0,23.63,23.63,23.63,0.0,0.0,23.74,23.74,23.74,0.0,0.0
