Date,PACD_Open_average,PACD_Open_max,PACD_Open_min,PACD_Open_volatility,PACD_Open_change,PACD_High_average,PACD_High_max,PACD_High_min,PACD_High_volatility,PACD_High_change,PACD_Low_average,PACD_Low_max,PACD_Low_min,PACD_Low_volatility,PACD_Low_change,PACD_Close_average,PACD_Close_max,PACD_Close_min,PACD_Close_volatility,PACD_Close_change,PACD_Volume_average,PACD_Volume_max,PACD_Volume_min,PACD_Volume_volatility,PACD_Volume_change
2018-01-14,8780.0,9100.0,8300.0,800.0,-300.0,9245.0,9600.0,9000.0,600.0,0.0,8520.0,9100.0,7700.0,1400.0,600.0,9108.0,9500.0,8740.0,760.0,-260.0,3,5,1,4,-2
2018-01-21,9128.0,10500.0,8500.0,2000.0,1760.0,9800.0,10500.0,9300.0,1200.0,700.0,8712.0,9200.0,8300.0,900.0,460.0,9178.0,10000.0,8590.0,1410.0,200.0,2484,6262,3,6259,6259
2018-01-28,8950.0,9350.0,8700.0,650.0,-200.0,9416.8,10000.0,8884.0,1116.0,-850.0,8800.0,9000.0,8700.0,300.0,-200.0,8916.0,9150.0,8700.0,450.0,-154.0,4742,7555,1,7554,6297
2018-02-04,7960.0,8800.0,7300.0,1500.0,-1300.0,8273.0,8800.0,7500.0,1300.0,-300.0,7494.0,8070.0,7000.0,1070.0,-570.0,7896.0,8500.0,7400.0,1100.0,400.0,564,2817,1,2816,2816
2018-02-11,7250.0,8500.0,6200.0,2300.0,-2300.0,7516.1,8500.0,6564.4,1935.6000000000004,-1935.6000000000004,6825.0,8500.0,6100.0,2400.0,-2300.0,7162.5,8500.0,6500.0,2000.0,-2000.0,567,1764,2,1762,1264
2018-02-18,6622.6,6900.0,6200.0,700.0,-389.60000000000036,7227.5,8590.0,6540.0,2050.0,1690.0,6282.6,6510.4,6200.0,310.39999999999964,310.39999999999964,6802.5,8590.0,6200.0,2390.0,2390.0,1969,5663,2,5661,0
2018-02-25,6415.0,7200.0,5800.0,1400.0,0.0,6845.0,8450.0,6000.0,2450.0,500.0,5763.6,6000.0,5218.0,782.0,-582.0,6130.0,6500.0,5850.0,650.0,650.0,2168,5665,1,5664,-2704
2018-03-04,5700.0,6000.0,5250.0,750.0,-750.0,6270.0,7100.0,6000.0,1100.0,0.0,5400.0,6000.0,5250.0,750.0,0.0,6000.0,6000.0,6000.0,0.0,0.0,3264,7446,1,7445,4175
2018-03-11,6300.0,6500.0,6000.0,500.0,500.0,6430.0,6500.0,6150.0,350.0,350.0,6300.0,6500.0,6000.0,500.0,500.0,6430.0,6500.0,6150.0,350.0,350.0,2390,3221,526,2695,-1846
2018-03-18,6400.0,6500.0,6000.0,500.0,-500.0,6560.0,6950.0,6350.0,600.0,-150.0,6300.0,6500.0,5500.0,1000.0,-1000.0,6300.0,6500.0,5500.0,1000.0,-1000.0,3190,8333,1,8332,-8330
2018-03-25,5479.5,6000.0,5100.0,900.0,-900.0,5718.75,6000.0,5175.0,825.0,-825.0,5317.0,5700.0,5100.0,600.0,-600.0,5475.0,5700.0,5100.0,600.0,-600.0,3507,9748,1,9747,4275
2018-04-01,3280.0,4600.0,2400.0,2200.0,-2200.0,3600.0,5000.0,3000.0,2000.0,-1800.0,2740.0,3300.0,2400.0,900.0,-900.0,3000.0,3500.0,2500.0,1000.0,-300.0,10,32,2,30,24
