Date,AEIS_Open_average,AEIS_Open_max,AEIS_Open_min,AEIS_Open_volatility,AEIS_Open_change,AEIS_High_average,AEIS_High_max,AEIS_High_min,AEIS_High_volatility,AEIS_High_change,AEIS_Low_average,AEIS_Low_max,AEIS_Low_min,AEIS_Low_volatility,AEIS_Low_change,AEIS_Close_average,AEIS_Close_max,AEIS_Close_min,AEIS_Close_volatility,AEIS_Close_change,AEIS_Volume_average,AEIS_Volume_max,AEIS_Volume_min,AEIS_Volume_volatility,AEIS_Volume_change
2018-01-14,74.536,77.33,71.93,5.3999999999999915,5.3999999999999915,75.962,77.75,72.59,5.159999999999997,5.069999999999993,73.996,76.27,71.18,5.089999999999989,5.089999999999989,75.316,77.53,71.84,5.689999999999998,4.780000000000001,567572,654845,440768,214077,68946
2018-01-21,75.334,77.18,72.86,4.320000000000007,-3.480000000000004,75.884,77.99,73.75,4.239999999999995,-3.569999999999993,73.23,76.18,71.81,4.3700000000000045,-4.3700000000000045,74.354,77.1,72.09,5.009999999999991,-2.9399999999999977,403116,481668,324019,157649,157649
2018-01-28,71.312,72.75,68.48,4.269999999999996,-4.25,73.258,75.5,69.8,5.700000000000003,-4.590000000000003,69.338,71.88,65.65,6.22999999999999,-6.22999999999999,70.378,72.82,66.0,6.819999999999993,-6.25,598436,769882,423516,346366,144338
2018-02-04,64.874,66.56,63.55,3.010000000000005,0.8900000000000006,66.28,67.59,65.27,2.3200000000000074,-1.7999999999999972,63.244,64.5,61.97,2.530000000000001,0.8299999999999983,64.774,67.03,62.4,4.630000000000003,-1.8700000000000045,580779,719300,481140,238160,-108768
2018-02-11,65.41,66.44,63.89,2.549999999999997,1.4099999999999966,66.3475,67.35,65.07,2.280000000000001,2.280000000000001,64.3725,65.54,63.47,2.0700000000000074,2.0700000000000074,65.58,66.66,64.36,2.299999999999997,1.2000000000000028,401356,470052,297033,173019,5997
2018-02-18,66.91199999999999,67.66,65.01,2.6499999999999915,2.1999999999999886,67.924,68.46,67.41,1.0499999999999972,-0.5899999999999892,66.076,66.87,64.88,1.990000000000009,1.9399999999999977,67.164,67.51,66.49,1.0200000000000102,0.19000000000001194,419551,549798,302846,246952,-186616
2018-02-25,66.69800000000001,67.62,65.43,2.1899999999999977,-0.9100000000000108,67.736,68.35,67.2,1.1499999999999915,-0.5099999999999909,65.94,66.7,65.1,1.6000000000000085,-0.23000000000000398,66.636,67.09,66.12,0.9699999999999989,0.39000000000000057,428331,796198,255917,540281,-338761
2018-03-04,69.814,72.02,67.47,4.549999999999997,4.549999999999997,71.31400000000001,72.67,70.29,2.3799999999999955,2.3799999999999955,69.364,70.96,67.2,3.759999999999991,3.759999999999991,70.55799999999999,71.66,69.89,1.769999999999996,0.9200000000000017,369137,473007,248694,224313,-224313
2018-03-11,70.728,71.41,70.28,1.1299999999999955,-1.0100000000000051,71.438,72.43,70.39,2.0400000000000063,-2.0400000000000063,69.566,70.05,68.33,1.7199999999999989,-1.7199999999999989,70.382,71.54,69.47,2.0700000000000074,-0.7800000000000011,466434,695858,285333,410525,-124085
2018-03-18,68.076,69.48,64.92,4.560000000000002,-4.560000000000002,69.176,71.25,66.36,4.890000000000001,-3.5600000000000023,66.748,69.13,63.69,5.439999999999998,-4.459999999999994,67.342,69.93,63.72,6.210000000000008,-2.8599999999999994,368187,451079,255852,195227,195227
2018-03-25,63.9,66.32,62.94,3.3799999999999955,-2.9399999999999906,64.745,66.98,63.29,3.690000000000005,-3.200000000000003,61.545,62.63,60.06,2.5700000000000003,-2.5700000000000003,62.442499999999995,63.9,60.54,3.3599999999999994,-2.469999999999999,376294,572758,271600,301158,239534
