Date,ProShares RAFI LongShort_Open_average,ProShares RAFI LongShort_Open_max,ProShares RAFI LongShort_Open_min,ProShares RAFI LongShort_Open_volatility,ProShares RAFI LongShort_Open_change,ProShares RAFI LongShort_High_average,ProShares RAFI LongShort_High_max,ProShares RAFI LongShort_High_min,ProShares RAFI LongShort_High_volatility,ProShares RAFI LongShort_High_change,ProShares RAFI LongShort_Low_average,ProShares RAFI LongShort_Low_max,ProShares RAFI LongShort_Low_min,ProShares RAFI LongShort_Low_volatility,ProShares RAFI LongShort_Low_change,ProShares RAFI LongShort_Close_average,ProShares RAFI LongShort_Close_max,ProShares RAFI LongShort_Close_min,ProShares RAFI LongShort_Close_volatility,ProShares RAFI LongShort_Close_change
2018-01-14,37.32,37.32,37.32,0.0,0.0,37.43,37.43,37.43,0.0,0.0,37.29,37.29,37.29,0.0,0.0,37.43,37.43,37.43,0.0,0.0
2018-01-21,37.28,37.28,37.28,0.0,0.0,37.29,37.29,37.29,0.0,0.0,37.25,37.25,37.25,0.0,0.0,37.25,37.25,37.25,0.0,0.0
2018-01-28,37.2,37.2,37.2,0.0,0.0,37.2,37.2,37.2,0.0,0.0,37.09,37.09,37.09,0.0,0.0,37.18,37.18,37.18,0.0,0.0
2018-02-04,37.02,37.02,37.02,0.0,0.0,37.11,37.11,37.11,0.0,0.0,37.02,37.02,37.02,0.0,0.0,37.11,37.11,37.11,0.0,0.0
2018-02-11,36.87,36.87,36.87,0.0,0.0,37.06,37.06,37.06,0.0,0.0,36.86,36.86,36.86,0.0,0.0,36.9,36.9,36.9,0.0,0.0
2018-02-18,36.75,36.75,36.75,0.0,0.0,36.82,36.82,36.82,0.0,0.0,36.75,36.75,36.75,0.0,0.0,36.82,36.82,36.82,0.0,0.0
2018-02-25,36.72,36.72,36.72,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.7,36.7,36.7,0.0,0.0
2018-03-04,36.7,36.7,36.7,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.52,36.52,36.52,0.0,0.0,36.53,36.53,36.53,0.0,0.0
2018-03-11,36.52,36.52,36.52,0.0,0.0,36.67,36.67,36.67,0.0,0.0,36.48,36.48,36.48,0.0,0.0,36.61,36.61,36.61,0.0,0.0
2018-03-18,37.0,37.0,37.0,0.0,0.0,37.06,37.06,37.06,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.59,36.59,36.59,0.0,0.0
