Date,RCEL_Open_average,RCEL_Open_max,RCEL_Open_min,RCEL_Open_volatility,RCEL_Open_change,RCEL_High_average,RCEL_High_max,RCEL_High_min,RCEL_High_volatility,RCEL_High_change,RCEL_Low_average,RCEL_Low_max,RCEL_Low_min,RCEL_Low_volatility,RCEL_Low_change,RCEL_Close_average,RCEL_Close_max,RCEL_Close_min,RCEL_Close_volatility,RCEL_Close_change,RCEL_Volume_average,RCEL_Volume_max,RCEL_Volume_min,RCEL_Volume_volatility,RCEL_Volume_change
2018-01-14,0.902,0.93,0.85,0.08000000000000007,0.08000000000000007,0.92,0.93,0.91,0.020000000000000018,0.020000000000000018,0.888,0.91,0.85,0.06000000000000005,0.050000000000000044,0.908,0.93,0.89,0.040000000000000036,0.040000000000000036,8039,11600,2650,8950,-8950
2018-01-21,0.906,0.96,0.89,0.06999999999999995,0.06999999999999995,0.914,0.96,0.89,0.06999999999999995,0.05999999999999994,0.868,0.88,0.85,0.030000000000000027,0.0,0.886,0.9,0.87,0.030000000000000027,0.0,14300,30700,2200,28500,-20201
2018-01-28,1.0,1.06,0.93,0.13,0.13,1.026,1.07,0.97,0.10000000000000009,0.07000000000000006,0.9580000000000001,1.04,0.92,0.12,-0.010000000000000009,0.998,1.04,0.95,0.09000000000000008,-0.040000000000000036,34603,60097,9790,50307,-20303
2018-02-04,0.964,1.0,0.92,0.07999999999999996,0.040000000000000036,0.992,1.05,0.94,0.1100000000000001,0.040000000000000036,0.952,1.0,0.92,0.07999999999999996,0.050000000000000044,0.988,1.05,0.94,0.1100000000000001,0.040000000000000036,33703,104834,4699,100135,100135
2018-02-11,1.1325,1.24,1.07,0.16999999999999993,-0.16999999999999993,1.1375,1.25,1.07,0.17999999999999994,-0.17999999999999994,1.0525,1.07,1.03,0.040000000000000036,-0.020000000000000018,1.1075,1.19,1.05,0.1399999999999999,-0.1399999999999999,145368,276576,53430,223146,-223146
2018-02-18,1.016,1.07,0.96,0.1100000000000001,-0.020000000000000018,1.046,1.07,1.02,0.050000000000000044,-0.020000000000000018,0.988,1.03,0.95,0.08000000000000007,-0.030000000000000027,1.028,1.05,1.01,0.040000000000000036,-0.010000000000000009,71032,142203,38049,104154,27411
2018-02-25,0.962,0.99,0.92,0.06999999999999995,-0.06999999999999995,0.972,1.01,0.95,0.06000000000000005,-0.06000000000000005,0.932,0.98,0.9,0.07999999999999996,-0.06999999999999995,0.946,1.0,0.91,0.08999999999999997,-0.08999999999999997,38497,80365,10600,69765,-56010
2018-03-04,0.938,0.96,0.9,0.05999999999999994,0.04999999999999993,0.954,0.97,0.92,0.04999999999999993,0.04999999999999993,0.926,0.95,0.9,0.04999999999999993,0.039999999999999925,0.95,0.97,0.92,0.04999999999999993,0.04999999999999993,38759,120560,8199,112361,98841
2018-03-11,0.97,0.99,0.96,0.030000000000000027,0.020000000000000018,0.98,0.99,0.97,0.020000000000000018,0.020000000000000018,0.938,0.96,0.91,0.04999999999999993,0.0,0.97,0.99,0.94,0.050000000000000044,0.040000000000000036,83904,201625,28442,173183,-17384
2018-03-18,0.962,0.98,0.93,0.04999999999999993,-0.020000000000000018,0.974,0.98,0.96,0.020000000000000018,-0.020000000000000018,0.938,0.96,0.92,0.039999999999999925,-0.029999999999999916,0.96,0.98,0.94,0.040000000000000036,-0.020000000000000018,58968,105140,22350,82790,12924
