Date,Barclays Inverse US Treasury Aggregate_Open_average,Barclays Inverse US Treasury Aggregate_Open_max,Barclays Inverse US Treasury Aggregate_Open_min,Barclays Inverse US Treasury Aggregate_Open_volatility,Barclays Inverse US Treasury Aggregate_Open_change,Barclays Inverse US Treasury Aggregate_High_average,Barclays Inverse US Treasury Aggregate_High_max,Barclays Inverse US Treasury Aggregate_High_min,Barclays Inverse US Treasury Aggregate_High_volatility,Barclays Inverse US Treasury Aggregate_High_change,Barclays Inverse US Treasury Aggregate_Low_average,Barclays Inverse US Treasury Aggregate_Low_max,Barclays Inverse US Treasury Aggregate_Low_min,Barclays Inverse US Treasury Aggregate_Low_volatility,Barclays Inverse US Treasury Aggregate_Low_change,Barclays Inverse US Treasury Aggregate_Close_average,Barclays Inverse US Treasury Aggregate_Close_max,Barclays Inverse US Treasury Aggregate_Close_min,Barclays Inverse US Treasury Aggregate_Close_volatility,Barclays Inverse US Treasury Aggregate_Close_change
2018-01-14,24.32,24.32,24.32,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.25,24.25,24.25,0.0,0.0,24.29,24.29,24.29,0.0,0.0
2018-01-21,25.8,25.8,25.8,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2018-01-28,27.62,27.62,27.62,0.0,0.0,27.93,27.93,27.93,0.0,0.0,23.36,23.36,23.36,0.0,0.0,25.55,25.55,25.55,0.0,0.0
2018-02-04,27.52,27.52,27.52,0.0,0.0,27.93,27.93,27.93,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.69,27.69,27.69,0.0,0.0
2018-02-11,26.87,26.87,26.87,0.0,0.0,26.87,26.87,26.87,0.0,0.0,26.87,26.87,26.87,0.0,0.0,26.87,26.87,26.87,0.0,0.0
2018-02-18,27.7,27.7,27.7,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.6,27.6,27.6,0.0,0.0
2018-02-25,28.14,28.14,28.14,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.13,28.13,28.13,0.0,0.0,28.35,28.35,28.35,0.0,0.0
2018-03-04,28.64,28.64,28.64,0.0,0.0,28.64,28.64,28.64,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.6,27.6,27.6,0.0,0.0
2018-03-11,27.58,27.58,27.58,0.0,0.0,28.12,28.12,28.12,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.69,27.69,27.69,0.0,0.0
2018-03-18,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.26,26.26,26.26,0.0,0.0,26.86,26.86,26.86,0.0,0.0
2018-03-25,25.77,25.77,25.77,0.0,0.0,25.77,25.77,25.77,0.0,0.0,24.96,24.96,24.96,0.0,0.0,24.96,24.96,24.96,0.0,0.0
2018-04-01,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0
2018-04-08,25.33,25.33,25.33,0.0,0.0,25.33,25.33,25.33,0.0,0.0,25.33,25.33,25.33,0.0,0.0,25.33,25.33,25.33,0.0,0.0
2018-04-15,28.5,28.5,28.5,0.0,0.0,28.99,28.99,28.99,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.45,28.45,28.45,0.0,0.0
2018-04-22,28.36,28.36,28.36,0.0,0.0,28.36,28.36,28.36,0.0,0.0,28.36,28.36,28.36,0.0,0.0,28.36,28.36,28.36,0.0,0.0
2018-04-29,27.29,27.29,27.29,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.29,27.29,27.29,0.0,0.0,27.32,27.32,27.32,0.0,0.0
2018-05-06,28.0,28.0,28.0,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.54,28.54,28.54,0.0,0.0
2018-05-13,29.7,29.7,29.7,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.6,29.6,29.6,0.0,0.0
2018-05-20,28.15,28.15,28.15,0.0,0.0,28.35,28.35,28.35,0.0,0.0,27.43,27.43,27.43,0.0,0.0,28.35,28.35,28.35,0.0,0.0
2018-05-27,27.0,27.0,27.0,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.24,27.24,27.24,0.0,0.0
2018-06-03,27.8,27.8,27.8,0.0,0.0,28.22,28.22,28.22,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.7,27.7,27.7,0.0,0.0
2018-06-10,26.64,26.64,26.64,0.0,0.0,26.73,26.73,26.73,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.57,26.57,26.57,0.0,0.0
2018-06-17,26.17,26.17,26.17,0.0,0.0,26.17,26.17,26.17,0.0,0.0,26.12,26.12,26.12,0.0,0.0,26.12,26.12,26.12,0.0,0.0
2018-06-24,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.18,25.18,25.18,0.0,0.0
2018-07-01,25.74,25.74,25.74,0.0,0.0,25.95,25.95,25.95,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.95,25.95,25.95,0.0,0.0
2018-07-08,25.06,25.06,25.06,0.0,0.0,25.06,25.06,25.06,0.0,0.0,25.06,25.06,25.06,0.0,0.0,25.06,25.06,25.06,0.0,0.0
2018-07-15,26.73,26.73,26.73,0.0,0.0,27.54,27.54,27.54,0.0,0.0,26.73,26.73,26.73,0.0,0.0,27.54,27.54,27.54,0.0,0.0
2018-07-22,27.85,27.85,27.85,0.0,0.0,28.18,28.18,28.18,0.0,0.0,27.85,27.85,27.85,0.0,0.0,28.18,28.18,28.18,0.0,0.0
2018-07-29,27.42,27.42,27.42,0.0,0.0,27.42,27.42,27.42,0.0,0.0,27.42,27.42,27.42,0.0,0.0,27.42,27.42,27.42,0.0,0.0
2018-08-05,26.23,26.23,26.23,0.0,0.0,26.53,26.53,26.53,0.0,0.0,26.11,26.11,26.11,0.0,0.0,26.11,26.11,26.11,0.0,0.0
2018-08-12,25.62,25.62,25.62,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.53,25.53,25.53,0.0,0.0
2018-08-19,25.68,25.68,25.68,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2018-08-26,25.93,25.93,25.93,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.93,25.93,25.93,0.0,0.0
2018-09-02,27.0,27.0,27.0,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.72,27.72,27.72,0.0,0.0
2018-09-09,27.9,27.9,27.9,0.0,0.0,28.09,28.09,28.09,0.0,0.0,27.9,27.9,27.9,0.0,0.0,28.09,28.09,28.09,0.0,0.0
2018-09-16,29.18,29.18,29.18,0.0,0.0,29.18,29.18,29.18,0.0,0.0,29.18,29.18,29.18,0.0,0.0,29.18,29.18,29.18,0.0,0.0
2018-09-23,29.37,29.37,29.37,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.21,29.21,29.21,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2018-09-30,32.46,32.46,32.46,0.0,0.0,32.51,32.51,32.51,0.0,0.0,31.78,31.78,31.78,0.0,0.0,32.04,32.04,32.04,0.0,0.0
2018-10-07,30.53,30.53,30.53,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.65,30.65,30.65,0.0,0.0
2018-10-14,31.53,31.53,31.53,0.0,0.0,32.13,32.13,32.13,0.0,0.0,31.53,31.53,31.53,0.0,0.0,32.12,32.12,32.12,0.0,0.0
2018-10-21,30.66,30.66,30.66,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2018-10-28,32.67,32.67,32.67,0.0,0.0,32.67,32.67,32.67,0.0,0.0,31.82,31.82,31.82,0.0,0.0,32.0,32.0,32.0,0.0,0.0
2018-11-04,31.17,31.17,31.17,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.17,31.17,31.17,0.0,0.0
2018-11-11,30.1,30.1,30.1,0.0,0.0,30.1,30.1,30.1,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.57,29.57,29.57,0.0,0.0
2018-11-18,29.85,29.85,29.85,0.0,0.0,29.85,29.85,29.85,0.0,0.0,29.42,29.42,29.42,0.0,0.0,29.42,29.42,29.42,0.0,0.0
2018-11-25,28.91,28.91,28.91,0.0,0.0,28.95,28.95,28.95,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2018-12-02,26.14,26.14,26.14,0.0,0.0,26.24,26.24,26.24,0.0,0.0,25.76,25.76,25.76,0.0,0.0,26.24,26.24,26.24,0.0,0.0
2018-12-09,26.19,26.19,26.19,0.0,0.0,26.27,26.27,26.27,0.0,0.0,26.06,26.06,26.06,0.0,0.0,26.06,26.06,26.06,0.0,0.0
2018-12-16,24.39,24.39,24.39,0.0,0.0,24.39,24.39,24.39,0.0,0.0,24.39,24.39,24.39,0.0,0.0,24.39,24.39,24.39,0.0,0.0
2018-12-23,23.13,23.13,23.13,0.0,0.0,23.51,23.51,23.51,0.0,0.0,23.13,23.13,23.13,0.0,0.0,23.51,23.51,23.51,0.0,0.0
