Date,FlexShares US Quality Large Cap_Open_average,FlexShares US Quality Large Cap_Open_max,FlexShares US Quality Large Cap_Open_volatility,FlexShares US Quality Large Cap_Open_change,FlexShares US Quality Large Cap_High_average,FlexShares US Quality Large Cap_High_max,FlexShares US Quality Large Cap_High_volatility,FlexShares US Quality Large Cap_High_change,FlexShares US Quality Large Cap_Low_average,FlexShares US Quality Large Cap_Low_max,FlexShares US Quality Large Cap_Low_volatility,FlexShares US Quality Large Cap_Low_change,FlexShares US Quality Large Cap_Close_average,FlexShares US Quality Large Cap_Close_max,FlexShares US Quality Large Cap_Close_volatility,FlexShares US Quality Large Cap_Close_change
2016-01-03,24.83,24.83,0.0,0.0,24.83,24.83,0.0,0.0,24.48,24.48,0.0,0.0,24.48,24.48,0.0,0.0
2016-01-10,24.5,24.5,0.0,0.0,24.5,24.5,0.0,0.0,24.46,24.46,0.0,0.0,24.46,24.46,0.0,0.0
2016-01-17,23.71,23.71,0.0,0.0,23.85,23.85,0.0,0.0,23.71,23.71,0.0,0.0,23.79,23.79,0.0,0.0
2016-01-24,24.46,24.46,0.0,0.0,24.46,24.46,0.0,0.0,24.46,24.46,0.0,0.0,24.46,24.46,0.0,0.0
2016-01-31,23.5,23.5,0.0,0.0,23.5,23.5,0.0,0.0,23.49,23.49,0.0,0.0,23.49,23.49,0.0,0.0
2016-02-07,24.1,24.1,0.0,0.0,24.1,24.1,0.0,0.0,24.1,24.1,0.0,0.0,24.1,24.1,0.0,0.0
2016-02-14,24.27,24.27,0.0,0.0,24.31,24.31,0.0,0.0,24.26,24.26,0.0,0.0,24.31,24.31,0.0,0.0
2016-02-21,24.57,24.57,0.0,0.0,24.57,24.57,0.0,0.0,24.57,24.57,0.0,0.0,24.57,24.57,0.0,0.0
2016-02-28,25.13,25.13,0.0,0.0,25.17,25.17,0.0,0.0,25.13,25.13,0.0,0.0,25.17,25.17,0.0,0.0
2016-03-06,25.48,25.48,0.0,0.0,25.5,25.5,0.0,0.0,25.48,25.48,0.0,0.0,25.5,25.5,0.0,0.0
2016-03-13,25.7,25.7,0.0,0.0,25.7,25.7,0.0,0.0,25.7,25.7,0.0,0.0,25.7,25.7,0.0,0.0
2016-03-20,25.55,25.55,0.0,0.0,25.55,25.55,0.0,0.0,25.55,25.55,0.0,0.0,25.55,25.55,0.0,0.0
2016-03-27,25.8,25.8,0.0,0.0,25.8,25.8,0.0,0.0,25.8,25.8,0.0,0.0,25.8,25.8,0.0,0.0
2016-04-03,25.7,25.7,0.0,0.0,25.7,25.7,0.0,0.0,25.53,25.53,0.0,0.0,25.53,25.53,0.0,0.0
2016-04-10,26.15,26.15,0.0,0.0,26.15,26.15,0.0,0.0,26.15,26.15,0.0,0.0,26.15,26.15,0.0,0.0
2016-04-17,26.18,26.18,0.0,0.0,26.18,26.18,0.0,0.0,26.18,26.18,0.0,0.0,26.18,26.18,0.0,0.0
2016-04-24,26.34,26.34,0.0,0.0,26.34,26.34,0.0,0.0,26.26,26.26,0.0,0.0,26.26,26.26,0.0,0.0
2016-05-01,25.65,25.65,0.0,0.0,25.65,25.65,0.0,0.0,25.64,25.64,0.0,0.0,25.64,25.64,0.0,0.0
2016-05-08,25.51,25.51,0.0,0.0,25.51,25.51,0.0,0.0,25.51,25.51,0.0,0.0,25.51,25.51,0.0,0.0
2016-05-15,25.39,25.39,0.0,0.0,25.5,25.5,0.0,0.0,25.39,25.39,0.0,0.0,25.45,25.45,0.0,0.0
2016-05-22,26.02,26.02,0.0,0.0,26.05,26.05,0.0,0.0,26.01,26.01,0.0,0.0,26.01,26.01,0.0,0.0
2016-05-29,26.16,26.16,0.0,0.0,26.23,26.23,0.0,0.0,26.16,26.16,0.0,0.0,26.23,26.23,0.0,0.0
2016-06-05,25.8,25.8,0.0,0.0,25.8,25.8,0.0,0.0,25.8,25.8,0.0,0.0,25.8,25.8,0.0,0.0
2016-06-12,25.89,25.89,0.0,0.0,25.89,25.89,0.0,0.0,25.89,25.89,0.0,0.0,25.89,25.89,0.0,0.0
2016-06-19,24.6,24.6,0.0,0.0,24.6,24.6,0.0,0.0,24.54,24.54,0.0,0.0,24.54,24.54,0.0,0.0
2016-06-26,25.67,25.67,0.0,0.0,25.67,25.67,0.0,0.0,25.67,25.67,0.0,0.0,25.67,25.67,0.0,0.0
