Date,GMO_stock_Open_average,GMO_stock_Open_max,GMO_stock_Open_min,GMO_stock_Open_volatility,GMO_stock_Open_change,GMO_stock_High_average,GMO_stock_High_max,GMO_stock_High_min,GMO_stock_High_volatility,GMO_stock_High_change,GMO_stock_Low_average,GMO_stock_Low_max,GMO_stock_Low_min,GMO_stock_Low_volatility,GMO_stock_Low_change,GMO_stock_Close_average,GMO_stock_Close_max,GMO_stock_Close_min,GMO_stock_Close_volatility,GMO_stock_Close_change,GMO_stock_Volume_average,GMO_stock_Volume_max,GMO_stock_Volume_min,GMO_stock_Volume_volatility,GMO_stock_Volume_change
2018-01-14,0.38025,0.39,0.371,0.019000000000000017,-0.010000000000000009,0.38125,0.39,0.371,0.019000000000000017,-0.010000000000000009,0.36724999999999997,0.375,0.36,0.015000000000000013,-0.01100000000000001,0.37525000000000003,0.39,0.36,0.030000000000000027,-0.01799999999999996,50145,107325,18156,89169,-66407
2018-01-21,0.3966,0.42,0.36200000000000004,0.05799999999999994,0.043999999999999984,0.4098,0.425,0.376,0.04899999999999999,0.04899999999999999,0.3874,0.41200000000000003,0.36200000000000004,0.04999999999999999,0.04200000000000004,0.401,0.424,0.374,0.04999999999999999,0.04999999999999999,40396,94526,7505,87021,36964
2018-01-28,0.3974,0.425,0.377,0.04799999999999999,-0.026000000000000023,0.4132,0.425,0.396,0.02899999999999997,0.0,0.38,0.391,0.365,0.026000000000000023,-0.026000000000000023,0.38780000000000003,0.396,0.377,0.019000000000000017,0.0040000000000000036,33254,65514,6103,59411,1934
2018-02-04,0.385,0.39799999999999996,0.379,0.01899999999999996,-0.01899999999999996,0.3964,0.425,0.379,0.045999999999999985,-0.045999999999999985,0.3664,0.375,0.342,0.032999999999999974,-0.02799999999999997,0.37720000000000004,0.4,0.35200000000000004,0.04799999999999999,-0.04799999999999999,28739,52291,1652,50639,-10854
2018-02-11,0.3664,0.38,0.35200000000000004,0.02799999999999997,0.020000000000000018,0.3862,0.39899999999999997,0.37799999999999995,0.02100000000000002,0.01899999999999996,0.3628,0.377,0.35,0.027000000000000024,0.027000000000000024,0.3724,0.39,0.36,0.030000000000000027,0.01799999999999996,6052,11173,3603,7570,936
2018-02-18,0.3855,0.396,0.37799999999999995,0.01800000000000007,0.0,0.39525,0.39899999999999997,0.39,0.008999999999999952,0.002999999999999947,0.36875,0.373,0.36200000000000004,0.010999999999999954,0.0030000000000000027,0.38375000000000004,0.39,0.371,0.019000000000000017,-0.0050000000000000044,34814,58019,11952,46067,46067
2018-02-25,0.4032,0.433,0.385,0.04799999999999999,0.03699999999999998,0.42579999999999996,0.45399999999999996,0.41,0.043999999999999984,0.033999999999999975,0.3986,0.43,0.385,0.044999999999999984,0.034999999999999976,0.4056,0.43,0.39299999999999996,0.03700000000000003,0.02999999999999997,35978,80178,14536,65642,-2915
2018-03-04,0.434,0.44,0.425,0.015000000000000013,0.0,0.447,0.45,0.44,0.010000000000000009,0.0,0.4302,0.433,0.425,0.008000000000000007,0.0009999999999999454,0.4342,0.44,0.42700000000000005,0.012999999999999956,0.0050000000000000044,45403,56346,23189,33157,-3795
2018-03-11,0.4264,0.44,0.41,0.030000000000000027,-0.014000000000000012,0.4426,0.445,0.43799999999999994,0.007000000000000062,-0.007000000000000062,0.4138,0.431,0.40700000000000003,0.023999999999999966,-0.02100000000000002,0.4236,0.445,0.41,0.03500000000000003,-0.02799999999999997,50843,92889,8212,84677,-18894
2018-03-18,0.4264,0.434,0.42,0.014000000000000012,0.0040000000000000036,0.43479999999999996,0.44,0.43,0.010000000000000009,-0.007999999999999952,0.4088,0.413,0.4,0.012999999999999956,0.009999999999999953,0.4316,0.44,0.42,0.020000000000000018,-0.01799999999999996,66589,96878,8210,88668,-75381
2018-03-25,0.387,0.401,0.37,0.031000000000000028,-0.031000000000000028,0.3975,0.42,0.38,0.03999999999999998,-0.02999999999999997,0.3735,0.384,0.36,0.02400000000000002,-0.014000000000000012,0.37975000000000003,0.391,0.368,0.02300000000000002,-0.01100000000000001,30862,60714,11165,49549,-49549
2018-04-01,0.3928,0.397,0.38299999999999995,0.014000000000000068,0.003000000000000058,0.3964,0.39899999999999997,0.38799999999999996,0.01100000000000001,-0.0019999999999999463,0.3708,0.38,0.365,0.015000000000000013,-0.01100000000000001,0.3882,0.39,0.38299999999999995,0.007000000000000062,0.0,12764,26140,1256,24884,10660
2018-04-08,0.3894,0.39899999999999997,0.382,0.01699999999999996,0.008999999999999952,0.403,0.415,0.39,0.024999999999999967,0.015000000000000013,0.3732,0.37799999999999995,0.365,0.012999999999999956,0.002999999999999947,0.392,0.405,0.382,0.02300000000000002,-0.008000000000000007,26851,91751,1316,90435,8427
2018-04-15,0.3846,0.39799999999999996,0.377,0.020999999999999963,-0.0030000000000000027,0.3932,0.4,0.38,0.020000000000000018,-0.020000000000000018,0.3744,0.38,0.36,0.020000000000000018,-0.020000000000000018,0.3778,0.385,0.37,0.015000000000000013,-0.01200000000000001,22543,50156,1923,48233,22779
2018-04-22,0.3726,0.37799999999999995,0.368,0.009999999999999953,-0.005999999999999894,0.3766,0.38,0.371,0.009000000000000008,0.0010000000000000564,0.3616,0.368,0.35100000000000003,0.01699999999999996,-0.0030000000000000027,0.371,0.379,0.366,0.013000000000000012,0.0040000000000000036,11852,18005,4336,13669,-136
2018-04-29,0.3758,0.385,0.364,0.02100000000000002,0.02100000000000002,0.381,0.39,0.37,0.020000000000000018,0.015000000000000013,0.3676,0.371,0.36,0.01100000000000001,0.010000000000000009,0.3746,0.38,0.37,0.010000000000000009,0.0,10907,15513,6896,8617,-928
2018-05-06,0.3774,0.385,0.37200000000000005,0.012999999999999956,0.006000000000000005,0.38580000000000003,0.39,0.384,0.006000000000000005,0.0050000000000000044,0.3738,0.38,0.37,0.010000000000000009,0.006000000000000005,0.3794,0.39,0.37,0.020000000000000018,0.010000000000000009,7755,17246,1856,15390,-15390
2018-05-13,0.393,0.41,0.37,0.03999999999999998,0.03999999999999998,0.408,0.41,0.4,0.009999999999999953,0.0,0.391,0.4,0.37,0.030000000000000027,0.030000000000000027,0.402,0.41,0.39,0.019999999999999962,0.009999999999999953,23549,58522,5974,52548,-40363
2018-05-20,0.40399999999999997,0.41,0.392,0.01799999999999996,-0.01799999999999996,0.4098,0.41,0.409,0.0010000000000000009,0.0,0.39540000000000003,0.4,0.39,0.010000000000000009,-0.008000000000000007,0.4038,0.41,0.396,0.013999999999999957,0.0,18898,40472,6224,34248,-8262
2018-05-27,0.398,0.402,0.392,0.010000000000000009,0.00599999999999995,0.41,0.41,0.41,0.0,0.0,0.39625,0.4,0.392,0.008000000000000007,0.0030000000000000027,0.402,0.41,0.39799999999999996,0.01200000000000001,0.009999999999999953,16964,40131,5600,34531,32171
2018-06-03,0.40599999999999997,0.42,0.39,0.02999999999999997,0.009999999999999953,0.4218,0.43,0.41,0.020000000000000018,0.014000000000000012,0.40299999999999997,0.41,0.39,0.019999999999999962,0.010999999999999954,0.409,0.42,0.397,0.022999999999999965,0.010999999999999954,29119,61803,7412,54391,-2108
