Date,ELGX_Open_average,ELGX_Open_max,ELGX_Open_min,ELGX_Open_volatility,ELGX_Open_change,ELGX_High_average,ELGX_High_max,ELGX_High_min,ELGX_High_volatility,ELGX_High_change,ELGX_Low_average,ELGX_Low_max,ELGX_Low_min,ELGX_Low_volatility,ELGX_Low_change,ELGX_Close_average,ELGX_Close_max,ELGX_Close_min,ELGX_Close_volatility,ELGX_Close_change,ELGX_Volume_average,ELGX_Volume_max,ELGX_Volume_min,ELGX_Volume_volatility,ELGX_Volume_change
2018-01-14,43.64,46.4,42.4,4.0,-2.6999999999999957,44.02,46.6,42.7,3.8999999999999986,-2.8000000000000043,41.86,42.7,40.9,1.8000000000000043,0.3999999999999986,42.9,43.6,42.4,1.2000000000000028,0.7999999999999972,60816,90852,32448,58404,-58404
2018-01-21,43.440000000000005,43.7,43.1,0.6000000000000014,0.0,43.72,43.8,43.7,0.09999999999999432,0.09999999999999432,42.91,43.1,42.8,0.30000000000000426,0.15000000000000568,43.39,43.5,43.3,0.20000000000000284,0.10000000000000142,36377,48422,25991,22431,19296
2018-01-28,42.199999999999996,43.4,41.3,2.1000000000000014,-1.2999999999999972,43.26,43.8,42.5,1.2999999999999972,-0.19999999999999574,41.26,42.0,40.5,1.5,-0.7000000000000028,41.92,43.1,41.4,1.7000000000000028,-1.7000000000000028,63570,91437,43893,47544,21424
2018-02-04,41.0,41.3,40.5,0.7999999999999972,0.5999999999999943,42.46,43.3,41.7,1.5999999999999943,0.4000000000000057,40.58,41.3,40.0,1.2999999999999972,0.6999999999999957,41.32,42.1,40.8,1.3000000000000043,1.3000000000000043,63340,92573,35413,57160,-57160
2018-02-11,40.45,41.9,38.0,3.8999999999999986,-0.10000000000000142,42.45,43.4,41.2,2.1999999999999957,1.0,39.45,41.7,37.7,4.0,1.3000000000000043,40.9,43.2,37.9,5.300000000000004,2.8000000000000043,184709,406023,47256,358767,23997
2018-02-18,41.28,43.6,38.1,5.5,-2.700000000000003,43.260000000000005,44.95,41.0,3.950000000000003,-0.25,40.72,42.8,37.5,5.299999999999997,-2.0,42.22,43.8,40.45,3.3499999999999943,-0.29999999999999716,65539,100553,35425,65128,19933
2018-02-25,41.22,43.3,40.1,3.1999999999999957,-1.6999999999999957,42.18,44.2,41.4,2.8000000000000043,-2.200000000000003,40.38,40.9,40.0,0.8999999999999986,0.29999999999999716,40.92,41.5,40.2,1.2999999999999972,0.7999999999999972,53666,60699,42305,18394,-11379
2018-03-04,41.86,42.6,41.2,1.3999999999999986,1.1000000000000014,42.82,45.0,41.6,3.3999999999999986,3.299999999999997,41.38,42.3,40.5,1.7999999999999972,1.7999999999999972,42.42,44.9,41.3,3.6000000000000014,3.6000000000000014,41345,55784,35636,20148,-3605
2018-03-11,42.300000000000004,45.0,40.6,4.399999999999999,-2.8999999999999986,43.08,45.3,41.7,3.5999999999999943,-2.6999999999999957,40.86,42.2,40.0,2.200000000000003,-1.1000000000000014,41.58,42.6,40.6,2.0,-1.0,75928,112992,54122,58870,10733
2018-03-18,42.56,44.0,41.2,2.799999999999997,-2.799999999999997,43.542,44.71,41.7,3.009999999999998,-3.009999999999998,41.08,41.9,39.9,2.0,-1.3999999999999986,42.0,43.2,40.6,2.6000000000000014,-0.3999999999999986,40986,67277,30101,37176,-35905
2018-03-25,41.55,42.3,40.8,1.5,0.5,42.45,42.9,41.6,1.2999999999999972,0.3999999999999986,40.75,40.9,40.6,0.29999999999999716,-0.19999999999999574,41.375,42.3,40.8,1.5,-0.19999999999999574,31308,41215,27239,13976,12228
2018-04-01,41.76,43.2,40.3,2.9000000000000057,0.6999999999999957,43.1,44.2,41.9,2.3000000000000043,0.8999999999999986,41.04,42.0,40.2,1.7999999999999972,0.29999999999999716,41.94,43.5,40.7,2.799999999999997,0.6999999999999957,38803,60984,24986,35998,-10012
2018-04-08,41.96,42.5,41.5,1.0,-0.3999999999999986,42.728,43.0,42.29,0.7100000000000009,-0.46000000000000085,41.25,41.9,40.5,1.3999999999999986,-1.0500000000000043,41.64,42.3,40.7,1.5999999999999943,-1.5999999999999943,69817,194990,31269,163721,24435
2018-04-15,43.54,45.8,40.9,4.899999999999999,4.899999999999999,45.18,46.4,42.8,3.6000000000000014,3.1000000000000014,42.05,44.05,40.5,3.549999999999997,0.7000000000000028,43.65,46.0,41.35,4.649999999999999,-0.75,57286,77605,45724,31881,-9975
2018-04-22,42.22,42.9,41.2,1.6999999999999957,1.6999999999999957,43.019999999999996,43.4,42.6,0.7999999999999972,0.6000000000000014,41.57,42.1,40.6,1.5,0.8999999999999986,42.54,43.1,41.8,1.3000000000000043,1.3000000000000043,34880,51830,21967,29863,-4807
2018-04-29,43.18,43.8,42.5,1.2999999999999972,0.6999999999999957,45.44,47.9,44.0,3.8999999999999986,2.3999999999999986,42.7,43.2,42.3,0.9000000000000057,0.5,44.08,46.3,43.4,2.8999999999999986,2.5999999999999943,64876,101660,42272,59388,59388
2018-05-06,46.28,47.4,45.1,2.299999999999997,1.1999999999999957,47.57,48.7,45.85,2.8500000000000014,0.7000000000000028,45.22,47.2,44.1,3.1000000000000014,2.9000000000000057,46.519999999999996,48.0,44.8,3.200000000000003,3.200000000000003,43808,57071,31718,25353,-23655
2018-05-13,49.5,50.6,48.0,2.6000000000000014,2.5,51.09,53.0,48.85,4.149999999999999,4.149999999999999,48.74,50.4,47.4,3.0,3.0,50.06,51.8,48.7,3.0999999999999943,3.0999999999999943,46466,56746,39448,17298,8387
2018-05-20,53.3,54.5,52.0,2.5,2.5,55.575,57.4,54.2,3.1999999999999957,3.1999999999999957,52.775,53.4,51.55,1.8500000000000014,1.6500000000000057,54.45,56.5,53.4,3.1000000000000014,3.0,49021,53601,46390,7211,-1396
2018-05-27,55.98,56.4,55.3,1.1000000000000014,-0.9000000000000057,56.9,58.0,56.0,2.0,0.0,54.568,55.5,53.84,1.6599999999999966,-0.1599999999999966,55.96,56.4,55.2,1.1999999999999957,0.30000000000000426,78938,139400,49593,89807,18797
2018-06-03,59.06,60.7,56.4,4.300000000000004,4.300000000000004,61.46,63.3,60.4,2.8999999999999986,2.8999999999999986,58.2,60.1,56.3,3.8000000000000043,3.8000000000000043,60.14,61.4,58.6,2.799999999999997,2.799999999999997,55894,88652,30352,58300,-26766
2018-06-10,64.3,66.0,61.5,4.5,4.299999999999997,66.10000000000001,67.2,64.3,2.9000000000000057,2.4000000000000057,62.88,65.0,61.5,3.5,0.3999999999999986,64.68,66.3,63.4,2.8999999999999986,-0.3999999999999986,60761,101868,25773,76095,60666
2018-06-17,61.2,64.0,57.5,6.5,-4.700000000000003,61.9,64.2,58.3,5.900000000000006,-5.200000000000003,58.48,62.4,55.8,6.600000000000001,-5.300000000000004,59.92,64.0,56.7,7.299999999999997,-6.099999999999994,77799,124612,45936,78676,-31502
2018-06-24,57.62,58.4,56.5,1.8999999999999986,-0.3999999999999986,58.699999999999996,59.5,56.8,2.700000000000003,-2.700000000000003,56.14,56.7,55.2,1.5,-0.7999999999999972,57.62,58.5,56.5,2.0,-2.0,45500,59487,23799,35688,-27053
2018-07-01,56.925,58.0,56.1,1.8999999999999986,1.3999999999999986,57.675,58.5,56.6,1.8999999999999986,1.8999999999999986,55.925,56.8,55.4,1.3999999999999986,0.29999999999999716,56.975,57.8,56.0,1.7999999999999972,1.1000000000000014,23734,32842,15418,17424,9414
2018-07-08,56.1,57.5,55.0,2.5,-2.5,56.38,57.8,55.1,2.6999999999999957,-2.6999999999999957,55.0,55.7,54.1,1.6000000000000014,-1.6000000000000014,55.54,55.9,55.0,0.8999999999999986,-0.6999999999999957,24103,32591,17756,14835,-6996
2018-07-15,53.800000000000004,55.0,53.2,1.7999999999999972,-1.7999999999999972,54.12,55.1,53.4,1.7000000000000028,-1.7000000000000028,51.82,53.7,50.4,3.3000000000000043,-3.1000000000000014,53.199999999999996,53.9,52.3,1.6000000000000014,-1.6000000000000014,27635,38492,19646,18846,14738
2018-07-22,51.12,52.4,49.2,3.1999999999999957,-3.1999999999999957,52.1,53.4,50.6,2.799999999999997,-2.799999999999997,49.75,51.0,48.6,2.3999999999999986,-1.7999999999999972,50.46,51.5,49.1,2.3999999999999986,-2.3999999999999986,32171,47443,20814,26629,-3404
