Date,ELMD_Open_average,ELMD_Open_max,ELMD_Open_min,ELMD_Open_volatility,ELMD_Open_change,ELMD_High_average,ELMD_High_max,ELMD_High_min,ELMD_High_volatility,ELMD_High_change,ELMD_Low_average,ELMD_Low_max,ELMD_Low_min,ELMD_Low_volatility,ELMD_Low_change,ELMD_Close_average,ELMD_Close_max,ELMD_Close_min,ELMD_Close_volatility,ELMD_Close_change,ELMD_Volume_average,ELMD_Volume_max,ELMD_Volume_min,ELMD_Volume_volatility,ELMD_Volume_change
2018-01-14,6.1325,6.39,5.88,0.5099999999999998,-0.13999999999999968,6.275,6.49,5.95,0.54,-0.54,5.8925,6.07,5.7,0.3700000000000001,-0.25,6.0625,6.49,5.7,0.79,-0.79,4253,6339,1905,4434,-3458
2018-01-21,5.834,5.96,5.7,0.2599999999999998,0.09999999999999964,5.958,6.0,5.88,0.1200000000000001,-0.04999999999999982,5.7860000000000005,5.95,5.7,0.25,0.04999999999999982,5.8816,6.0,5.77,0.23000000000000043,-0.1299999999999999,3352,10219,1074,9145,9114
2018-01-28,5.8,5.96,5.6,0.3600000000000003,-0.05000000000000071,5.8839999999999995,5.97,5.77,0.20000000000000018,-0.20000000000000018,5.63,5.82,5.23,0.5899999999999999,-0.1200000000000001,5.788,5.93,5.62,0.3099999999999996,-0.1899999999999995,3354,9520,627,8893,-2275
2018-02-04,5.596,5.71,5.4,0.3099999999999996,0.27999999999999936,5.726,5.79,5.68,0.11000000000000032,-0.08999999999999986,5.498,5.55,5.4,0.14999999999999947,0.14999999999999947,5.672,5.75,5.55,0.20000000000000018,-0.03000000000000025,3234,5797,1091,4706,-269
2018-02-11,5.782,5.94,5.68,0.2600000000000007,0.20000000000000018,5.976,6.31,5.75,0.5599999999999996,0.25,5.7059999999999995,5.8,5.6,0.20000000000000018,0.20000000000000018,5.832,6.1,5.65,0.4499999999999993,0.4499999999999993,3251,8897,942,7955,319
2018-02-18,5.8675,5.95,5.75,0.20000000000000018,-0.20000000000000018,5.9175,6.1,5.8,0.2999999999999998,-0.2999999999999998,5.8025,5.95,5.75,0.20000000000000018,-0.20000000000000018,5.83,5.95,5.76,0.1900000000000004,-0.15000000000000036,1137,1860,300,1560,-1560
2018-02-25,5.786,5.82,5.72,0.10000000000000053,-0.04999999999999982,5.834,5.92,5.81,0.11000000000000032,-0.11000000000000032,5.784,5.82,5.72,0.10000000000000053,-0.04999999999999982,5.816,5.87,5.78,0.08999999999999986,-0.08999999999999986,943,2390,7,2383,485
2018-03-04,5.75,5.83,5.72,0.11000000000000032,-0.09999999999999964,5.792,5.88,5.73,0.14999999999999947,-0.09999999999999964,5.708,5.72,5.66,0.05999999999999961,-0.05999999999999961,5.722,5.77,5.66,0.10999999999999943,-0.07000000000000028,1809,4342,213,4129,3676
2018-03-11,5.654,5.73,5.58,0.15000000000000036,-0.040000000000000036,5.684,5.76,5.58,0.17999999999999972,-0.17999999999999972,5.558,5.69,5.31,0.3800000000000008,-0.3000000000000007,5.604,5.76,5.31,0.4500000000000002,-0.4500000000000002,1265,2719,604,2115,1818
2018-03-18,5.274,5.39,5.16,0.22999999999999954,0.04999999999999982,5.332,5.44,5.25,0.1900000000000004,0.10000000000000053,5.192,5.39,5.0,0.3899999999999997,0.17999999999999972,5.296,5.44,5.21,0.23000000000000043,0.23000000000000043,2962,10561,229,10332,-81
