Date,iShares US UtilitiesEtf_Open_average,iShares US UtilitiesEtf_Open_max,iShares US UtilitiesEtf_Open_min,iShares US UtilitiesEtf_Open_volatility,iShares US UtilitiesEtf_Open_change,iShares US UtilitiesEtf_High_average,iShares US UtilitiesEtf_High_max,iShares US UtilitiesEtf_High_min,iShares US UtilitiesEtf_High_volatility,iShares US UtilitiesEtf_High_change,iShares US UtilitiesEtf_Low_average,iShares US UtilitiesEtf_Low_max,iShares US UtilitiesEtf_Low_min,iShares US UtilitiesEtf_Low_volatility,iShares US UtilitiesEtf_Low_change,iShares US UtilitiesEtf_Close_average,iShares US UtilitiesEtf_Close_max,iShares US UtilitiesEtf_Close_min,iShares US UtilitiesEtf_Close_volatility,iShares US UtilitiesEtf_Close_change
2018-01-14,126.77,126.77,126.77,0.0,0.0,127.2,127.2,127.2,0.0,0.0,126.05,126.05,126.05,0.0,0.0,126.28,126.28,126.28,0.0,0.0
2018-01-21,129.04,129.04,129.04,0.0,0.0,129.27,129.27,129.27,0.0,0.0,127.59,127.59,127.59,0.0,0.0,128.82,128.82,128.82,0.0,0.0
2018-01-28,126.07,126.07,126.07,0.0,0.0,126.88,126.88,126.88,0.0,0.0,125.52,125.52,125.52,0.0,0.0,125.59,125.59,125.59,0.0,0.0
2018-02-04,120.24,120.24,120.24,0.0,0.0,123.38,123.38,123.38,0.0,0.0,119.79,119.79,119.79,0.0,0.0,122.53,122.53,122.53,0.0,0.0
2018-02-11,125.16,125.16,125.16,0.0,0.0,126.4,126.4,126.4,0.0,0.0,124.8,124.8,124.8,0.0,0.0,126.18,126.18,126.18,0.0,0.0
2018-02-18,123.84,123.84,123.84,0.0,0.0,126.78,126.78,126.78,0.0,0.0,123.84,123.84,123.84,0.0,0.0,126.78,126.78,126.78,0.0,0.0
2018-02-25,123.21,123.21,123.21,0.0,0.0,124.3,124.3,124.3,0.0,0.0,122.37,122.37,122.37,0.0,0.0,123.11,123.11,123.11,0.0,0.0
2018-03-04,123.96,123.96,123.96,0.0,0.0,124.45,124.45,124.45,0.0,0.0,123.6,123.6,123.6,0.0,0.0,124.45,124.45,124.45,0.0,0.0
2018-03-11,126.32,126.32,126.32,0.0,0.0,127.82,127.82,127.82,0.0,0.0,126.32,126.32,126.32,0.0,0.0,127.61,127.61,127.61,0.0,0.0
2018-03-18,125.38,125.38,125.38,0.0,0.0,126.39,126.39,126.39,0.0,0.0,123.34,123.34,123.34,0.0,0.0,123.56,123.56,123.56,0.0,0.0
2018-03-25,127.12,127.12,127.12,0.0,0.0,127.96,127.96,127.96,0.0,0.0,127.12,127.12,127.12,0.0,0.0,127.45,127.45,127.45,0.0,0.0
