Date,FCN_Open_average,FCN_Open_max,FCN_Open_min,FCN_Open_volatility,FCN_Open_change,FCN_High_average,FCN_High_max,FCN_High_min,FCN_High_volatility,FCN_High_change,FCN_Low_average,FCN_Low_max,FCN_Low_min,FCN_Low_volatility,FCN_Low_change,FCN_Close_average,FCN_Close_max,FCN_Close_min,FCN_Close_volatility,FCN_Close_change,FCN_Volume_average,FCN_Volume_max,FCN_Volume_min,FCN_Volume_volatility,FCN_Volume_change
2018-01-14,43.32,43.75,43.01,0.740000000000002,-0.5,43.568,43.83,43.33,0.5,-0.5,42.91,43.01,42.79,0.21999999999999886,0.11999999999999744,43.21,43.42,42.91,0.5100000000000051,0.37000000000000455,194336,263487,111956,151531,101687
2018-01-21,43.244,44.02,42.61,1.4100000000000037,0.740000000000002,43.574,44.24,42.81,1.4299999999999997,0.8300000000000054,42.614000000000004,43.28,41.36,1.9200000000000017,0.5799999999999983,43.206,44.11,42.32,1.7899999999999991,0.3400000000000034,236200,403331,126421,276910,40118
2018-01-28,43.15,43.52,42.51,1.0100000000000051,-0.5800000000000054,43.498,43.88,43.13,0.75,-0.19999999999999574,42.55,43.36,40.82,2.539999999999999,-1.990000000000002,42.76,43.55,40.83,2.719999999999999,-2.3900000000000006,226501,362131,143358,218773,47994
2018-02-04,40.99,41.61,40.19,1.4200000000000017,0.8000000000000043,41.716,42.34,41.12,1.220000000000006,-0.23999999999999488,40.386,41.27,39.57,1.7000000000000028,0.8900000000000006,41.096000000000004,41.52,40.39,1.1300000000000026,-0.30000000000000426,259828,330742,169501,161241,-93765
2018-02-11,41.9625,42.89,40.9,1.990000000000002,1.6600000000000037,42.7325,43.41,41.93,1.4799999999999969,1.4799999999999969,41.8175,42.56,40.9,1.6600000000000037,1.6600000000000037,42.5775,42.96,41.9,1.0600000000000023,1.0600000000000023,185656,265778,134075,131703,-11538
2018-02-18,45.641999999999996,48.36,42.68,5.68,5.68,46.936,49.9,43.51,6.390000000000001,6.390000000000001,45.256,48.29,42.68,5.609999999999999,5.609999999999999,46.184,49.25,43.18,6.07,6.009999999999998,472090,894028,227256,666772,262844
2018-02-25,48.048,49.42,47.1,2.3200000000000003,-1.9100000000000037,48.798,50.81,47.91,2.9000000000000057,-2.8900000000000006,47.422,48.46,46.72,1.740000000000002,-1.3999999999999986,47.82,48.5,47.46,1.0399999999999991,-0.75,273726,331298,199509,131789,-131789
2018-03-04,48.728,49.5,47.79,1.7100000000000009,1.5,49.212,49.74,48.15,1.5900000000000034,1.5900000000000034,48.302,48.85,47.55,1.3000000000000043,1.3000000000000043,48.856,49.46,47.97,1.490000000000002,0.9600000000000009,271224,501136,180252,320884,291333
2018-03-11,48.66,49.2,48.25,0.9500000000000028,-0.8399999999999963,48.876,49.32,48.41,0.9100000000000037,-0.9100000000000037,48.05,48.34,47.73,0.6100000000000065,-0.6100000000000065,48.428000000000004,48.88,48.25,0.6300000000000026,-0.6000000000000014,409710,874975,131442,743533,-743533
2018-03-18,47.868,48.37,47.45,0.9199999999999946,-0.769999999999996,48.454,49.06,47.66,1.4000000000000057,-1.0100000000000051,47.304,47.85,46.66,1.1900000000000048,-0.990000000000002,47.73,48.28,46.78,1.5,-0.3500000000000014,252437,585329,112600,472729,456634
