Date,iShares Agency Bond_etf_Open_average,iShares Agency Bond_etf_Open_max,iShares Agency Bond_etf_Open_min,iShares Agency Bond_etf_Open_volatility,iShares Agency Bond_etf_Open_change,iShares Agency Bond_etf_High_average,iShares Agency Bond_etf_High_max,iShares Agency Bond_etf_High_min,iShares Agency Bond_etf_High_volatility,iShares Agency Bond_etf_High_change,iShares Agency Bond_etf_Low_average,iShares Agency Bond_etf_Low_max,iShares Agency Bond_etf_Low_min,iShares Agency Bond_etf_Low_volatility,iShares Agency Bond_etf_Low_change,iShares Agency Bond_etf_Close_average,iShares Agency Bond_etf_Close_max,iShares Agency Bond_etf_Close_min,iShares Agency Bond_etf_Close_volatility,iShares Agency Bond_etf_Close_change
2018-01-14,112.21,112.21,112.21,0.0,0.0,112.29,112.29,112.29,0.0,0.0,112.19,112.19,112.19,0.0,0.0,112.22,112.22,112.22,0.0,0.0
2018-01-21,112.33,112.33,112.33,0.0,0.0,112.33,112.33,112.33,0.0,0.0,112.2,112.2,112.2,0.0,0.0,112.28,112.28,112.28,0.0,0.0
2018-01-28,111.62,111.62,111.62,0.0,0.0,111.62,111.62,111.62,0.0,0.0,111.5,111.5,111.5,0.0,0.0,111.59,111.59,111.59,0.0,0.0
2018-02-04,111.56,111.56,111.56,0.0,0.0,111.84,111.84,111.84,0.0,0.0,111.56,111.56,111.56,0.0,0.0,111.68,111.68,111.68,0.0,0.0
2018-02-11,111.57,111.57,111.57,0.0,0.0,111.57,111.57,111.57,0.0,0.0,111.44,111.44,111.44,0.0,0.0,111.46,111.46,111.46,0.0,0.0
2018-02-18,111.51,111.51,111.51,0.0,0.0,111.57,111.57,111.57,0.0,0.0,111.41,111.41,111.41,0.0,0.0,111.51,111.51,111.51,0.0,0.0
2018-02-25,111.44,111.44,111.44,0.0,0.0,111.49,111.49,111.49,0.0,0.0,111.38,111.38,111.38,0.0,0.0,111.43,111.43,111.43,0.0,0.0
2018-03-04,111.33,111.33,111.33,0.0,0.0,111.42,111.42,111.42,0.0,0.0,111.3,111.3,111.3,0.0,0.0,111.32,111.32,111.32,0.0,0.0
2018-03-11,111.58,111.58,111.58,0.0,0.0,111.58,111.58,111.58,0.0,0.0,111.46,111.46,111.46,0.0,0.0,111.46,111.46,111.46,0.0,0.0
2018-03-18,111.68,111.68,111.68,0.0,0.0,111.74,111.74,111.74,0.0,0.0,111.65,111.65,111.65,0.0,0.0,111.7,111.7,111.7,0.0,0.0
2018-03-25,111.87,111.87,111.87,0.0,0.0,112.07,112.07,112.07,0.0,0.0,111.87,111.87,111.87,0.0,0.0,112.04,112.04,112.04,0.0,0.0
2018-04-01,111.52,111.52,111.52,0.0,0.0,111.67,111.67,111.67,0.0,0.0,111.52,111.52,111.52,0.0,0.0,111.58,111.58,111.58,0.0,0.0
2018-04-08,111.42,111.42,111.42,0.0,0.0,111.46,111.46,111.46,0.0,0.0,111.36,111.36,111.36,0.0,0.0,111.39,111.39,111.39,0.0,0.0
2018-04-15,111.08,111.08,111.08,0.0,0.0,111.22,111.22,111.22,0.0,0.0,111.01,111.01,111.01,0.0,0.0,111.01,111.01,111.01,0.0,0.0
2018-04-22,110.94,110.94,110.94,0.0,0.0,111.13,111.13,111.13,0.0,0.0,110.94,110.94,110.94,0.0,0.0,111.0,111.0,111.0,0.0,0.0
2018-04-29,110.93,110.93,110.93,0.0,0.0,111.06,111.06,111.06,0.0,0.0,110.85,110.85,110.85,0.0,0.0,110.9,110.9,110.9,0.0,0.0
2018-05-06,110.87,110.87,110.87,0.0,0.0,110.94,110.94,110.94,0.0,0.0,110.82,110.82,110.82,0.0,0.0,110.9,110.9,110.9,0.0,0.0
2018-05-13,110.61,110.61,110.61,0.0,0.0,110.69,110.69,110.69,0.0,0.0,110.58,110.58,110.58,0.0,0.0,110.64,110.64,110.64,0.0,0.0
2018-05-20,111.16,111.16,111.16,0.0,0.0,111.31,111.31,111.31,0.0,0.0,111.13,111.13,111.13,0.0,0.0,111.19,111.19,111.19,0.0,0.0
2018-05-27,111.03,111.03,111.03,0.0,0.0,111.23,111.23,111.23,0.0,0.0,111.02,111.02,111.02,0.0,0.0,111.23,111.23,111.23,0.0,0.0
2018-06-03,111.04,111.04,111.04,0.0,0.0,111.14,111.14,111.14,0.0,0.0,110.97,110.97,110.97,0.0,0.0,111.12,111.12,111.12,0.0,0.0
2018-06-10,111.0,111.0,111.0,0.0,0.0,111.09,111.09,111.09,0.0,0.0,110.93,110.93,110.93,0.0,0.0,110.93,110.93,110.93,0.0,0.0
2018-06-17,111.32,111.32,111.32,0.0,0.0,111.32,111.32,111.32,0.0,0.0,111.2,111.2,111.2,0.0,0.0,111.32,111.32,111.32,0.0,0.0
2018-06-24,111.29,111.29,111.29,0.0,0.0,111.45,111.45,111.45,0.0,0.0,111.29,111.29,111.29,0.0,0.0,111.42,111.42,111.42,0.0,0.0
2018-07-01,111.33,111.33,111.33,0.0,0.0,111.4,111.4,111.4,0.0,0.0,111.25,111.25,111.25,0.0,0.0,111.3,111.3,111.3,0.0,0.0
2018-07-08,111.39,111.39,111.39,0.0,0.0,111.43,111.43,111.43,0.0,0.0,111.25,111.25,111.25,0.0,0.0,111.4,111.4,111.4,0.0,0.0
2018-07-15,111.35,111.35,111.35,0.0,0.0,111.35,111.35,111.35,0.0,0.0,111.13,111.13,111.13,0.0,0.0,111.26,111.26,111.26,0.0,0.0
2018-07-22,110.9,110.9,110.9,0.0,0.0,111.03,111.03,111.03,0.0,0.0,110.89,110.89,110.89,0.0,0.0,110.89,110.89,110.89,0.0,0.0
2018-07-29,110.7,110.7,110.7,0.0,0.0,110.93,110.93,110.93,0.0,0.0,110.7,110.7,110.7,0.0,0.0,110.82,110.82,110.82,0.0,0.0
2018-08-05,111.07,111.07,111.07,0.0,0.0,111.18,111.18,111.18,0.0,0.0,111.04,111.04,111.04,0.0,0.0,111.09,111.09,111.09,0.0,0.0
2018-08-12,111.18,111.18,111.18,0.0,0.0,111.37,111.37,111.37,0.0,0.0,111.18,111.18,111.18,0.0,0.0,111.28,111.28,111.28,0.0,0.0
2018-08-19,111.22,111.22,111.22,0.0,0.0,111.45,111.45,111.45,0.0,0.0,111.22,111.22,111.22,0.0,0.0,111.33,111.33,111.33,0.0,0.0
2018-08-26,111.46,111.46,111.46,0.0,0.0,111.58,111.58,111.58,0.0,0.0,111.24,111.24,111.24,0.0,0.0,111.34,111.34,111.34,0.0,0.0
2018-09-02,110.87,110.87,110.87,0.0,0.0,110.95,110.95,110.95,0.0,0.0,110.76,110.76,110.76,0.0,0.0,110.78,110.78,110.78,0.0,0.0
2018-09-09,110.77,110.77,110.77,0.0,0.0,110.8,110.8,110.8,0.0,0.0,110.59,110.59,110.59,0.0,0.0,110.68,110.68,110.68,0.0,0.0
2018-09-16,110.41,110.41,110.41,0.0,0.0,110.59,110.59,110.59,0.0,0.0,110.41,110.41,110.41,0.0,0.0,110.58,110.58,110.58,0.0,0.0
2018-09-23,110.71,110.71,110.71,0.0,0.0,110.73,110.73,110.73,0.0,0.0,110.59,110.59,110.59,0.0,0.0,110.71,110.71,110.71,0.0,0.0
2018-09-30,110.01,110.01,110.01,0.0,0.0,110.1,110.1,110.1,0.0,0.0,109.93,109.93,109.93,0.0,0.0,110.0,110.0,110.0,0.0,0.0
2018-10-07,110.33,110.33,110.33,0.0,0.0,110.46,110.46,110.46,0.0,0.0,110.31,110.31,110.31,0.0,0.0,110.35,110.35,110.35,0.0,0.0
2018-10-14,110.19,110.19,110.19,0.0,0.0,110.25,110.25,110.25,0.0,0.0,110.09,110.09,110.09,0.0,0.0,110.09,110.09,110.09,0.0,0.0
2018-10-21,110.66,110.66,110.66,0.0,0.0,110.77,110.77,110.77,0.0,0.0,110.66,110.66,110.66,0.0,0.0,110.77,110.77,110.77,0.0,0.0
2018-10-28,110.19,110.19,110.19,0.0,0.0,110.27,110.27,110.27,0.0,0.0,110.08,110.08,110.08,0.0,0.0,110.11,110.11,110.11,0.0,0.0
2018-11-04,110.09,110.09,110.09,0.0,0.0,110.13,110.13,110.13,0.0,0.0,110.02,110.02,110.02,0.0,0.0,110.04,110.04,110.04,0.0,0.0
2018-11-11,110.59,110.59,110.59,0.0,0.0,110.69,110.69,110.69,0.0,0.0,110.57,110.57,110.57,0.0,0.0,110.68,110.68,110.68,0.0,0.0
2018-11-18,110.81,110.81,110.81,0.0,0.0,110.85,110.85,110.85,0.0,0.0,110.74,110.74,110.74,0.0,0.0,110.74,110.74,110.74,0.0,0.0
2018-11-25,110.88,110.88,110.88,0.0,0.0,110.93,110.93,110.93,0.0,0.0,110.8,110.8,110.8,0.0,0.0,110.87,110.87,110.87,0.0,0.0
2018-12-02,111.28,111.28,111.28,0.0,0.0,111.4,111.4,111.4,0.0,0.0,111.21,111.21,111.21,0.0,0.0,111.39,111.39,111.39,0.0,0.0
2018-12-09,111.23,111.23,111.23,0.0,0.0,111.36,111.36,111.36,0.0,0.0,111.23,111.23,111.23,0.0,0.0,111.31,111.31,111.31,0.0,0.0
2018-12-16,111.61,111.61,111.61,0.0,0.0,111.63,111.63,111.63,0.0,0.0,111.46,111.46,111.46,0.0,0.0,111.56,111.56,111.56,0.0,0.0
2018-12-23,111.87,111.87,111.87,0.0,0.0,112.03,112.03,112.03,0.0,0.0,111.87,111.87,111.87,0.0,0.0,111.96,111.96,111.96,0.0,0.0
2018-12-30,112.47,112.47,112.47,0.0,0.0,112.47,112.47,112.47,0.0,0.0,112.26,112.26,112.26,0.0,0.0,112.38,112.38,112.38,0.0,0.0
2019-01-06,112.11,112.11,112.11,0.0,0.0,112.25,112.25,112.25,0.0,0.0,112.11,112.11,112.11,0.0,0.0,112.21,112.21,112.21,0.0,0.0
2019-01-13,112.02,112.02,112.02,0.0,0.0,112.04,112.04,112.04,0.0,0.0,111.8,111.8,111.8,0.0,0.0,111.87,111.87,111.87,0.0,0.0
2019-01-20,112.16,112.16,112.16,0.0,0.0,112.16,112.16,112.16,0.0,0.0,112.04,112.04,112.04,0.0,0.0,112.08,112.08,112.08,0.0,0.0
2019-01-27,112.21,112.21,112.21,0.0,0.0,112.21,112.21,112.21,0.0,0.0,111.98,111.98,111.98,0.0,0.0,111.99,111.99,111.99,0.0,0.0
2019-02-03,112.28,112.28,112.28,0.0,0.0,112.35,112.35,112.35,0.0,0.0,112.25,112.25,112.25,0.0,0.0,112.32,112.32,112.32,0.0,0.0
2019-02-10,112.2,112.2,112.2,0.0,0.0,112.21,112.21,112.21,0.0,0.0,112.18,112.18,112.18,0.0,0.0,112.21,112.21,112.21,0.0,0.0
2019-02-17,112.3,112.3,112.3,0.0,0.0,112.39,112.39,112.39,0.0,0.0,112.27,112.27,112.27,0.0,0.0,112.29,112.29,112.29,0.0,0.0
2019-02-24,111.76,111.76,111.76,0.0,0.0,111.83,111.83,111.83,0.0,0.0,111.67,111.67,111.67,0.0,0.0,111.74,111.74,111.74,0.0,0.0
2019-03-03,112.32,112.32,112.32,0.0,0.0,112.39,112.39,112.39,0.0,0.0,112.25,112.25,112.25,0.0,0.0,112.39,112.39,112.39,0.0,0.0
2019-03-10,112.55,112.55,112.55,0.0,0.0,112.65,112.65,112.65,0.0,0.0,112.54,112.54,112.54,0.0,0.0,112.65,112.65,112.65,0.0,0.0
2019-03-17,113.12,113.12,113.12,0.0,0.0,113.36,113.36,113.36,0.0,0.0,113.12,113.12,113.12,0.0,0.0,113.33,113.33,113.33,0.0,0.0
2019-03-24,113.53,113.53,113.53,0.0,0.0,113.61,113.61,113.61,0.0,0.0,113.5,113.5,113.5,0.0,0.0,113.57,113.57,113.57,0.0,0.0
2019-03-31,112.9,112.9,112.9,0.0,0.0,113.03,113.03,113.03,0.0,0.0,112.9,112.9,112.9,0.0,0.0,113.03,113.03,113.03,0.0,0.0
2019-04-07,112.84,112.84,112.84,0.0,0.0,112.84,112.84,112.84,0.0,0.0,112.76,112.76,112.76,0.0,0.0,112.82,112.82,112.82,0.0,0.0
2019-04-14,112.89,112.89,112.89,0.0,0.0,112.97,112.97,112.97,0.0,0.0,112.89,112.89,112.89,0.0,0.0,112.94,112.94,112.94,0.0,0.0
2019-04-21,113.37,113.37,113.37,0.0,0.0,113.37,113.37,113.37,0.0,0.0,113.27,113.27,113.27,0.0,0.0,113.33,113.33,113.33,0.0,0.0
2019-04-28,113.04,113.04,113.04,0.0,0.0,113.08,113.08,113.08,0.0,0.0,113.04,113.04,113.04,0.0,0.0,113.07,113.07,113.07,0.0,0.0
2019-05-05,113.47,113.47,113.47,0.0,0.0,113.49,113.49,113.49,0.0,0.0,113.37,113.37,113.37,0.0,0.0,113.41,113.41,113.41,0.0,0.0
2019-05-12,113.71,113.71,113.71,0.0,0.0,113.74,113.74,113.74,0.0,0.0,113.6,113.6,113.6,0.0,0.0,113.64,113.64,113.64,0.0,0.0
2019-05-19,113.95,113.95,113.95,0.0,0.0,113.95,113.95,113.95,0.0,0.0,113.87,113.87,113.87,0.0,0.0,113.91,113.91,113.91,0.0,0.0
2019-05-26,115.01,115.01,115.01,0.0,0.0,115.01,115.01,115.01,0.0,0.0,114.58,114.58,114.58,0.0,0.0,114.76,114.76,114.76,0.0,0.0
2019-06-02,114.88,114.88,114.88,0.0,0.0,114.93,114.93,114.93,0.0,0.0,114.76,114.76,114.76,0.0,0.0,114.83,114.83,114.83,0.0,0.0
2019-06-09,114.85,114.85,114.85,0.0,0.0,114.91,114.91,114.91,0.0,0.0,114.81,114.81,114.81,0.0,0.0,114.85,114.85,114.85,0.0,0.0
2019-06-16,115.18,115.18,115.18,0.0,0.0,115.18,115.18,115.18,0.0,0.0,115.02,115.02,115.02,0.0,0.0,115.11,115.11,115.11,0.0,0.0
2019-06-23,115.23,115.23,115.23,0.0,0.0,115.29,115.29,115.29,0.0,0.0,115.19,115.19,115.19,0.0,0.0,115.23,115.23,115.23,0.0,0.0
2019-06-30,114.9,114.9,114.9,0.0,0.0,114.9,114.9,114.9,0.0,0.0,114.72,114.72,114.72,0.0,0.0,114.84,114.84,114.84,0.0,0.0
2019-07-07,114.54,114.54,114.54,0.0,0.0,114.69,114.69,114.69,0.0,0.0,114.54,114.54,114.54,0.0,0.0,114.67,114.67,114.67,0.0,0.0
2019-07-14,114.91,114.91,114.91,0.0,0.0,114.95,114.95,114.95,0.0,0.0,114.88,114.88,114.88,0.0,0.0,114.93,114.93,114.93,0.0,0.0
2019-07-21,114.85,114.85,114.85,0.0,0.0,114.88,114.88,114.88,0.0,0.0,114.81,114.81,114.81,0.0,0.0,114.87,114.87,114.87,0.0,0.0
2019-07-28,115.5,115.5,115.5,0.0,0.0,115.59,115.59,115.59,0.0,0.0,115.44,115.44,115.44,0.0,0.0,115.59,115.59,115.59,0.0,0.0
