Date,ProShares UltraPro Russell2000_Open_average,ProShares UltraPro Russell2000_Open_max,ProShares UltraPro Russell2000_Open_min,ProShares UltraPro Russell2000_Open_volatility,ProShares UltraPro Russell2000_Open_change,ProShares UltraPro Russell2000_High_average,ProShares UltraPro Russell2000_High_max,ProShares UltraPro Russell2000_High_min,ProShares UltraPro Russell2000_High_volatility,ProShares UltraPro Russell2000_High_change,ProShares UltraPro Russell2000_Low_average,ProShares UltraPro Russell2000_Low_max,ProShares UltraPro Russell2000_Low_min,ProShares UltraPro Russell2000_Low_volatility,ProShares UltraPro Russell2000_Low_change,ProShares UltraPro Russell2000_Close_average,ProShares UltraPro Russell2000_Close_max,ProShares UltraPro Russell2000_Close_min,ProShares UltraPro Russell2000_Close_volatility,ProShares UltraPro Russell2000_Close_change
2018-01-14,92.11,92.11,92.11,0.0,0.0,93.85,93.85,93.85,0.0,0.0,91.9,91.9,91.9,0.0,0.0,93.85,93.85,93.85,0.0,0.0
2018-01-21,93.3,93.3,93.3,0.0,0.0,94.5,94.5,94.5,0.0,0.0,92.48,92.48,92.48,0.0,0.0,92.52,92.52,92.52,0.0,0.0
2018-01-28,82.1,82.1,82.1,0.0,0.0,83.94,83.94,83.94,0.0,0.0,74.14,74.14,74.14,0.0,0.0,74.14,74.14,74.14,0.0,0.0
2018-02-04,72.61,72.61,72.61,0.0,0.0,75.5,75.5,75.5,0.0,0.0,70.5,70.5,70.5,0.0,0.0,74.45,74.45,74.45,0.0,0.0
2018-02-11,81.21,81.21,81.21,0.0,0.0,83.8,83.8,83.8,0.0,0.0,81.21,81.21,81.21,0.0,0.0,82.13,82.13,82.13,0.0,0.0
2018-02-18,84.11,84.11,84.11,0.0,0.0,85.18,85.18,85.18,0.0,0.0,82.5,82.5,82.5,0.0,0.0,84.82,84.82,84.82,0.0,0.0
2018-02-25,79.74,79.74,79.74,0.0,0.0,83.31,83.31,83.31,0.0,0.0,79.04,79.04,79.04,0.0,0.0,82.4,82.4,82.4,0.0,0.0
2018-03-04,91.42,91.42,91.42,0.0,0.0,92.14,92.14,92.14,0.0,0.0,90.5,90.5,90.5,0.0,0.0,91.53,91.53,91.53,0.0,0.0
2018-03-11,87.85,87.85,87.85,0.0,0.0,87.85,87.85,87.85,0.0,0.0,83.33,83.33,83.33,0.0,0.0,86.39,86.39,86.39,0.0,0.0
2018-03-18,79.84,79.84,79.84,0.0,0.0,81.75,81.75,81.75,0.0,0.0,77.33,77.33,77.33,0.0,0.0,81.75,81.75,81.75,0.0,0.0
2018-03-25,78.5,78.5,78.5,0.0,0.0,79.39,79.39,79.39,0.0,0.0,71.89,71.89,71.89,0.0,0.0,73.55,73.55,73.55,0.0,0.0
