Date,FlexShares STOXX Global ESG ImpactEtf_Open_average,FlexShares STOXX Global ESG ImpactEtf_Open_max,FlexShares STOXX Global ESG ImpactEtf_Open_min,FlexShares STOXX Global ESG ImpactEtf_Open_volatility,FlexShares STOXX Global ESG ImpactEtf_Open_change,FlexShares STOXX Global ESG ImpactEtf_High_average,FlexShares STOXX Global ESG ImpactEtf_High_max,FlexShares STOXX Global ESG ImpactEtf_High_min,FlexShares STOXX Global ESG ImpactEtf_High_volatility,FlexShares STOXX Global ESG ImpactEtf_High_change,FlexShares STOXX Global ESG ImpactEtf_Low_average,FlexShares STOXX Global ESG ImpactEtf_Low_max,FlexShares STOXX Global ESG ImpactEtf_Low_min,FlexShares STOXX Global ESG ImpactEtf_Low_volatility,FlexShares STOXX Global ESG ImpactEtf_Low_change,FlexShares STOXX Global ESG ImpactEtf_Close_average,FlexShares STOXX Global ESG ImpactEtf_Close_max,FlexShares STOXX Global ESG ImpactEtf_Close_min,FlexShares STOXX Global ESG ImpactEtf_Close_volatility,FlexShares STOXX Global ESG ImpactEtf_Close_change
2018-01-14,99.97,99.97,99.97,0.0,0.0,99.97,99.97,99.97,0.0,0.0,99.93,99.93,99.93,0.0,0.0,99.94,99.94,99.94,0.0,0.0
2018-01-21,101.43,101.43,101.43,0.0,0.0,101.95,101.95,101.95,0.0,0.0,101.43,101.43,101.43,0.0,0.0,101.95,101.95,101.95,0.0,0.0
2018-01-28,99.1,99.1,99.1,0.0,0.0,99.1,99.1,99.1,0.0,0.0,97.99,97.99,97.99,0.0,0.0,97.99,97.99,97.99,0.0,0.0
2018-02-04,91.92,91.92,91.92,0.0,0.0,92.04,92.04,92.04,0.0,0.0,91.92,91.92,91.92,0.0,0.0,92.04,92.04,92.04,0.0,0.0
2018-02-11,97.25,97.25,97.25,0.0,0.0,97.57,97.57,97.57,0.0,0.0,97.18,97.18,97.18,0.0,0.0,97.18,97.18,97.18,0.0,0.0
2018-02-18,97.12,97.12,97.12,0.0,0.0,97.45,97.45,97.45,0.0,0.0,97.07,97.07,97.07,0.0,0.0,97.45,97.45,97.45,0.0,0.0
2018-02-25,94.61,94.61,94.61,0.0,0.0,94.98,94.98,94.98,0.0,0.0,94.61,94.61,94.61,0.0,0.0,94.98,94.98,94.98,0.0,0.0
2018-03-04,97.21,97.21,97.21,0.0,0.0,97.88,97.88,97.88,0.0,0.0,97.21,97.21,97.21,0.0,0.0,97.88,97.88,97.88,0.0,0.0
2018-03-11,97.44,97.44,97.44,0.0,0.0,97.44,97.44,97.44,0.0,0.0,97.43,97.43,97.43,0.0,0.0,97.43,97.43,97.43,0.0,0.0
2018-03-18,93.39,93.39,93.39,0.0,0.0,93.7,93.7,93.7,0.0,0.0,92.44,92.44,92.44,0.0,0.0,92.44,92.44,92.44,0.0,0.0
2018-03-25,94.31,94.31,94.31,0.0,0.0,94.44,94.44,94.44,0.0,0.0,94.19,94.19,94.19,0.0,0.0,94.21,94.21,94.21,0.0,0.0
