Date,YUMA_stock_Open_average,YUMA_stock_Open_max,YUMA_stock_Open_min,YUMA_stock_Open_volatility,YUMA_stock_Open_change,YUMA_stock_High_average,YUMA_stock_High_max,YUMA_stock_High_min,YUMA_stock_High_volatility,YUMA_stock_High_change,YUMA_stock_Low_average,YUMA_stock_Low_max,YUMA_stock_Low_min,YUMA_stock_Low_volatility,YUMA_stock_Low_change,YUMA_stock_Close_average,YUMA_stock_Close_max,YUMA_stock_Close_min,YUMA_stock_Close_volatility,YUMA_stock_Close_change,YUMA_stock_Volume_average,YUMA_stock_Volume_max,YUMA_stock_Volume_min,YUMA_stock_Volume_volatility,YUMA_stock_Volume_change
2018-01-14,23.0625,25.2,21.75,3.4499999999999993,-3.4499999999999993,24.375,27.45,22.65,4.800000000000001,-4.800000000000001,21.675,22.05,21.15,0.9000000000000021,-0.6000000000000014,22.200000000000003,23.1,21.6,1.5,-0.75,2979,8350,820,7530,-7380
2018-01-21,21.63,22.35,20.55,1.8000000000000007,-1.1999999999999993,21.990000000000002,22.5,20.85,1.6499999999999986,-1.0499999999999972,20.64,21.6,19.35,2.25,-1.1999999999999993,21.06,22.05,19.65,2.400000000000002,-2.1000000000000014,1081,2285,362,1923,474
2018-01-28,18.63,19.65,17.55,2.099999999999998,-1.1999999999999993,19.14,20.4,18.45,1.9499999999999993,-1.6499999999999986,17.79,18.9,16.95,1.9499999999999993,-1.9499999999999993,18.21,19.2,16.95,2.25,-2.25,1209,2286,623,1663,-365
2018-02-04,17.04,19.05,16.2,2.8500000000000014,0.15000000000000213,17.55,19.05,16.8,2.25,-0.14999999999999858,15.99,16.5,15.45,1.0500000000000007,-0.5999999999999996,16.7202,17.25,16.2,1.0500000000000007,-0.3810000000000002,1091,1962,585,1377,4
2018-02-11,17.28,18.3,16.65,1.6500000000000021,1.6500000000000021,17.61,18.3,17.25,1.0500000000000007,1.0500000000000007,16.56,16.8,16.2,0.6000000000000014,0.15000000000000213,17.1864,17.4,16.95,0.4499999999999993,-0.16799999999999926,554,931,144,787,-457
2018-02-18,17.4375,18.3,16.95,1.3500000000000014,1.0500000000000007,17.925,18.3,17.25,1.0500000000000007,0.4499999999999993,16.8,17.1,16.5,0.6000000000000014,0.6000000000000014,17.438,18.153,16.799,1.3539999999999992,0.3000000000000007,1111,2062,58,2004,-519
2018-02-25,17.43,18.15,16.65,1.5,-1.0500000000000007,17.970000000000002,19.05,16.8,2.25,-1.9499999999999993,16.71,17.4,16.2,1.1999999999999993,-1.1999999999999993,17.2366,18.383,16.65,1.7330000000000005,-1.2829999999999977,1222,2263,132,2131,-1447
2018-03-04,16.86,17.4,16.35,1.0499999999999972,-0.45000000000000284,17.16,17.7,16.65,1.0500000000000007,-0.9000000000000021,16.41,16.95,16.05,0.8999999999999986,-0.8999999999999986,16.68,17.55,16.35,1.1999999999999993,-1.1999999999999993,1014,1569,327,1242,-332
2018-03-11,16.68,17.1,16.35,0.75,0.14999999999999858,17.34,18.0,16.8,1.1999999999999993,0.9000000000000021,16.38,16.65,16.2,0.4499999999999993,-0.15000000000000213,16.830000000000002,17.85,16.35,1.5,1.3500000000000014,538,873,343,530,530
2018-03-18,16.62,17.55,16.2,1.3500000000000014,-1.0500000000000007,16.86,17.55,16.5,1.0500000000000007,-0.9000000000000021,15.99,16.2,15.9,0.29999999999999893,-0.29999999999999893,16.29,16.65,16.05,0.5999999999999979,0.4499999999999993,539,832,237,595,-171
